Date,SNDL
2022-02-28,5.170000076293945
2022-03-01,5.050000190734863
2022-03-02,5.260000228881836
2022-03-03,5.099999904632568
2022-03-04,4.989999771118164
2022-03-07,4.71999979019165
2022-03-08,4.829999923706055
2022-03-09,5.03000020980835
2022-03-10,4.96999979019165
2022-03-11,4.75
2022-03-14,4.690000057220459
2022-03-15,4.710000038146973
2022-03-16,4.849999904632568
2022-03-17,5.039999961853027
2022-03-18,5.21999979019165
2022-03-21,5.320000171661377
2022-03-22,5.849999904632568
2022-03-23,6.059999942779541
2022-03-24,7.460000038146973
2022-03-25,8.119999885559082
2022-03-28,7.78000020980835
2022-03-29,7.25
2022-03-30,7.179999828338623
2022-03-31,7.0
2022-04-01,7.0
2022-04-04,6.710000038146973
2022-04-05,6.460000038146973
2022-04-06,6.320000171661377
2022-04-07,5.840000152587891
2022-04-08,5.599999904632568
2022-04-11,5.639999866485596
2022-04-12,5.690000057220459
2022-04-13,5.929999828338623
2022-04-14,5.309999942779541
2022-04-18,5.360000133514404
2022-04-19,5.559999942779541
2022-04-20,5.260000228881836
2022-04-21,5.059999942779541
2022-04-22,5.210000038146973
2022-04-25,5.309999942779541
2022-04-26,5.010000228881836
2022-04-27,5.28000020980835
2022-04-28,5.059999942779541
2022-04-29,4.690000057220459
2022-05-02,4.820000171661377
2022-05-03,4.849999904632568
2022-05-04,4.96999979019165
2022-05-05,4.650000095367432
2022-05-06,4.550000190734863
2022-05-09,4.099999904632568
2022-05-10,4.0
2022-05-11,3.7100000381469727
2022-05-12,3.75
2022-05-13,3.8399999141693115
2022-05-16,4.650000095367432
2022-05-17,4.369999885559082
2022-05-18,4.130000114440918
2022-05-19,4.389999866485596
2022-05-20,4.159999847412109
2022-05-23,4.010000228881836
2022-05-24,3.8299999237060547
2022-05-25,3.9100000858306885
2022-05-26,3.9600000381469727
2022-05-27,3.890000104904175
2022-05-31,3.9200000762939453
2022-06-01,3.75
2022-06-02,3.859999895095825
2022-06-03,3.7699999809265137
2022-06-06,3.759999990463257
2022-06-07,3.799999952316284
2022-06-08,3.6700000762939453
2022-06-09,3.4700000286102295
2022-06-10,3.2899999618530273
2022-06-13,3.0
2022-06-14,2.940000057220459
2022-06-15,3.0299999713897705
2022-06-16,2.940000057220459
2022-06-17,3.130000114440918
2022-06-21,3.5299999713897705
2022-06-22,3.5199999809265137
2022-06-23,3.700000047683716
2022-06-24,3.9000000953674316
2022-06-27,3.8499999046325684
2022-06-28,3.6700000762939453
2022-06-29,3.4100000858306885
2022-06-30,3.259999990463257
2022-07-01,3.3299999237060547
2022-07-05,3.4200000762939453
2022-07-06,3.4700000286102295
2022-07-07,3.5899999141693115
2022-07-08,3.369999885559082
2022-07-11,3.119999885559082
2022-07-12,3.1600000858306885
2022-07-13,3.0999999046325684
2022-07-14,3.2899999618530273
2022-07-15,3.190000057220459
2022-07-18,3.25
2022-07-19,3.240000009536743
2022-07-20,3.5299999713897705
2022-07-21,3.380000114440918
2022-07-22,3.119999885559082
2022-07-25,2.9700000286102295
2022-07-26,2.2799999713897705
2022-07-27,2.319999933242798
2022-07-28,2.319999933242798
2022-07-29,2.25
2022-08-01,2.2799999713897705
2022-08-02,2.4600000381469727
2022-08-03,2.4600000381469727
2022-08-04,2.5299999713897705
2022-08-05,2.5299999713897705
2022-08-08,2.809999942779541
2022-08-09,2.690000057220459
2022-08-10,2.8499999046325684
2022-08-11,2.7699999809265137
2022-08-12,3.0
2022-08-15,3.1700000762939453
2022-08-16,3.059999942779541
2022-08-17,2.9700000286102295
2022-08-18,2.890000104904175
