Date,SINT
2022-02-28,10160.0
2022-03-01,9660.0
2022-03-02,9840.0
2022-03-03,10160.0
2022-03-04,9600.0
2022-03-07,9200.0
2022-03-08,9100.0
2022-03-09,9120.0
2022-03-10,9240.0
2022-03-11,9340.0
2022-03-14,8600.0
2022-03-15,8560.0
2022-03-16,8620.0
2022-03-17,9000.0
2022-03-18,9900.0
2022-03-21,10140.0
2022-03-22,10400.0
2022-03-23,10700.0
2022-03-24,12580.0
2022-03-25,12060.0
2022-03-28,12200.0
2022-03-29,12140.0
2022-03-30,12200.0
2022-03-31,12200.0
2022-04-01,12080.0
2022-04-04,12080.0
2022-04-05,12220.0
2022-04-06,12400.0
2022-04-07,12120.0
2022-04-08,12220.0
2022-04-11,12380.0
2022-04-12,12760.0
2022-04-13,12540.0
2022-04-14,12500.0
2022-04-18,11840.0
2022-04-19,11720.0
2022-04-20,11800.0
2022-04-21,11400.0
2022-04-22,10560.0
2022-04-25,10120.0
2022-04-26,10000.0
2022-04-27,9640.0
2022-04-28,10000.0
2022-04-29,10400.0
2022-05-02,10380.0
2022-05-03,10600.0
2022-05-04,10200.0
2022-05-05,9800.0
2022-05-06,9720.0
2022-05-09,9000.0
2022-05-10,8400.0
2022-05-11,8000.0
2022-05-12,7600.0
2022-05-13,8420.0
2022-05-16,8040.0
2022-05-17,8760.0
2022-05-18,8400.0
2022-05-19,8900.0
2022-05-20,8600.0
2022-05-23,8900.0
2022-05-24,9200.0
2022-05-25,9000.0
2022-05-26,9200.0
2022-05-27,9200.0
2022-05-31,8800.0
2022-06-01,9080.0
2022-06-02,9340.0
2022-06-03,9460.0
2022-06-06,10060.0
2022-06-07,10500.0
2022-06-08,10360.0
2022-06-09,10040.0
2022-06-10,10000.0
2022-06-13,7860.0
2022-06-14,7980.0
2022-06-15,8200.0
2022-06-16,7920.0
2022-06-17,8740.0
2022-06-21,9000.0
2022-06-22,9180.0
2022-06-23,9540.0
2022-06-24,8280.0
2022-06-27,8800.0
2022-06-28,8800.0
2022-06-29,8400.0
2022-06-30,8660.0
2022-07-01,8400.0
2022-07-05,8200.0
2022-07-06,7820.0
2022-07-07,8860.0
2022-07-08,9040.0
2022-07-11,9300.0
2022-07-12,9200.0
2022-07-13,9020.0
2022-07-14,9020.0
2022-07-15,9100.0
2022-07-18,9000.0
2022-07-19,9420.0
2022-07-20,9000.0
2022-07-21,9600.0
2022-07-22,9680.0
2022-07-25,9600.0
2022-07-26,9520.0
2022-07-27,9640.0
2022-07-28,9800.0
2022-07-29,9540.0
2022-08-01,9800.0
2022-08-02,9800.0
2022-08-03,10200.0
2022-08-04,10200.0
2022-08-05,10600.0
2022-08-08,10400.0
2022-08-09,11400.0
2022-08-10,11460.0
2022-08-11,10240.0
2022-08-12,11200.0
2022-08-15,11200.0
2022-08-16,11000.0
2022-08-17,11000.0
2022-08-18,11000.0
2022-08-19,10720.0
2022-08-22,10580.0
2022-08-23,10000.0
2022-08-24,9800.0
2022-08-25,10000.0
2022-08-26,9800.0
2022-08-29,9740.0
2022-08-30,9680.0
2022-08-31,9200.0
2022-09-01,8000.0
2022-09-02,8000.0
2022-09-06,7800.0
2022-09-07,8060.0
2022-09-08,8200.0
2022-09-09,8300.0
2022-09-12,8240.0
2022-09-13,8580.0
2022-09-14,7980.0
2022-09-15,8760.0
2022-09-16,8800.0
2022-09-19,8200.0
2022-09-20,8140.0
2022-09-21,8020.0
2022-09-22,8300.0
2022-09-23,8000.0
2022-09-26,6660.0
2022-09-27,6240.0
2022-09-28,6820.0
2022-09-29,6600.0
2022-09-30,6400.0
2022-10-03,6000.0
2022-10-04,5560.0
2022-10-05,5360.0
2022-10-06,4900.0
2022-10-07,4660.0
2022-10-10,3980.0
2022-10-11,3780.0
2022-10-12,3360.0
2022-10-13,3080.0
2022-10-14,2840.0
2022-10-17,2900.0
2022-10-18,2940.0
2022-10-19,2220.0
2022-10-20,2100.0
2022-10-21,2000.0
2022-10-24,1900.0
2022-10-25,2060.0
2022-10-26,2200.0
2022-10-27,2060.0
2022-10-28,2040.0
2022-10-31,1960.0
2022-11-01,1980.0
2022-11-02,2060.0
2022-11-03,2060.0
2022-11-04,2000.0
2022-11-07,1900.0
2022-11-08,1760.0
2022-11-09,1700.0
2022-11-10,1760.0
2022-11-11,2000.0
2022-11-14,2000.0
2022-11-15,2000.0
2022-11-16,2000.0
2022-11-17,2060.0
2022-11-18,1980.0
2022-11-21,1960.0
2022-11-22,1900.0
2022-11-23,2140.0
2022-11-25,2140.0
2022-11-28,2240.0
2022-11-29,2400.0
2022-11-30,2680.0
2022-12-01,2400.0
2022-12-02,2400.0
2022-12-05,2260.0
2022-12-06,2100.0
2022-12-07,2140.0
2022-12-08,2080.0
2022-12-09,2020.0
2022-12-12,2200.0
2022-12-13,2080.0
2022-12-14,2000.0
2022-12-15,1760.0
2022-12-16,1580.0
2022-12-19,1560.0
2022-12-20,1494.0
2022-12-21,2348.0
2022-12-22,1674.0
2022-12-23,1640.0
2022-12-27,1541.0
2022-12-28,1700.0
2022-12-29,1940.0
2022-12-30,1936.0
2023-01-03,1920.0
2023-01-04,1800.0
2023-01-05,1652.0
2023-01-06,1648.0
2023-01-09,1738.0
2023-01-10,1640.0
2023-01-11,1490.0
2023-01-12,1470.0
2023-01-13,1514.0
2023-01-17,1752.0
2023-01-18,1726.0
2023-01-19,1930.0
2023-01-20,1850.0
2023-01-23,1798.0
2023-01-24,1781.0
2023-01-25,1794.0
2023-01-26,1818.0
2023-01-27,1844.0
2023-01-30,1790.0
2023-01-31,1790.0
2023-02-01,1660.0
2023-02-02,1616.0
2023-02-03,1872.0
2023-02-06,1516.0
2023-02-07,1234.0
2023-02-08,668.0
2023-02-09,604.0
