Date,APPS
2022-02-28,48.47999954223633
2022-03-01,47.040000915527344
2022-03-02,46.459999084472656
2022-03-03,44.400001525878906
2022-03-04,40.720001220703125
2022-03-07,36.13999938964844
2022-03-08,35.88999938964844
2022-03-09,39.33000183105469
2022-03-10,38.25
2022-03-11,34.869998931884766
2022-03-14,31.510000228881836
2022-03-15,32.58000183105469
2022-03-16,38.18000030517578
2022-03-17,40.72999954223633
2022-03-18,43.040000915527344
2022-03-21,41.90999984741211
2022-03-22,43.43000030517578
2022-03-23,42.400001525878906
2022-03-24,43.66999816894531
2022-03-25,42.130001068115234
2022-03-28,43.040000915527344
2022-03-29,46.970001220703125
2022-03-30,45.11000061035156
2022-03-31,43.810001373291016
2022-04-01,44.43000030517578
2022-04-04,46.349998474121094
2022-04-05,42.720001220703125
2022-04-06,40.06999969482422
2022-04-07,40.25
2022-04-08,38.81999969482422
2022-04-11,38.83000183105469
2022-04-12,38.75
2022-04-13,39.47999954223633
2022-04-14,36.97999954223633
2022-04-18,35.91999816894531
2022-04-19,37.52000045776367
2022-04-20,35.849998474121094
2022-04-21,33.63999938964844
2022-04-22,32.650001525878906
2022-04-25,34.0099983215332
2022-04-26,32.20000076293945
2022-04-27,31.139999389648438
2022-04-28,33.38999938964844
2022-04-29,31.649999618530273
2022-05-02,32.79999923706055
2022-05-03,32.86000061035156
2022-05-04,34.459999084472656
2022-05-05,31.229999542236328
2022-05-06,29.290000915527344
2022-05-09,26.049999237060547
2022-05-10,25.299999237060547
2022-05-11,22.979999542236328
2022-05-12,23.889999389648438
2022-05-13,27.389999389648438
2022-05-16,25.739999771118164
2022-05-17,27.209999084472656
2022-05-18,25.280000686645508
2022-05-19,26.3799991607666
2022-05-20,25.479999542236328
2022-05-23,25.510000228881836
2022-05-24,22.149999618530273
2022-05-25,23.649999618530273
2022-05-26,25.040000915527344
2022-05-27,26.65999984741211
2022-05-31,25.43000030517578
2022-06-01,19.68000030517578
2022-06-02,21.639999389648438
2022-06-03,20.719999313354492
2022-06-06,20.149999618530273
2022-06-07,20.639999389648438
2022-06-08,20.190000534057617
2022-06-09,18.959999084472656
2022-06-10,17.209999084472656
2022-06-13,15.5
2022-06-14,15.369999885559082
2022-06-15,16.149999618530273
2022-06-16,14.9399995803833
2022-06-17,15.479999542236328
2022-06-21,15.40999984741211
2022-06-22,15.75
2022-06-23,16.59000015258789
2022-06-24,17.34000015258789
2022-06-27,17.610000610351562
2022-06-28,17.0
2022-06-29,17.979999542236328
2022-06-30,17.469999313354492
2022-07-01,17.190000534057617
2022-07-05,18.979999542236328
2022-07-06,17.829999923706055
2022-07-07,18.06999969482422
2022-07-08,17.510000228881836
2022-07-11,16.510000228881836
2022-07-12,16.329999923706055
2022-07-13,16.709999084472656
2022-07-14,16.420000076293945
2022-07-15,16.940000534057617
2022-07-18,17.549999237060547
2022-07-19,18.850000381469727
2022-07-20,21.030000686645508
2022-07-21,21.350000381469727
2022-07-22,19.5
2022-07-25,19.219999313354492
2022-07-26,18.559999465942383
2022-07-27,19.389999389648438
2022-07-28,19.90999984741211
2022-07-29,20.06999969482422
2022-08-01,20.100000381469727
2022-08-02,20.950000762939453
2022-08-03,22.399999618530273
2022-08-04,23.149999618530273
2022-08-05,22.8799991607666
2022-08-08,23.700000762939453
2022-08-09,21.299999237060547
2022-08-10,23.329999923706055
2022-08-11,22.90999984741211
2022-08-12,23.700000762939453
2022-08-15,24.489999771118164
2022-08-16,24.979999542236328
2022-08-17,23.639999389648438
2022-08-18,23.969999313354492
2022-08-19,22.209999084472656
2022-08-22,21.360000610351562
2022-08-23,21.100000381469727
2022-08-24,21.100000381469727
2022-08-25,21.59000015258789
2022-08-26,19.610000610351562
2022-08-29,19.170000076293945
2022-08-30,18.6200008392334
2022-08-31,18.469999313354492
2022-09-01,17.719999313354492
2022-09-02,17.579999923706055
2022-09-06,17.09000015258789
2022-09-07,17.530000686645508
2022-09-08,17.760000228881836
2022-09-09,18.8700008392334
2022-09-12,20.329999923706055
2022-09-13,18.1200008392334
2022-09-14,18.049999237060547
2022-09-15,17.690000534057617
2022-09-16,16.479999542236328
2022-09-19,17.09000015258789
2022-09-20,16.6299991607666
2022-09-21,16.450000762939453
2022-09-22,15.270000457763672
2022-09-23,14.90999984741211
2022-09-26,14.529999732971191
2022-09-27,14.5600004196167
2022-09-28,15.34000015258789
2022-09-29,14.430000305175781
2022-09-30,14.40999984741211
2022-10-03,14.819999694824219
2022-10-04,15.949999809265137
2022-10-05,16.020000457763672
2022-10-06,15.789999961853027
2022-10-07,14.4399995803833
2022-10-10,13.760000228881836
2022-10-11,13.34000015258789
2022-10-12,13.3100004196167
2022-10-13,13.8100004196167
2022-10-14,13.039999961853027
2022-10-17,14.630000114440918
2022-10-18,15.109999656677246
2022-10-19,14.069999694824219
2022-10-20,13.920000076293945
2022-10-21,14.039999961853027
2022-10-24,14.25
2022-10-25,15.109999656677246
2022-10-26,14.350000381469727
2022-10-27,14.109999656677246
2022-10-28,14.819999694824219
2022-10-31,14.600000381469727
2022-11-01,14.760000228881836
2022-11-02,13.329999923706055
2022-11-03,12.630000114440918
2022-11-04,12.359999656677246
2022-11-07,12.210000038146973
2022-11-08,11.529999732971191
2022-11-09,10.770000457763672
2022-11-10,17.329999923706055
2022-11-11,19.190000534057617
2022-11-14,18.200000762939453
2022-11-15,19.709999084472656
2022-11-16,18.520000457763672
2022-11-17,17.440000534057617
2022-11-18,17.260000228881836
2022-11-21,16.200000762939453
2022-11-22,16.450000762939453
2022-11-23,17.270000457763672
2022-11-25,17.329999923706055
2022-11-28,16.579999923706055
2022-11-29,16.84000015258789
2022-11-30,18.260000228881836
2022-12-01,18.780000686645508
2022-12-02,18.81999969482422
2022-12-05,17.440000534057617
2022-12-06,15.720000267028809
2022-12-07,15.65999984741211
2022-12-08,16.3700008392334
2022-12-09,16.40999984741211
2022-12-12,16.219999313354492
2022-12-13,16.93000030517578
2022-12-14,16.6200008392334
2022-12-15,15.430000305175781
2022-12-16,15.210000038146973
2022-12-19,14.550000190734863
2022-12-20,14.680000305175781
2022-12-21,14.670000076293945
2022-12-22,14.59000015258789
2022-12-23,14.109999656677246
2022-12-27,13.890000343322754
2022-12-28,14.010000228881836
2022-12-29,15.3100004196167
2022-12-30,15.239999771118164
2023-01-03,15.029999732971191
2023-01-04,15.850000381469727
2023-01-05,15.0600004196167
2023-01-06,15.600000381469727
2023-01-09,15.989999771118164
2023-01-10,16.469999313354492
2023-01-11,16.739999771118164
2023-01-12,16.579999923706055
2023-01-13,16.850000381469727
2023-01-17,16.520000457763672
2023-01-18,15.579999923706055
2023-01-19,14.770000457763672
2023-01-20,15.520000457763672
2023-01-23,16.68000030517578
2023-01-24,16.399999618530273
2023-01-25,16.389999389648438
2023-01-26,16.860000610351562
2023-01-27,17.829999923706055
2023-01-30,16.799999237060547
2023-01-31,17.360000610351562
2023-02-01,16.770000457763672
2023-02-02,18.459999084472656
2023-02-03,17.280000686645508
2023-02-06,16.780000686645508
2023-02-07,17.170000076293945
2023-02-08,16.209999084472656
2023-02-09,12.329999923706055
2023-02-10,12.329999923706055
2023-02-13,12.649999618530273
2023-02-14,12.630000114440918
2023-02-15,13.34000015258789
2023-02-16,12.829999923706055
2023-02-17,12.630000114440918
2023-02-21,11.710000038146973
2023-02-22,11.609999656677246
2023-02-23,11.460000038146973
2023-02-24,10.90999984741211
2023-02-27,10.800000190734863
2023-02-28,10.739999771118164
2023-03-01,10.859999656677246
2023-03-02,10.760000228881836
2023-03-03,11.069999694824219
2023-03-06,10.739999771118164
2023-03-07,10.430000305175781
2023-03-08,10.550000190734863
2023-03-09,10.130000114440918
2023-03-10,9.800000190734863
2023-03-13,9.819999694824219
2023-03-14,10.520000457763672
2023-03-15,10.5
2023-03-16,10.380000114440918
2023-03-17,10.229999542236328
2023-03-20,10.210000038146973
2023-03-21,11.180000305175781
2023-03-22,10.569999694824219
2023-03-23,11.0600004196167
2023-03-24,11.279999732971191
2023-03-27,11.550000190734863
2023-03-28,11.369999885559082
2023-03-29,12.119999885559082
2023-03-30,12.109999656677246
2023-03-31,12.359999656677246
2023-04-03,12.279999732971191
2023-04-04,12.319999694824219
2023-04-05,11.90999984741211
2023-04-06,12.220000267028809
2023-04-10,12.279999732971191
2023-04-11,12.460000038146973
2023-04-12,12.199999809265137
2023-04-13,12.609999656677246
2023-04-14,12.270000457763672
2023-04-17,12.470000267028809
2023-04-18,12.539999961853027
2023-04-19,12.569999694824219
2023-04-20,12.350000381469727
2023-04-21,12.380000114440918
2023-04-24,12.279999732971191
2023-04-25,11.989999771118164
2023-04-26,11.960000038146973
2023-04-27,12.100000381469727
2023-04-28,11.729999542236328
2023-05-01,11.710000038146973
2023-05-02,11.300000190734863
2023-05-03,11.380000114440918
2023-05-04,11.510000228881836
2023-05-05,11.84000015258789
2023-05-08,11.920000076293945
2023-05-09,11.710000038146973
2023-05-10,12.029999732971191
2023-05-11,12.369999885559082
2023-05-12,12.25
2023-05-15,12.630000114440918
2023-05-16,12.420000076293945
2023-05-17,13.329999923706055
2023-05-18,14.020000457763672
2023-05-19,13.779999732971191
2023-05-22,14.359999656677246
2023-05-23,14.350000381469727
2023-05-24,14.430000305175781
2023-05-25,8.229999542236328
2023-05-26,9.109999656677246
2023-05-30,8.829999923706055
2023-05-31,9.140000343322754
2023-06-01,9.289999961853027
2023-06-02,9.399999618530273
2023-06-05,8.899999618530273
2023-06-06,9.210000038146973
2023-06-07,9.289999961853027
2023-06-08,9.390000343322754
2023-06-09,9.050000190734863
2023-06-12,8.9399995803833
2023-06-13,9.220000267028809
2023-06-14,9.069999694824219
2023-06-15,9.130000114440918
2023-06-16,9.300000190734863
2023-06-20,8.9399995803833
2023-06-21,8.529999732971191
2023-06-22,8.25
2023-06-23,7.829999923706055
2023-06-26,8.149999618530273
2023-06-27,8.710000038146973
2023-06-28,8.720000267028809
2023-06-29,8.609999656677246
2023-06-30,9.279999732971191
2023-07-03,9.569999694824219
2023-07-05,9.529999732971191
2023-07-06,9.210000038146973
2023-07-07,9.3100004196167
2023-07-10,9.470000267028809
2023-07-11,10.09000015258789
2023-07-12,10.510000228881836
2023-07-13,11.180000305175781
2023-07-14,10.779999732971191
2023-07-17,11.0
2023-07-18,10.920000076293945
2023-07-19,10.829999923706055
2023-07-20,10.460000038146973
2023-07-21,10.489999771118164
2023-07-24,10.399999618530273
2023-07-25,10.460000038146973
2023-07-26,10.640000343322754
2023-07-27,10.279999732971191
2023-07-28,10.680000305175781
2023-07-31,10.84000015258789
2023-08-01,10.670000076293945
2023-08-02,10.359999656677246
2023-08-03,10.239999771118164
2023-08-04,10.369999885559082
2023-08-07,10.460000038146973
2023-08-08,10.130000114440918
2023-08-09,9.289999961853027
