Date,WKHS
2022-02-28,62.599998474121094
2022-03-01,74.80000305175781
2022-03-02,75.80000305175781
2022-03-03,74.80000305175781
2022-03-04,73.5999984741211
2022-03-07,72.5999984741211
2022-03-08,76.5999984741211
2022-03-09,76.19999694824219
2022-03-10,77.0
2022-03-11,68.19999694824219
2022-03-14,60.79999923706055
2022-03-15,64.5999984741211
2022-03-16,74.0
2022-03-17,83.80000305175781
2022-03-18,87.5999984741211
2022-03-21,85.19999694824219
2022-03-22,88.19999694824219
2022-03-23,88.80000305175781
2022-03-24,89.80000305175781
2022-03-25,86.5999984741211
2022-03-28,88.5999984741211
2022-03-29,99.19999694824219
2022-03-30,100.5999984741211
2022-03-31,100.0
2022-04-01,95.0
2022-04-04,106.80000305175781
2022-04-05,100.80000305175781
2022-04-06,88.80000305175781
2022-04-07,85.19999694824219
2022-04-08,79.0
2022-04-11,77.80000305175781
2022-04-12,75.0
2022-04-13,76.4000015258789
2022-04-14,71.4000015258789
2022-04-18,68.4000015258789
2022-04-19,69.4000015258789
2022-04-20,65.19999694824219
2022-04-21,64.80000305175781
2022-04-22,64.4000015258789
2022-04-25,66.4000015258789
2022-04-26,61.400001525878906
2022-04-27,60.400001525878906
2022-04-28,62.20000076293945
2022-04-29,60.20000076293945
2022-05-02,63.0
2022-05-03,63.79999923706055
2022-05-04,66.19999694824219
2022-05-05,60.79999923706055
2022-05-06,56.599998474121094
2022-05-09,50.79999923706055
2022-05-10,53.0
2022-05-11,46.400001525878906
2022-05-12,51.0
2022-05-13,56.400001525878906
2022-05-16,55.0
2022-05-17,59.400001525878906
2022-05-18,57.0
2022-05-19,58.79999923706055
2022-05-20,55.599998474121094
2022-05-23,55.20000076293945
2022-05-24,50.20000076293945
2022-05-25,51.20000076293945
2022-05-26,54.400001525878906
2022-05-27,59.599998474121094
2022-05-31,61.79999923706055
2022-06-01,56.0
2022-06-02,64.5999984741211
2022-06-03,59.0
2022-06-06,58.79999923706055
2022-06-07,59.20000076293945
2022-06-08,61.79999923706055
2022-06-09,58.79999923706055
2022-06-10,55.79999923706055
2022-06-13,54.400001525878906
2022-06-14,54.0
2022-06-15,58.79999923706055
2022-06-16,56.20000076293945
2022-06-17,58.79999923706055
2022-06-21,57.79999923706055
2022-06-22,58.20000076293945
2022-06-23,63.400001525878906
2022-06-24,62.79999923706055
2022-06-27,58.400001525878906
2022-06-28,54.400001525878906
2022-06-29,52.0
2022-06-30,52.0
2022-07-01,52.0
2022-07-05,55.20000076293945
2022-07-06,55.20000076293945
2022-07-07,57.20000076293945
2022-07-08,58.20000076293945
