Date,GRYP
2022-02-28,460.0
2022-03-01,448.0
2022-03-02,448.0
2022-03-03,448.0
2022-03-04,416.0
2022-03-07,404.0
2022-03-08,408.0
2022-03-09,428.0
2022-03-10,448.0
2022-03-11,432.0
2022-03-14,400.0
2022-03-15,404.0
2022-03-16,448.0
2022-03-17,436.0
2022-03-18,424.0
2022-03-21,456.0
2022-03-22,440.0
2022-03-23,460.0
2022-03-24,548.0
2022-03-25,532.0
2022-03-28,456.0
2022-03-29,484.0
2022-03-30,464.0
2022-03-31,456.0
2022-04-01,452.0
2022-04-04,444.0
2022-04-05,416.0
2022-04-06,424.0
2022-04-07,416.0
2022-04-08,404.0
2022-04-11,378.3999938964844
2022-04-12,379.20001220703125
2022-04-13,388.0
2022-04-14,366.3999938964844
2022-04-18,344.0
2022-04-19,349.20001220703125
2022-04-20,335.6000061035156
2022-04-21,313.20001220703125
2022-04-22,305.6000061035156
2022-04-25,298.3999938964844
2022-04-26,280.0
2022-04-27,266.0
2022-04-28,274.0
2022-04-29,272.0
2022-05-02,273.6000061035156
2022-05-03,267.6000061035156
2022-05-04,271.20001220703125
2022-05-05,262.79998779296875
2022-05-06,248.0
2022-05-09,214.39999389648438
2022-05-10,184.0
2022-05-11,162.8000030517578
2022-05-12,165.1999969482422
2022-05-13,176.8000030517578
2022-05-16,184.0
2022-05-17,174.8000030517578
2022-05-18,161.60000610351562
2022-05-19,174.0
2022-05-20,160.0
2022-05-23,157.60000610351562
2022-05-24,153.1999969482422
2022-05-25,156.0
2022-05-26,163.60000610351562
2022-05-27,169.1999969482422
2022-05-31,160.0
2022-06-01,164.39999389648438
2022-06-02,163.1999969482422
2022-06-03,170.39999389648438
2022-06-06,168.0
2022-06-07,168.0
2022-06-08,175.60000610351562
2022-06-09,176.0
2022-06-10,162.8000030517578
2022-06-13,153.1999969482422
2022-06-14,147.1999969482422
2022-06-15,144.0
2022-06-16,132.0
2022-06-17,130.39999389648438
2022-06-21,139.60000610351562
2022-06-22,129.60000610351562
2022-06-23,148.8000030517578
2022-06-24,144.0
2022-06-27,136.0
2022-06-28,122.0
2022-06-29,117.5999984741211
2022-06-30,55.20000076293945
2022-07-01,60.400001525878906
2022-07-05,65.5999984741211
2022-07-06,65.19999694824219
2022-07-07,64.80000305175781
2022-07-08,68.0
2022-07-11,62.400001525878906
2022-07-12,61.20000076293945
2022-07-13,59.20000076293945
2022-07-14,72.0
2022-07-15,68.0
2022-07-18,68.80000305175781
2022-07-19,64.0
2022-07-20,67.19999694824219
2022-07-21,67.5999984741211
2022-07-22,60.79999923706055
2022-07-25,64.0
2022-07-26,56.79999923706055
2022-07-27,57.20000076293945
