Date,UAVS
2022-02-28,1170.0
2022-03-01,1100.0
2022-03-02,1050.0
2022-03-03,1010.0
2022-03-04,990.0
2022-03-07,1100.0
2022-03-08,1010.0
2022-03-09,960.0
2022-03-10,1070.0
2022-03-11,970.0
2022-03-14,940.0
2022-03-15,910.0
2022-03-16,1140.0
2022-03-17,1060.0
2022-03-18,1120.0
2022-03-21,1120.0
2022-03-22,1170.0
2022-03-23,1220.0
2022-03-24,1520.0
2022-03-25,1330.0
2022-03-28,1270.0
2022-03-29,1280.0
2022-03-30,1260.0
2022-03-31,1190.0
2022-04-01,1150.0
2022-04-04,1190.0
2022-04-05,1120.0
2022-04-06,1060.0
2022-04-07,1040.0
2022-04-08,1010.0
2022-04-11,1010.0
2022-04-12,1050.0
2022-04-13,1050.0
2022-04-14,1020.0
2022-04-18,930.0
2022-04-19,970.0
2022-04-20,1010.0
2022-04-21,930.0
2022-04-22,930.0
2022-04-25,910.0
2022-04-26,840.0
2022-04-27,830.0
2022-04-28,840.0
2022-04-29,810.0
2022-05-02,810.0
2022-05-03,830.0
2022-05-04,940.0
2022-05-05,860.0
2022-05-06,840.0
2022-05-09,790.0
2022-05-10,740.0
2022-05-11,660.0
2022-05-12,690.0
2022-05-13,750.0
2022-05-16,760.0
2022-05-17,830.0
2022-05-18,780.0
2022-05-19,780.0
2022-05-20,790.0
2022-05-23,850.0
2022-05-24,780.0
2022-05-25,770.0
2022-05-26,790.0
2022-05-27,840.0
2022-05-31,780.0
2022-06-01,760.0
2022-06-02,800.0
2022-06-03,810.0
2022-06-06,820.0
2022-06-07,870.0
2022-06-08,850.0
2022-06-09,840.0
2022-06-10,770.0
2022-06-13,700.0
2022-06-14,670.0
2022-06-15,640.0
2022-06-16,580.0
2022-06-17,580.0
2022-06-21,770.0
2022-06-22,710.0
2022-06-23,720.0
2022-06-24,700.0
2022-06-27,690.0
2022-06-28,630.0
2022-06-29,630.0
2022-06-30,650.0
2022-07-01,660.0
2022-07-05,670.0
2022-07-06,660.0
2022-07-07,700.0
2022-07-08,700.0
2022-07-11,670.0
2022-07-12,700.0
2022-07-13,680.0
2022-07-14,650.0
2022-07-15,650.0
2022-07-18,640.0
2022-07-19,660.0
2022-07-20,680.0
2022-07-21,690.0
2022-07-22,670.0
2022-07-25,650.0
2022-07-26,610.0
2022-07-27,630.0
2022-07-28,620.0
2022-07-29,630.0
2022-08-01,630.0
2022-08-02,640.0
2022-08-03,670.0
2022-08-04,670.0
2022-08-05,670.0
2022-08-08,720.0
2022-08-09,670.0
2022-08-10,700.0
2022-08-11,720.0
2022-08-12,740.0
2022-08-15,790.0
2022-08-16,690.0
2022-08-17,640.0
2022-08-18,640.0
2022-08-19,620.0
2022-08-22,610.0
2022-08-23,620.0
2022-08-24,630.0
2022-08-25,630.0
2022-08-26,610.0
2022-08-29,600.0
2022-08-30,570.0
2022-08-31,570.0
2022-09-01,550.0
2022-09-02,560.0
2022-09-06,540.0
2022-09-07,610.0
2022-09-08,650.0
2022-09-09,630.0
2022-09-12,620.0
2022-09-13,590.0
2022-09-14,560.0
2022-09-15,560.0
2022-09-16,570.0
2022-09-19,530.0
2022-09-20,510.0
2022-09-21,530.0
2022-09-22,540.0
2022-09-23,500.0
2022-09-26,470.0
2022-09-27,460.0
2022-09-28,510.0
2022-09-29,490.0
2022-09-30,460.0
2022-10-03,470.0
2022-10-04,500.0
2022-10-05,490.0
2022-10-06,510.0
2022-10-07,470.0
2022-10-10,440.0
2022-10-11,430.0
2022-10-12,430.0
2022-10-13,430.0
2022-10-14,430.0
2022-10-17,440.0
2022-10-18,460.0
2022-10-19,470.0
2022-10-20,460.0
2022-10-21,440.0
2022-10-24,460.0
2022-10-25,480.0
2022-10-26,480.0
2022-10-27,540.0
2022-10-28,540.0
2022-10-31,530.0
2022-11-01,550.0
2022-11-02,530.0
2022-11-03,520.0
2022-11-04,510.0
2022-11-07,520.0
2022-11-08,510.0
2022-11-09,480.0
2022-11-10,520.0
2022-11-11,540.0
2022-11-14,570.0
2022-11-15,580.0
2022-11-16,530.0
2022-11-17,520.0
2022-11-18,520.0
2022-11-21,510.0
2022-11-22,500.0
2022-11-23,470.0
2022-11-25,470.0
2022-11-28,430.0
2022-11-29,420.0
2022-11-30,430.0
2022-12-01,420.0
2022-12-02,430.0
2022-12-05,410.0
2022-12-06,420.0
2022-12-07,400.0
2022-12-08,410.0
2022-12-09,410.0
2022-12-12,400.0
2022-12-13,420.0
2022-12-14,410.0
2022-12-15,410.0
2022-12-16,390.0
2022-12-19,360.0
2022-12-20,360.0
2022-12-21,350.0
2022-12-22,320.0
2022-12-23,350.0
2022-12-27,310.0
2022-12-28,310.0
2022-12-29,320.0
2022-12-30,350.0
2023-01-03,350.0
2023-01-04,380.0
2023-01-05,380.0
2023-01-06,390.0
2023-01-09,400.0
2023-01-10,420.0
2023-01-11,420.0
2023-01-12,420.0
2023-01-13,420.0
2023-01-17,500.0
2023-01-18,480.0
2023-01-19,480.0
2023-01-20,510.0
2023-01-23,520.0
2023-01-24,520.0
2023-01-25,510.0
2023-01-26,520.0
2023-01-27,530.0
2023-01-30,510.0
2023-01-31,530.0
2023-02-01,560.0
2023-02-02,580.0
2023-02-03,560.0
2023-02-06,540.0
2023-02-07,480.0
2023-02-08,470.0
2023-02-09,440.0
2023-02-10,440.0
2023-02-13,430.0
2023-02-14,440.0
2023-02-15,470.0
2023-02-16,460.0
2023-02-17,450.0
2023-02-21,430.0
2023-02-22,440.0
2023-02-23,440.0
2023-02-24,420.0
2023-02-27,440.0
2023-02-28,440.0
2023-03-01,420.0
2023-03-02,420.0
2023-03-03,430.0
2023-03-06,430.0
2023-03-07,420.0
2023-03-08,410.0
2023-03-09,400.0
2023-03-10,390.0
2023-03-13,370.0
2023-03-14,370.0
2023-03-15,370.0
2023-03-16,370.0
2023-03-17,380.0
2023-03-20,420.0
2023-03-21,390.0
2023-03-22,390.0
2023-03-23,390.0
2023-03-24,380.0
2023-03-27,410.0
2023-03-28,410.0
2023-03-29,420.0
2023-03-30,450.0
2023-03-31,450.0
2023-04-03,500.0
2023-04-04,480.0
2023-04-05,430.0
2023-04-06,440.0
2023-04-10,410.0
2023-04-11,410.0
2023-04-12,420.0
2023-04-13,460.0
2023-04-14,450.0
2023-04-17,450.0
2023-04-18,420.0
2023-04-19,410.0
2023-04-20,390.0
2023-04-21,390.0
2023-04-24,370.0
2023-04-25,370.0
2023-04-26,370.0
2023-04-27,400.0
2023-04-28,390.0
2023-05-01,380.0
2023-05-02,380.0
2023-05-03,370.0
2023-05-04,370.0
2023-05-05,380.0
2023-05-08,390.0
2023-05-09,390.0
2023-05-10,390.0
2023-05-11,380.0
2023-05-12,390.0
2023-05-15,380.0
2023-05-16,380.0
2023-05-17,390.0
2023-05-18,390.0
2023-05-19,390.0
2023-05-22,390.0
2023-05-23,390.0
2023-05-24,380.0
2023-05-25,360.0
2023-05-26,370.0
2023-05-30,380.0
2023-05-31,370.0
2023-06-01,370.0
2023-06-02,380.0
2023-06-05,340.0
2023-06-06,310.0
2023-06-07,310.0
2023-06-08,300.0
2023-06-09,300.0
2023-06-12,290.0
2023-06-13,290.0
2023-06-14,280.0
2023-06-15,280.0
2023-06-16,260.0
2023-06-20,260.0
2023-06-21,250.0
2023-06-22,230.0
2023-06-23,230.0
2023-06-26,220.0
2023-06-27,230.0
2023-06-28,230.0
2023-06-29,230.0
2023-06-30,230.0
2023-07-03,230.0
2023-07-05,230.0
2023-07-06,220.0
2023-07-07,220.0
2023-07-10,230.0
2023-07-11,240.0
2023-07-12,240.0
2023-07-13,260.0
2023-07-14,240.0
2023-07-17,230.0
2023-07-18,240.0
2023-07-19,240.0
2023-07-20,240.0
2023-07-21,240.0
2023-07-24,240.0
2023-07-25,230.0
2023-07-26,230.0
2023-07-27,220.0
2023-07-28,220.0
2023-07-31,230.0
2023-08-01,250.0
2023-08-02,250.0
2023-08-03,240.0
2023-08-04,240.0
2023-08-07,230.0
2023-08-08,220.0
2023-08-09,220.0
2023-08-10,220.0
2023-08-11,240.0
2023-08-14,230.0
2023-08-15,210.0
2023-08-16,180.0
2023-08-17,170.0
2023-08-18,160.0
2023-08-21,170.0
2023-08-22,170.0
2023-08-23,170.0
2023-08-24,160.0
2023-08-25,160.0
2023-08-28,170.0
2023-08-29,180.0
2023-08-30,160.0
2023-08-31,170.0
2023-09-01,170.0
2023-09-05,180.0
2023-09-06,180.0
2023-09-07,170.0
2023-09-08,170.0
2023-09-11,190.0
2023-09-12,200.0
2023-09-13,210.0
2023-09-14,200.0
2023-09-15,190.0
2023-09-18,200.0
2023-09-19,200.0
2023-09-20,210.0
2023-09-21,190.0
2023-09-22,190.0
2023-09-25,180.0
2023-09-26,180.0
2023-09-27,170.0
2023-09-28,170.0
2023-09-29,170.0
2023-10-02,170.0
2023-10-03,170.0
2023-10-04,170.0
2023-10-05,170.0
2023-10-06,180.0
2023-10-09,170.0
2023-10-10,170.0
2023-10-11,150.0
2023-10-12,150.0
2023-10-13,150.0
2023-10-16,120.0
2023-10-17,110.0
2023-10-18,130.0
2023-10-19,120.0
2023-10-20,110.0
2023-10-23,100.0
2023-10-24,110.0
2023-10-25,110.0
2023-10-26,110.0
2023-10-27,110.0
2023-10-30,100.0
2023-10-31,100.0
2023-11-01,110.0
2023-11-02,110.0
2023-11-03,130.0
2023-11-06,130.0
2023-11-07,130.0
2023-11-08,130.0
2023-11-09,120.0
2023-11-10,120.0
2023-11-13,120.0
2023-11-14,130.0
2023-11-15,160.0
2023-11-16,150.0
2023-11-17,130.0
2023-11-20,140.0
2023-11-21,130.0
2023-11-22,140.0
2023-11-24,140.0
2023-11-27,140.0
2023-11-28,140.0
2023-11-29,130.0
2023-11-30,120.0
2023-12-01,120.0
2023-12-04,120.0
2023-12-05,120.0
2023-12-06,120.0
2023-12-07,120.0
2023-12-08,120.0
2023-12-11,110.0
2023-12-12,110.0
2023-12-13,110.0
2023-12-14,120.0
2023-12-15,110.0
2023-12-18,110.0
2023-12-19,110.0
2023-12-20,110.0
2023-12-21,110.0
2023-12-22,110.0
2023-12-26,110.0
2023-12-27,110.0
2023-12-28,110.0
2023-12-29,100.0
2024-01-02,110.0
2024-01-03,100.0
2024-01-04,100.0
2024-01-05,100.0
2024-01-08,110.0
2024-01-09,100.0
2024-01-10,100.0
2024-01-11,100.0
2024-01-12,100.0
2024-01-16,100.0
2024-01-17,100.0
2024-01-18,90.0
2024-01-19,90.0
2024-01-22,80.0
2024-01-23,90.0
2024-01-24,90.0
2024-01-25,90.0
2024-01-26,90.0
2024-01-29,90.0
2024-01-30,80.0
2024-01-31,70.0
2024-02-01,70.0
2024-02-02,70.0
2024-02-05,70.0
2024-02-06,70.0
2024-02-07,70.0
2024-02-08,70.0
2024-02-09,66.0
2024-02-12,64.0
2024-02-13,59.0
2024-02-14,56.0
2024-02-15,73.0
2024-02-16,69.5
2024-02-20,62.0
2024-02-21,64.0
2024-02-22,60.5
2024-02-23,57.5
2024-02-26,53.5
2024-02-27,53.0
2024-02-28,60.0
2024-02-29,64.5
2024-03-01,64.5
2024-03-04,60.5
2024-03-05,59.0
2024-03-06,59.5
2024-03-07,60.0
2024-03-08,55.5
2024-03-11,55.0
2024-03-12,53.5
2024-03-13,53.0
2024-03-14,50.0
2024-03-15,44.5
2024-03-18,45.5
2024-03-19,41.0
2024-03-20,39.0
2024-03-21,34.0
2024-03-22,34.0
2024-03-25,37.0
2024-03-26,35.5
2024-03-27,39.0
2024-03-28,39.5
2024-04-01,37.0
2024-04-02,34.5
2024-04-03,31.5
2024-04-04,33.0
2024-04-05,34.0
2024-04-08,36.5
2024-04-09,39.5
2024-04-10,36.0
2024-04-11,34.5
2024-04-12,35.5
2024-04-15,36.0
2024-04-16,33.0
2024-04-17,32.0
2024-04-18,31.0
2024-04-19,32.0
2024-04-22,32.5
2024-04-23,37.0
2024-04-24,38.0
2024-04-25,36.0
2024-04-26,34.0
2024-04-29,35.0
2024-04-30,34.5
2024-05-01,33.0
2024-05-02,33.5
2024-05-03,33.5
2024-05-06,35.0
2024-05-07,34.0
2024-05-08,34.0
2024-05-09,34.0
2024-05-10,33.5
2024-05-13,35.5
2024-05-14,37.0
2024-05-15,35.0
2024-05-16,34.5
2024-05-17,33.5
2024-05-20,34.5
2024-05-21,34.5
2024-05-22,33.5
2024-05-23,31.5
2024-05-24,31.5
2024-05-28,31.5
2024-05-29,32.0
2024-05-30,33.0
2024-05-31,35.0
2024-06-03,33.0
2024-06-04,32.0
2024-06-05,32.0
2024-06-06,32.0
2024-06-07,31.5
2024-06-10,31.5
2024-06-11,32.0
2024-06-12,33.0
2024-06-13,32.0
2024-06-14,31.0
2024-06-17,26.5
2024-06-18,26.0
2024-06-20,25.5
2024-06-21,25.0
2024-06-24,26.0
2024-06-25,25.5
2024-06-26,25.0
2024-06-27,24.5
2024-06-28,25.0
2024-07-01,24.5
2024-07-02,23.0
2024-07-03,23.0
2024-07-05,22.5
2024-07-08,22.0
2024-07-09,21.0
2024-07-10,21.0
2024-07-11,22.0
2024-07-12,24.0
2024-07-15,23.0
2024-07-16,24.0
2024-07-17,23.5
2024-07-18,21.5
2024-07-19,21.0
2024-07-22,23.0
2024-07-23,22.5
2024-07-24,22.0
2024-07-25,23.5
2024-07-26,22.5
2024-07-29,21.5
2024-07-30,20.5
2024-07-31,22.0
2024-08-01,21.0
2024-08-02,21.0
2024-08-05,20.0
2024-08-06,19.5
2024-08-07,18.5
2024-08-08,18.5
2024-08-09,18.0
2024-08-12,19.0
2024-08-13,20.0
2024-08-14,19.0
2024-08-15,19.0
2024-08-16,19.5
2024-08-19,20.5
2024-08-20,19.5
2024-08-21,20.5
2024-08-22,21.5
2024-08-23,24.0
2024-08-26,21.5
2024-08-27,20.0
2024-08-28,18.5
2024-08-29,19.0
2024-08-30,19.5
2024-09-03,16.0
2024-09-04,14.5
2024-09-05,15.0
2024-09-06,14.0
2024-09-09,13.5
2024-09-10,13.0
2024-09-11,13.5
2024-09-12,14.5
2024-09-13,15.0
2024-09-16,15.0
2024-09-17,14.5
2024-09-18,14.0
2024-09-19,13.0
2024-09-20,14.0
2024-09-23,14.0
2024-09-24,13.0
2024-09-25,13.5
2024-09-26,12.0
2024-09-27,13.5
2024-09-30,4.5
2024-10-01,8.0
2024-10-02,6.5
2024-10-03,6.0
2024-10-04,5.0
2024-10-07,5.0
2024-10-08,5.0
2024-10-09,5.0
2024-10-10,5.0
2024-10-11,5.0
2024-10-14,5.0
2024-10-15,2.690000057220459
2024-10-16,2.509999990463257
2024-10-17,2.25
2024-10-18,2.2799999713897705
2024-10-21,1.7999999523162842
2024-10-22,1.6799999475479126
2024-10-23,2.2200000286102295
2024-10-24,1.7200000286102295
2024-10-25,2.25
2024-10-28,2.690000057220459
2024-10-29,2.869999885559082
2024-10-30,2.7200000286102295
2024-10-31,2.6600000858306885
2024-11-01,2.5799999237060547
2024-11-04,2.259999990463257
2024-11-05,2.309999942779541
2024-11-06,2.369999885559082
2024-11-07,2.25
2024-11-08,2.009999990463257
2024-11-11,1.899999976158142
2024-11-12,1.8200000524520874
2024-11-13,1.6100000143051147
2024-11-14,3.5799999237060547
2024-11-15,2.9000000953674316
2024-11-18,3.890000104904175
2024-11-19,4.0
2024-11-20,3.640000104904175
2024-11-21,3.200000047683716
