Date,DBGI
2023-04-18,29.0
2023-04-19,29.5
2023-04-20,26.5
2023-04-21,26.75
2023-04-24,25.0
2023-04-25,23.200000762939453
2023-04-26,20.75
2023-04-27,19.75
2023-04-28,19.125
2023-05-01,18.25
2023-05-02,18.75
2023-05-03,19.75
2023-05-04,24.325000762939453
2023-05-05,25.75
2023-05-08,31.5
2023-05-09,24.25
2023-05-10,25.75
2023-05-11,23.25
2023-05-12,22.375
2023-05-15,22.649999618530273
2023-05-16,22.774999618530273
2023-05-17,23.549999237060547
2023-05-18,22.75
2023-05-19,23.725000381469727
2023-05-22,22.424999237060547
2023-05-23,20.5
2023-05-24,20.200000762939453
2023-05-25,19.549999237060547
2023-05-26,19.325000762939453
2023-05-30,17.75
2023-05-31,18.350000381469727
2023-06-01,18.75
2023-06-02,18.375
2023-06-05,18.5
2023-06-06,19.5
2023-06-07,18.75
2023-06-08,18.5
2023-06-09,17.524999618530273
2023-06-12,17.825000762939453
2023-06-13,17.875
2023-06-14,17.450000762939453
2023-06-15,18.399999618530273
2023-06-16,17.774999618530273
2023-06-20,18.125
2023-06-21,17.375
2023-06-22,16.549999237060547
2023-06-23,17.25
2023-06-26,17.024999618530273
2023-06-27,17.100000381469727
2023-06-28,16.625
2023-06-29,16.625
2023-06-30,16.450000762939453
2023-07-03,16.475000381469727
2023-07-05,15.75
2023-07-06,15.75
2023-07-07,15.925000190734863
2023-07-10,15.625
2023-07-11,15.5
2023-07-12,15.625
2023-07-13,15.0
2023-07-14,14.75
2023-07-17,14.149999618530273
2023-07-18,14.425000190734863
2023-07-19,14.274999618530273
2023-07-20,14.25
2023-07-21,14.5
2023-07-24,14.625
2023-07-25,14.449999809265137
2023-07-26,15.0
2023-07-27,14.25
2023-07-28,14.574999809265137
2023-07-31,14.274999618530273
2023-08-01,14.25
2023-08-02,13.5
2023-08-03,12.25
2023-08-04,11.850000381469727
2023-08-07,10.25
2023-08-08,10.175000190734863
2023-08-09,9.800000190734863
2023-08-10,9.0
2023-08-11,9.199999809265137
2023-08-14,10.725000381469727
2023-08-15,10.199999809265137
2023-08-16,19.5
2023-08-17,14.550000190734863
2023-08-18,15.600000381469727
2023-08-21,17.024999618530273
2023-08-22,11.109999656677246
2023-08-23,10.8100004196167
2023-08-24,10.680000305175781
2023-08-25,8.524999618530273
2023-08-28,8.170000076293945
2023-08-29,8.520000457763672
2023-08-30,11.380000114440918
2023-08-31,11.819999694824219
2023-09-01,10.739999771118164
2023-09-05,14.130000114440918
2023-09-06,11.170000076293945
2023-09-07,11.050000190734863
2023-09-08,10.430000305175781
2023-09-11,10.210000038146973
2023-09-12,11.1899995803833
2023-09-13,11.180000305175781
2023-09-14,11.289999961853027
2023-09-15,11.029999732971191
2023-09-18,10.65999984741211
2023-09-19,9.609999656677246
2023-09-20,9.520000457763672
2023-09-21,9.25
2023-09-22,8.930000305175781
2023-09-25,8.3100004196167
2023-09-26,8.100000381469727
2023-09-27,8.149999618530273
