Date,NRGV
2022-02-28,11.869999885559082
2022-03-01,12.010000228881836
2022-03-02,13.0
2022-03-03,12.979999542236328
2022-03-04,13.0
2022-03-07,12.210000038146973
2022-03-08,11.6899995803833
2022-03-09,12.15999984741211
2022-03-10,11.199999809265137
2022-03-11,11.350000381469727
2022-03-14,11.899999618530273
2022-03-15,12.420000076293945
2022-03-16,12.34000015258789
2022-03-17,12.729999542236328
2022-03-18,12.40999984741211
2022-03-21,13.050000190734863
2022-03-22,13.569999694824219
2022-03-23,14.020000457763672
2022-03-24,15.3100004196167
2022-03-25,15.729999542236328
2022-03-28,15.0
2022-03-29,13.850000381469727
2022-03-30,15.170000076293945
2022-03-31,15.899999618530273
2022-04-01,16.049999237060547
2022-04-04,18.200000762939453
2022-04-05,21.639999389648438
2022-04-06,19.260000228881836
2022-04-07,19.8700008392334
2022-04-08,18.31999969482422
2022-04-11,14.779999732971191
2022-04-12,13.699999809265137
2022-04-13,15.0
2022-04-14,12.869999885559082
2022-04-18,14.039999961853027
2022-04-19,13.0
2022-04-20,14.079999923706055
2022-04-21,13.149999618530273
2022-04-22,13.390000343322754
2022-04-25,14.100000381469727
2022-04-26,14.470000267028809
2022-04-27,14.890000343322754
2022-04-28,14.75
2022-04-29,13.890000343322754
2022-05-02,14.489999771118164
2022-05-03,14.010000228881836
2022-05-04,13.550000190734863
2022-05-05,14.210000038146973
2022-05-06,14.020000457763672
2022-05-09,10.8100004196167
2022-05-10,10.539999961853027
2022-05-11,10.229999542236328
2022-05-12,10.470000267028809
2022-05-13,10.5600004196167
2022-05-16,10.359999656677246
2022-05-17,10.710000038146973
2022-05-18,11.0
2022-05-19,11.020000457763672
2022-05-20,11.739999771118164
2022-05-23,12.569999694824219
2022-05-24,12.890000343322754
2022-05-25,13.390000343322754
2022-05-26,13.979999542236328
2022-05-27,14.319999694824219
2022-05-31,15.239999771118164
2022-06-01,15.930000305175781
2022-06-02,15.8100004196167
2022-06-03,15.9399995803833
2022-06-06,13.210000038146973
2022-06-07,13.5600004196167
2022-06-08,13.510000228881836
2022-06-09,10.670000076293945
