Date,CETX
2022-02-28,1323.0
2022-03-01,1285.199951171875
2022-03-02,1365.0
2022-03-03,1407.0
2022-03-04,1373.4000244140625
2022-03-07,1329.300048828125
2022-03-08,1283.0999755859375
2022-03-09,1344.0
2022-03-10,1308.300048828125
2022-03-11,1285.199951171875
2022-03-14,1218.0
2022-03-15,1281.0
2022-03-16,1318.800048828125
2022-03-17,1339.800048828125
2022-03-18,1344.0
2022-03-21,1396.5
2022-03-22,1404.9000244140625
2022-03-23,1407.0
2022-03-24,1354.5
2022-03-25,1386.0
2022-03-28,1335.5999755859375
2022-03-29,1369.199951171875
2022-03-30,1379.699951171875
2022-03-31,1323.0
2022-04-01,1302.0
2022-04-04,1327.199951171875
2022-04-05,1291.5
2022-04-06,1344.0
2022-04-07,1285.199951171875
2022-04-08,1260.0
2022-04-11,1228.5
2022-04-12,1230.5999755859375
2022-04-13,1239.0
2022-04-14,1197.0
2022-04-18,1113.0
2022-04-19,1148.699951171875
2022-04-20,1113.0
2022-04-21,1081.5
2022-04-22,1008.0
2022-04-25,924.0
2022-04-26,829.5
2022-04-27,837.9000244140625
2022-04-28,819.0
2022-04-29,800.0999755859375
2022-05-02,867.2999877929688
2022-05-03,798.0
2022-05-04,760.2000122070312
2022-05-05,709.7999877929688
2022-05-06,663.5999755859375
2022-05-09,592.2000122070312
2022-05-10,651.0
2022-05-11,630.0
2022-05-12,609.0
2022-05-13,638.4000244140625
2022-05-16,655.2000122070312
2022-05-17,661.5
2022-05-18,655.2000122070312
2022-05-19,674.0999755859375
2022-05-20,634.2000122070312
2022-05-23,617.4000244140625
2022-05-24,548.0999755859375
2022-05-25,611.0999755859375
2022-05-26,588.0
2022-05-27,617.4000244140625
2022-05-31,625.7999877929688
2022-06-01,594.2999877929688
2022-06-02,627.9000244140625
2022-06-03,632.0999755859375
2022-06-06,632.0999755859375
2022-06-07,630.0
2022-06-08,661.5
2022-06-09,630.0
2022-06-10,615.2999877929688
2022-06-13,567.0
2022-06-14,615.2999877929688
2022-06-15,627.9000244140625
2022-06-16,630.0
2022-06-17,630.0
2022-06-21,651.0
2022-06-22,625.7999877929688
2022-06-23,602.7000122070312
2022-06-24,638.4000244140625
2022-06-27,590.0999755859375
2022-06-28,571.2000122070312
2022-06-29,598.5
2022-06-30,585.9000244140625
2022-07-01,579.5999755859375
2022-07-05,588.0
2022-07-06,569.0999755859375
2022-07-07,594.2999877929688
2022-07-08,609.0
2022-07-11,598.5
2022-07-12,594.2999877929688
2022-07-13,619.5
2022-07-14,653.0999755859375
2022-07-15,854.7000122070312
2022-07-18,745.5
2022-07-19,735.0
2022-07-20,678.2999877929688
2022-07-21,644.7000122070312
2022-07-22,619.5
2022-07-25,598.5
2022-07-26,577.5
2022-07-27,577.5
2022-07-28,590.0999755859375
2022-07-29,609.0
2022-08-01,600.5999755859375
2022-08-02,606.9000244140625
2022-08-03,609.0
2022-08-04,630.0
2022-08-05,642.5999755859375
2022-08-08,693.0
2022-08-09,651.0
2022-08-10,674.0999755859375
2022-08-11,693.0
2022-08-12,766.5
2022-08-15,751.7999877929688
2022-08-16,718.2000122070312
2022-08-17,743.4000244140625
2022-08-18,714.0
2022-08-19,703.5
2022-08-22,663.5999755859375
2022-08-23,690.9000244140625
2022-08-24,651.0
2022-08-25,663.5999755859375
2022-08-26,642.5999755859375
2022-08-29,632.0999755859375
2022-08-30,598.5
2022-08-31,621.5999755859375
2022-09-01,592.2000122070312
2022-09-02,651.0
2022-09-06,609.0
2022-09-07,604.7999877929688
2022-09-08,611.0999755859375
2022-09-09,627.9000244140625
2022-09-12,594.2999877929688
2022-09-13,577.5
2022-09-14,579.5999755859375
2022-09-15,569.0999755859375
2022-09-16,588.0
2022-09-19,537.5999755859375
2022-09-20,525.0
2022-09-21,464.1000061035156
2022-09-22,462.0
2022-09-23,426.29998779296875
2022-09-26,453.6000061035156
2022-09-27,493.5
2022-09-28,453.6000061035156
2022-09-29,447.29998779296875
2022-09-30,441.0
2022-10-03,480.8999938964844
2022-10-04,462.0
2022-10-05,451.5
2022-10-06,453.6000061035156
2022-10-07,449.3999938964844
2022-10-10,378.0
2022-10-11,325.5
2022-10-12,333.8999938964844
2022-10-13,338.1000061035156
2022-10-14,371.70001220703125
2022-10-17,369.6000061035156
2022-10-18,388.5
2022-10-19,378.0
2022-10-20,371.70001220703125
2022-10-21,367.5
2022-10-24,373.79998779296875
2022-10-25,373.79998779296875
2022-10-26,411.6000061035156
2022-10-27,399.0
2022-10-28,401.1000061035156
2022-10-31,401.1000061035156
2022-11-01,401.1000061035156
2022-11-02,420.0
2022-11-03,403.20001220703125
2022-11-04,407.3999938964844
2022-11-07,409.5
2022-11-08,438.8999938964844
2022-11-09,432.6000061035156
2022-11-10,422.1000061035156
2022-11-11,451.5
2022-11-14,487.20001220703125
2022-11-15,518.7000122070312
2022-11-16,474.6000061035156
2022-11-17,462.0
2022-11-18,480.8999938964844
2022-11-21,449.3999938964844
2022-11-22,441.0
2022-11-23,455.70001220703125
2022-11-25,430.5
2022-11-28,420.0
2022-11-29,399.0
2022-11-30,336.0
2022-12-01,373.79998779296875
2022-12-02,378.0
2022-12-05,401.1000061035156
2022-12-06,375.8999938964844
2022-12-07,378.0
2022-12-08,367.5
2022-12-09,336.0
2022-12-12,336.0
2022-12-13,378.0
2022-12-14,342.29998779296875
2022-12-15,357.0
2022-12-16,262.5
2022-12-19,235.1999969482422
2022-12-20,220.5
2022-12-21,210.0
2022-12-22,197.39999389648438
2022-12-23,207.89999389648438
2022-12-27,258.29998779296875
2022-12-28,243.60000610351562
2022-12-29,275.1000061035156
2022-12-30,260.3999938964844
2023-01-03,273.0
2023-01-04,315.0
2023-01-05,321.29998779296875
2023-01-06,336.0
2023-01-09,350.70001220703125
2023-01-10,344.3999938964844
2023-01-11,369.6000061035156
2023-01-12,346.5
2023-01-13,384.29998779296875
2023-01-17,409.5
2023-01-18,415.79998779296875
2023-01-19,382.20001220703125
2023-01-20,325.5
2023-01-23,325.5
2023-01-24,325.5
2023-01-25,321.0
2023-01-26,354.0
2023-01-27,376.79998779296875
2023-01-30,396.0
2023-01-31,420.6000061035156
2023-02-01,708.0
2023-02-02,594.0
2023-02-03,587.4000244140625
2023-02-06,600.5999755859375
2023-02-07,599.4000244140625
2023-02-08,571.7999877929688
2023-02-09,615.0
2023-02-10,756.0
2023-02-13,660.0
2023-02-14,613.7999877929688
2023-02-15,536.4000244140625
2023-02-16,517.2000122070312
2023-02-17,499.79998779296875
2023-02-21,471.0
2023-02-22,468.0
2023-02-23,450.6000061035156
2023-02-24,450.0
2023-02-27,457.20001220703125
2023-02-28,485.6400146484375
2023-03-01,496.79998779296875
2023-03-02,481.79998779296875
2023-03-03,519.0
