Date,SHLS
2022-02-28,15.8100004196167
2022-03-01,16.549999237060547
2022-03-02,15.479999542236328
2022-03-03,15.039999961853027
2022-03-04,14.069999694824219
2022-03-07,14.109999656677246
2022-03-08,15.90999984741211
2022-03-09,16.200000762939453
2022-03-10,15.640000343322754
2022-03-11,17.920000076293945
2022-03-14,17.100000381469727
2022-03-15,18.209999084472656
2022-03-16,19.239999771118164
2022-03-17,20.420000076293945
2022-03-18,21.309999465942383
2022-03-21,20.959999084472656
2022-03-22,21.68000030517578
2022-03-23,22.260000228881836
2022-03-24,21.1299991607666
2022-03-25,19.950000762939453
2022-03-28,19.110000610351562
2022-03-29,19.280000686645508
2022-03-30,17.93000030517578
2022-03-31,17.040000915527344
2022-04-01,17.06999969482422
2022-04-04,18.649999618530273
2022-04-05,16.5
2022-04-06,15.300000190734863
2022-04-07,15.720000267028809
2022-04-08,13.529999732971191
2022-04-11,13.699999809265137
2022-04-12,13.479999542236328
2022-04-13,13.510000228881836
2022-04-14,12.680000305175781
2022-04-18,12.600000381469727
2022-04-19,13.4399995803833
2022-04-20,12.510000228881836
2022-04-21,10.680000305175781
2022-04-22,10.390000343322754
2022-04-25,10.420000076293945
2022-04-26,9.779999732971191
2022-04-27,9.8100004196167
2022-04-28,10.279999732971191
2022-04-29,9.979999542236328
2022-05-02,11.0
2022-05-03,12.960000038146973
2022-05-04,14.109999656677246
2022-05-05,13.800000190734863
2022-05-06,13.569999694824219
2022-05-09,12.289999961853027
2022-05-10,11.800000190734863
2022-05-11,10.760000228881836
2022-05-12,11.0600004196167
2022-05-13,12.579999923706055
2022-05-16,12.119999885559082
2022-05-17,13.420000076293945
2022-05-18,13.859999656677246
2022-05-19,14.949999809265137
2022-05-20,15.109999656677246
2022-05-23,15.170000076293945
2022-05-24,14.899999618530273
2022-05-25,14.8100004196167
2022-05-26,14.850000381469727
2022-05-27,15.850000381469727
2022-05-31,15.600000381469727
2022-06-01,14.9399995803833
2022-06-02,15.649999618530273
2022-06-03,15.359999656677246
2022-06-06,18.65999984741211
2022-06-07,19.079999923706055
2022-06-08,18.6200008392334
2022-06-09,18.489999771118164
2022-06-10,18.040000915527344
2022-06-13,17.440000534057617
2022-06-14,17.1299991607666
2022-06-15,18.979999542236328
2022-06-16,17.540000915527344
2022-06-17,19.56999969482422
2022-06-21,18.860000610351562
2022-06-22,18.8799991607666
2022-06-23,19.200000762939453
2022-06-24,17.40999984741211
2022-06-27,18.1299991607666
2022-06-28,17.100000381469727
2022-06-29,15.119999885559082
2022-06-30,16.479999542236328
2022-07-01,16.290000915527344
2022-07-05,16.479999542236328
2022-07-06,16.31999969482422
2022-07-07,17.579999923706055
2022-07-08,18.43000030517578
2022-07-11,17.1299991607666
2022-07-12,16.25
2022-07-13,16.459999084472656
2022-07-14,16.34000015258789
2022-07-15,16.18000030517578
2022-07-18,16.959999084472656
2022-07-19,17.760000228881836
2022-07-20,18.709999084472656
2022-07-21,18.81999969482422
2022-07-22,17.760000228881836
2022-07-25,18.09000015258789
2022-07-26,17.899999618530273
2022-07-27,19.030000686645508
2022-07-28,22.520000457763672
2022-07-29,23.6299991607666
2022-08-01,22.385000228881836
2022-08-02,22.760000228881836
2022-08-03,21.979999542236328
2022-08-04,23.079999923706055
2022-08-05,23.06999969482422
2022-08-08,23.780000686645508
2022-08-09,22.969999313354492
2022-08-10,26.6200008392334
2022-08-11,24.170000076293945
2022-08-12,26.239999771118164
2022-08-15,25.049999237060547
2022-08-16,26.31999969482422
2022-08-17,25.489999771118164
2022-08-18,27.3700008392334
2022-08-19,25.479999542236328
2022-08-22,25.059999465942383
2022-08-23,25.299999237060547
2022-08-24,26.65999984741211
2022-08-25,25.709999084472656
2022-08-26,25.110000610351562
2022-08-29,25.459999084472656
2022-08-30,25.579999923706055
2022-08-31,26.3700008392334
2022-09-01,25.6299991607666
2022-09-02,24.989999771118164
2022-09-06,25.799999237060547
2022-09-07,27.760000228881836
2022-09-08,27.600000381469727
2022-09-09,26.559999465942383
2022-09-12,26.149999618530273
2022-09-13,25.139999389648438
2022-09-14,25.40999984741211
2022-09-15,24.780000686645508
2022-09-16,24.389999389648438
2022-09-19,23.899999618530273
2022-09-20,22.950000762939453
2022-09-21,23.059999465942383
2022-09-22,21.190000534057617
2022-09-23,20.260000228881836
2022-09-26,19.399999618530273
2022-09-27,20.059999465942383
2022-09-28,21.3799991607666
2022-09-29,21.149999618530273
2022-09-30,21.549999237060547
2022-10-03,22.969999313354492
2022-10-04,24.0
2022-10-05,23.280000686645508
2022-10-06,22.399999618530273
2022-10-07,21.93000030517578
2022-10-10,21.850000381469727
2022-10-11,22.149999618530273
2022-10-12,20.739999771118164
2022-10-13,21.040000915527344
2022-10-14,19.989999771118164
2022-10-17,20.579999923706055
2022-10-18,21.190000534057617
2022-10-19,20.200000762939453
2022-10-20,20.09000015258789
2022-10-21,20.5
2022-10-24,21.030000686645508
2022-10-25,22.600000381469727
2022-10-26,22.760000228881836
2022-10-27,22.989999771118164
2022-10-28,22.209999084472656
2022-10-31,23.110000610351562
2022-11-01,22.8799991607666
2022-11-02,21.579999923706055
2022-11-03,21.6299991607666
2022-11-04,20.209999084472656
2022-11-07,19.43000030517578
2022-11-08,19.68000030517578
2022-11-09,20.950000762939453
2022-11-10,23.110000610351562
2022-11-11,22.799999237060547
2022-11-14,22.469999313354492
2022-11-15,27.399999618530273
2022-11-16,28.469999313354492
2022-11-17,31.15999984741211
2022-11-18,30.540000915527344
2022-11-21,30.520000457763672
2022-11-22,30.389999389648438
