Date,RLAY
2022-02-28,24.110000610351562
2022-03-01,24.059999465942383
2022-03-02,23.739999771118164
2022-03-03,22.06999969482422
2022-03-04,20.3799991607666
2022-03-07,21.239999771118164
2022-03-08,22.5
2022-03-09,24.510000228881836
2022-03-10,25.360000610351562
2022-03-11,23.700000762939453
2022-03-14,22.709999084472656
2022-03-15,22.920000076293945
2022-03-16,24.700000762939453
2022-03-17,25.520000457763672
2022-03-18,26.93000030517578
2022-03-21,25.90999984741211
2022-03-22,28.049999237060547
2022-03-23,28.3700008392334
2022-03-24,30.030000686645508
2022-03-25,28.709999084472656
2022-03-28,29.84000015258789
2022-03-29,32.310001373291016
2022-03-30,30.65999984741211
2022-03-31,29.93000030517578
2022-04-01,31.6299991607666
2022-04-04,34.880001068115234
2022-04-05,31.84000015258789
2022-04-06,31.639999389648438
2022-04-07,30.65999984741211
2022-04-08,32.650001525878906
2022-04-11,31.5
2022-04-12,31.239999771118164
2022-04-13,32.279998779296875
2022-04-14,30.739999771118164
2022-04-18,28.549999237060547
2022-04-19,29.25
2022-04-20,29.959999084472656
2022-04-21,27.920000076293945
2022-04-22,27.899999618530273
2022-04-25,29.530000686645508
2022-04-26,27.309999465942383
2022-04-27,25.5
2022-04-28,25.329999923706055
2022-04-29,23.829999923706055
2022-05-02,24.739999771118164
2022-05-03,24.790000915527344
2022-05-04,25.6200008392334
2022-05-05,23.299999237060547
2022-05-06,20.6299991607666
2022-05-09,17.479999542236328
2022-05-10,17.030000686645508
2022-05-11,15.270000457763672
2022-05-12,15.720000267028809
2022-05-13,17.579999923706055
2022-05-16,17.610000610351562
2022-05-17,18.25
2022-05-18,17.579999923706055
2022-05-19,17.25
2022-05-20,17.34000015258789
2022-05-23,17.6200008392334
2022-05-24,16.649999618530273
2022-05-25,16.469999313354492
2022-05-26,16.75
2022-05-27,17.329999923706055
2022-05-31,16.280000686645508
2022-06-01,16.139999389648438
2022-06-02,16.780000686645508
2022-06-03,17.530000686645508
2022-06-06,15.199999809265137
2022-06-07,16.219999313354492
2022-06-08,16.010000228881836
2022-06-09,15.600000381469727
2022-06-10,14.0
2022-06-13,13.3100004196167
2022-06-14,13.869999885559082
2022-06-15,14.329999923706055
2022-06-16,14.710000038146973
2022-06-17,16.1200008392334
2022-06-21,17.280000686645508
2022-06-22,17.780000686645508
2022-06-23,19.0
2022-06-24,20.8700008392334
2022-06-27,18.670000076293945
2022-06-28,16.3700008392334
2022-06-29,16.790000915527344
2022-06-30,16.75
2022-07-01,18.09000015258789
2022-07-05,19.780000686645508
2022-07-06,20.3799991607666
2022-07-07,22.1299991607666
2022-07-08,22.309999465942383
2022-07-11,19.3799991607666
2022-07-12,19.31999969482422
