Date,TPST
2022-02-28,3.259999990463257
2022-03-01,3.259999990463257
2022-03-02,3.0899999141693115
2022-03-03,3.059999942779541
2022-03-04,2.8499999046325684
2022-03-07,2.5999999046325684
2022-03-08,2.5
2022-03-09,2.5999999046325684
2022-03-10,2.359999895095825
2022-03-11,2.299999952316284
2022-03-14,2.2699999809265137
2022-03-15,2.309999942779541
2022-03-16,2.4700000286102295
2022-03-17,2.5999999046325684
2022-03-18,2.6500000953674316
2022-03-21,2.630000114440918
2022-03-22,2.8499999046325684
2022-03-23,2.9700000286102295
2022-03-24,3.180000066757202
2022-03-25,3.809999942779541
2022-03-28,3.940000057220459
2022-03-29,3.799999952316284
2022-03-30,3.5
2022-03-31,3.380000114440918
2022-04-01,3.200000047683716
2022-04-04,3.8499999046325684
2022-04-05,3.890000104904175
2022-04-06,4.150000095367432
2022-04-07,3.740000009536743
2022-04-08,3.7100000381469727
2022-04-11,3.559999942779541
2022-04-12,3.5
2022-04-13,3.380000114440918
2022-04-14,3.4100000858306885
2022-04-18,2.859999895095825
2022-04-19,2.819999933242798
2022-04-20,2.6500000953674316
2022-04-21,2.640000104904175
2022-04-22,2.4000000953674316
2022-04-25,2.619999885559082
2022-04-26,2.359999895095825
2022-04-27,3.069999933242798
2022-04-28,3.450000047683716
2022-04-29,3.609999895095825
2022-05-02,3.8399999141693115
2022-05-03,3.9000000953674316
2022-05-04,3.759999990463257
2022-05-05,3.3499999046325684
2022-05-06,3.0799999237060547
2022-05-09,2.700000047683716
2022-05-10,2.9600000381469727
2022-05-11,2.819999933242798
2022-05-12,2.7200000286102295
2022-05-13,2.880000114440918
2022-05-16,3.009999990463257
2022-05-17,3.140000104904175
2022-05-18,3.069999933242798
2022-05-19,3.109999895095825
2022-05-20,3.5799999237060547
2022-05-23,3.640000104904175
2022-05-24,3.640000104904175
2022-05-25,3.9100000858306885
2022-05-26,3.859999895095825
2022-05-27,2.8299999237060547
2022-05-31,2.880000114440918
2022-06-01,2.819999933242798
2022-06-02,3.0199999809265137
2022-06-03,3.119999885559082
2022-06-06,2.7300000190734863
2022-06-07,2.8399999141693115
2022-06-08,2.8499999046325684
2022-06-09,2.7699999809265137
2022-06-10,2.6600000858306885
2022-06-13,2.259999990463257
2022-06-14,2.130000114440918
2022-06-15,2.130000114440918
2022-06-16,2.0899999141693115
2022-06-17,2.0799999237060547
2022-06-21,2.3499999046325684
2022-06-22,2.4200000762939453
2022-06-23,2.309999942779541
2022-06-24,2.4100000858306885
2022-06-27,2.2899999618530273
2022-06-28,2.190000057220459
2022-06-29,2.190000057220459
2022-06-30,2.1500000953674316
2022-07-01,2.2899999618530273
2022-07-05,2.369999885559082
2022-07-06,2.180000066757202
2022-07-07,2.440000057220459
2022-07-08,2.5
2022-07-11,2.4649999141693115
2022-07-12,2.5
2022-07-13,2.4700000286102295
2022-07-14,2.5
2022-07-15,2.490000009536743
2022-07-18,2.5299999713897705
2022-07-19,2.4800000190734863
2022-07-20,2.4200000762939453
2022-07-21,2.4200000762939453
2022-07-22,2.259999990463257
2022-07-25,2.259999990463257
2022-07-26,2.200000047683716
