Date,BTAI
2022-02-28,18.309999465942383
2022-03-01,18.290000915527344
2022-03-02,17.700000762939453
2022-03-03,16.709999084472656
2022-03-04,16.59000015258789
2022-03-07,17.649999618530273
2022-03-08,17.829999923706055
2022-03-09,18.889999389648438
2022-03-10,18.110000610351562
2022-03-11,17.31999969482422
2022-03-14,15.3100004196167
2022-03-15,15.0600004196167
2022-03-16,16.18000030517578
2022-03-17,16.850000381469727
2022-03-18,17.65999984741211
2022-03-21,16.809999465942383
2022-03-22,18.770000457763672
2022-03-23,18.850000381469727
2022-03-24,21.860000610351562
2022-03-25,21.959999084472656
2022-03-28,20.59000015258789
2022-03-29,21.989999771118164
2022-03-30,21.690000534057617
2022-03-31,20.90999984741211
2022-04-01,21.549999237060547
2022-04-04,20.489999771118164
2022-04-05,19.8799991607666
2022-04-06,19.8799991607666
2022-04-07,17.6200008392334
2022-04-08,17.110000610351562
2022-04-11,16.280000686645508
2022-04-12,15.75
2022-04-13,16.1200008392334
2022-04-14,15.579999923706055
2022-04-18,14.770000457763672
2022-04-19,14.930000305175781
2022-04-20,14.430000305175781
2022-04-21,13.460000038146973
2022-04-22,13.680000305175781
2022-04-25,14.619999885559082
2022-04-26,13.84000015258789
2022-04-27,13.170000076293945
2022-04-28,13.300000190734863
2022-04-29,13.109999656677246
2022-05-02,13.949999809265137
2022-05-03,13.979999542236328
2022-05-04,14.800000190734863
2022-05-05,13.710000038146973
2022-05-06,12.5600004196167
2022-05-09,11.359999656677246
2022-05-10,11.229999542236328
2022-05-11,9.670000076293945
2022-05-12,10.760000228881836
2022-05-13,11.739999771118164
2022-05-16,12.029999732971191
2022-05-17,13.739999771118164
2022-05-18,13.289999961853027
2022-05-19,13.239999771118164
2022-05-20,13.569999694824219
2022-05-23,13.520000457763672
2022-05-24,11.449999809265137
2022-05-25,11.449999809265137
2022-05-26,11.539999961853027
2022-05-27,12.25
2022-05-31,11.699999809265137
2022-06-01,10.8100004196167
2022-06-02,10.65999984741211
2022-06-03,11.170000076293945
2022-06-06,10.800000190734863
2022-06-07,11.520000457763672
2022-06-08,11.720000267028809
2022-06-09,11.210000038146973
2022-06-10,10.260000228881836
2022-06-13,9.239999771118164
2022-06-14,9.1899995803833
2022-06-15,9.859999656677246
2022-06-16,9.029999732971191
2022-06-17,10.329999923706055
2022-06-21,10.779999732971191
