Date,PRCH
2022-02-28,8.100000381469727
2022-03-01,7.28000020980835
2022-03-02,6.409999847412109
2022-03-03,6.199999809265137
2022-03-04,6.090000152587891
2022-03-07,6.110000133514404
2022-03-08,6.940000057220459
2022-03-09,7.019999980926514
2022-03-10,6.869999885559082
2022-03-11,6.869999885559082
2022-03-14,5.980000019073486
2022-03-15,6.639999866485596
2022-03-16,7.909999847412109
2022-03-17,8.039999961853027
2022-03-18,8.109999656677246
2022-03-21,7.690000057220459
2022-03-22,8.100000381469727
2022-03-23,7.639999866485596
2022-03-24,7.710000038146973
2022-03-25,7.150000095367432
2022-03-28,7.119999885559082
2022-03-29,7.960000038146973
2022-03-30,7.130000114440918
2022-03-31,6.945000171661377
2022-04-01,6.739999771118164
2022-04-04,7.320000171661377
2022-04-05,6.829999923706055
2022-04-06,6.389999866485596
2022-04-07,6.079999923706055
2022-04-08,5.820000171661377
2022-04-11,5.940000057220459
2022-04-12,5.550000190734863
2022-04-13,5.619999885559082
2022-04-14,5.320000171661377
2022-04-18,5.090000152587891
2022-04-19,5.190000057220459
2022-04-20,5.059999942779541
2022-04-21,4.800000190734863
2022-04-22,4.349999904632568
2022-04-25,4.400000095367432
2022-04-26,4.019999980926514
2022-04-27,3.890000104904175
2022-04-28,4.019999980926514
2022-04-29,3.700000047683716
2022-05-02,3.9200000762939453
2022-05-03,3.890000104904175
2022-05-04,4.090000152587891
2022-05-05,3.7699999809265137
2022-05-06,3.740000009536743
2022-05-09,3.559999942779541
2022-05-10,3.3499999046325684
2022-05-11,3.630000114440918
2022-05-12,3.799999952316284
2022-05-13,4.639999866485596
2022-05-16,4.230000019073486
2022-05-17,4.820000171661377
2022-05-18,4.400000095367432
2022-05-19,4.480000019073486
2022-05-20,4.449999809265137
2022-05-23,4.690000057220459
2022-05-24,3.8499999046325684
2022-05-25,4.070000171661377
2022-05-26,4.050000190734863
2022-05-27,4.309999942779541
2022-05-31,4.119999885559082
2022-06-01,3.9200000762939453
2022-06-02,4.139999866485596
2022-06-03,3.740000009536743
2022-06-06,3.819999933242798
2022-06-07,3.7200000286102295
2022-06-08,3.890000104904175
2022-06-09,3.490000009536743
2022-06-10,3.1500000953674316
2022-06-13,2.9600000381469727
2022-06-14,2.680000066757202
2022-06-15,2.690000057220459
2022-06-16,2.369999885559082
2022-06-17,2.4800000190734863
2022-06-21,2.559999942779541
2022-06-22,2.5199999809265137
2022-06-23,2.859999895095825
2022-06-24,2.9200000762939453
2022-06-27,2.7300000190734863
2022-06-28,2.5899999141693115
2022-06-29,2.680000066757202
2022-06-30,2.559999942779541
2022-07-01,2.700000047683716
2022-07-05,2.8499999046325684
2022-07-06,2.799999952316284
2022-07-07,2.8499999046325684
2022-07-08,2.7699999809265137
2022-07-11,2.4200000762939453
2022-07-12,2.4100000858306885
2022-07-13,2.369999885559082
2022-07-14,2.200000047683716
2022-07-15,2.309999942779541
2022-07-18,2.430000066757202
2022-07-19,2.5199999809265137
2022-07-20,2.7100000381469727
2022-07-21,2.680000066757202
