Date,PC
2024-09-25,3.7200000286102295
2024-09-26,3.869999885559082
2024-09-27,4.150000095367432
2024-09-30,4.75
2024-10-01,4.820000171661377
2024-10-02,4.53000020980835
2024-10-03,4.389999866485596
2024-10-04,4.650000095367432
2024-10-07,4.650000095367432
2024-10-08,4.699999809265137
2024-10-09,4.670000076293945
2024-10-10,4.75
2024-10-11,4.28000020980835
2024-10-14,3.859999895095825
2024-10-15,3.5899999141693115
2024-10-16,3.5399999618530273
2024-10-17,3.0399999618530273
2024-10-18,3.190000057220459
2024-10-21,4.139999866485596
2024-10-22,4.089000225067139
2024-10-23,1.3899999856948853
2024-10-24,0.828000009059906
2024-10-25,0.6830000281333923
2024-10-28,0.6949999928474426
2024-10-29,0.6909999847412109
2024-10-30,0.7979999780654907
2024-10-31,0.6700000166893005
2024-11-01,0.6859999895095825
2024-11-04,0.7400000095367432
2024-11-05,0.7260000109672546
2024-11-06,0.6669999957084656
2024-11-07,0.6840000152587891
2024-11-08,0.6809999942779541
2024-11-11,0.8450000286102295
2024-11-12,0.8389999866485596
2024-11-13,0.800000011920929
2024-11-14,0.7260000109672546
2024-11-15,0.7279999852180481
2024-11-18,0.6629999876022339
2024-11-19,0.6959999799728394
2024-11-20,0.75
2024-11-21,0.7129999995231628
