Date,DDC
2023-11-20,5.210000038146973
2023-11-21,5.670000076293945
2023-11-22,6.369999885559082
2023-11-24,6.050000190734863
2023-11-27,5.420000076293945
2023-11-28,6.28000020980835
2023-11-29,6.320000171661377
2023-11-30,6.03000020980835
2023-12-01,6.119999885559082
2023-12-04,6.03000020980835
2023-12-05,6.099999904632568
2023-12-06,6.034999847412109
2023-12-07,6.059999942779541
2023-12-08,5.960000038146973
2023-12-11,5.889999866485596
2023-12-12,5.949999809265137
2023-12-13,6.074999809265137
2023-12-14,5.829999923706055
2023-12-15,4.349999904632568
2023-12-18,3.3299999237060547
2023-12-19,3.990000009536743
2023-12-20,4.269999980926514
2023-12-21,4.320000171661377
2023-12-22,4.75
2023-12-26,4.559999942779541
2023-12-27,4.900000095367432
2023-12-28,4.730000019073486
2023-12-29,4.670000076293945
2024-01-02,4.599999904632568
2024-01-03,4.489999771118164
2024-01-04,4.329999923706055
2024-01-05,4.139999866485596
2024-01-08,3.6700000762939453
2024-01-09,3.0
2024-01-10,3.049999952316284
2024-01-11,3.3499999046325684
2024-01-12,3.4100000858306885
2024-01-16,3.1500000953674316
2024-01-17,3.369999885559082
2024-01-18,3.299999952316284
2024-01-19,3.3499999046325684
2024-01-22,3.2100000381469727
2024-01-23,2.630000114440918
2024-01-24,2.950000047683716
2024-01-25,3.130000114440918
2024-01-26,3.240000009536743
2024-01-29,3.25
2024-01-30,2.880000114440918
2024-01-31,3.0
2024-02-01,3.0199999809265137
2024-02-02,2.819999933242798
2024-02-05,2.75
2024-02-06,2.0
2024-02-07,2.0899999141693115
2024-02-08,1.7000000476837158
2024-02-09,1.6100000143051147
2024-02-12,1.659999966621399
2024-02-13,1.6799999475479126
2024-02-14,1.7400000095367432
2024-02-15,1.9500000476837158
2024-02-16,2.0799999237060547
2024-02-20,1.7999999523162842
2024-02-21,1.2799999713897705
2024-02-22,1.3600000143051147
2024-02-23,1.2599999904632568
2024-02-26,1.2000000476837158
2024-02-27,1.3200000524520874
2024-02-28,1.2100000381469727
2024-02-29,1.100000023841858
2024-03-01,1.2300000190734863
2024-03-04,1.190000057220459
2024-03-05,1.159999966621399
2024-03-06,1.3899999856948853
2024-03-07,1.2999999523162842
2024-03-08,1.2999999523162842
2024-03-11,1.2999999523162842
2024-03-12,1.2000000476837158
2024-03-13,1.350000023841858
2024-03-14,1.2000000476837158
2024-03-15,1.2999999523162842
2024-03-18,1.2400000095367432
2024-03-19,1.2799999713897705
2024-03-20,1.3300000429153442
2024-03-21,1.4600000381469727
2024-03-22,1.25
