Date,MVST
2022-02-28,7.139999866485596
2022-03-01,6.989999771118164
2022-03-02,7.230000019073486
2022-03-03,7.309999942779541
2022-03-04,6.510000228881836
2022-03-07,7.489999771118164
2022-03-08,7.96999979019165
2022-03-09,8.710000038146973
2022-03-10,9.470000267028809
2022-03-11,7.699999809265137
2022-03-14,7.539999961853027
2022-03-15,7.650000095367432
2022-03-16,7.289999961853027
2022-03-17,7.090000152587891
2022-03-18,7.159999847412109
2022-03-21,6.889999866485596
2022-03-22,7.210000038146973
2022-03-23,7.380000114440918
2022-03-24,7.760000228881836
2022-03-25,7.210000038146973
2022-03-28,7.170000076293945
2022-03-29,7.420000076293945
2022-03-30,6.840000152587891
2022-03-31,6.699999809265137
2022-04-01,5.929999828338623
2022-04-04,6.010000228881836
2022-04-05,5.929999828338623
2022-04-06,5.829999923706055
2022-04-07,5.599999904632568
2022-04-08,5.550000190734863
2022-04-11,5.440000057220459
2022-04-12,5.389999866485596
2022-04-13,5.53000020980835
2022-04-14,5.690000057220459
2022-04-18,5.739999771118164
2022-04-19,5.840000152587891
2022-04-20,5.920000076293945
2022-04-21,5.239999771118164
2022-04-22,4.96999979019165
2022-04-25,4.909999847412109
2022-04-26,4.730000019073486
2022-04-27,4.880000114440918
2022-04-28,4.940000057220459
2022-04-29,4.960000038146973
2022-05-02,5.110000133514404
2022-05-03,4.989999771118164
2022-05-04,5.309999942779541
2022-05-05,4.940000057220459
2022-05-06,4.730000019073486
2022-05-09,4.190000057220459
2022-05-10,3.569999933242798
2022-05-11,3.0950000286102295
2022-05-12,3.2899999618530273
2022-05-13,3.609999895095825
2022-05-16,3.359999895095825
2022-05-17,4.0
2022-05-18,4.110000133514404
2022-05-19,4.360000133514404
2022-05-20,4.559999942779541
2022-05-23,4.5
2022-05-24,4.119999885559082
2022-05-25,4.300000190734863
2022-05-26,4.570000171661377
2022-05-27,4.760000228881836
2022-05-31,5.0
2022-06-01,4.869999885559082
2022-06-02,5.199999809265137
2022-06-03,5.059999942779541
