Date,AMTX
2022-02-28,12.819999694824219
2022-03-01,12.4399995803833
2022-03-02,13.350000381469727
2022-03-03,12.720000267028809
2022-03-04,12.380000114440918
2022-03-07,12.4399995803833
2022-03-08,15.020000457763672
2022-03-09,14.779999732971191
2022-03-10,14.520000457763672
2022-03-11,13.720000267028809
2022-03-14,11.59000015258789
2022-03-15,10.779999732971191
2022-03-16,10.75
2022-03-17,11.460000038146973
2022-03-18,11.069999694824219
2022-03-21,10.630000114440918
2022-03-22,11.0
2022-03-23,11.180000305175781
2022-03-24,11.220000267028809
2022-03-25,12.010000228881836
2022-03-28,11.619999885559082
2022-03-29,11.75
2022-03-30,12.390000343322754
2022-03-31,12.670000076293945
2022-04-01,11.699999809265137
2022-04-04,12.789999961853027
2022-04-05,12.40999984741211
2022-04-06,11.8100004196167
2022-04-07,12.279999732971191
2022-04-08,12.029999732971191
2022-04-11,12.670000076293945
2022-04-12,12.890000343322754
2022-04-13,13.460000038146973
2022-04-14,13.170000076293945
2022-04-18,12.640000343322754
2022-04-19,12.390000343322754
2022-04-20,11.800000190734863
2022-04-21,10.640000343322754
2022-04-22,9.84000015258789
2022-04-25,9.949999809265137
2022-04-26,9.550000190734863
2022-04-27,9.550000190734863
2022-04-28,9.640000343322754
2022-04-29,9.130000114440918
2022-05-02,9.119999885559082
2022-05-03,10.140000343322754
2022-05-04,10.460000038146973
2022-05-05,9.65999984741211
2022-05-06,9.199999809265137
2022-05-09,8.15999984741211
2022-05-10,7.900000095367432
2022-05-11,7.010000228881836
2022-05-12,6.880000114440918
2022-05-13,7.659999847412109
2022-05-16,7.349999904632568
2022-05-17,8.210000038146973
2022-05-18,7.800000190734863
2022-05-19,7.630000114440918
2022-05-20,7.449999809265137
2022-05-23,7.389999866485596
2022-05-24,7.079999923706055
2022-05-25,7.489999771118164
2022-05-26,7.880000114440918
2022-05-27,8.5
2022-05-31,8.109999656677246
2022-06-01,8.300000190734863
2022-06-02,9.210000038146973
2022-06-03,8.529999732971191
2022-06-06,8.0
2022-06-07,8.039999961853027
2022-06-08,8.369999885559082
2022-06-09,7.960000038146973
2022-06-10,7.309999942779541
2022-06-13,6.309999942779541
2022-06-14,5.900000095367432
2022-06-15,5.869999885559082
2022-06-16,5.400000095367432
2022-06-17,5.46999979019165
