Date,GLDG
2022-02-28,1.7899999618530273
2022-03-01,1.9299999475479126
2022-03-02,1.899999976158142
2022-03-03,1.8799999952316284
2022-03-04,1.8600000143051147
2022-03-07,1.9199999570846558
2022-03-08,1.940000057220459
2022-03-09,1.8700000047683716
2022-03-10,1.899999976158142
2022-03-11,1.8799999952316284
2022-03-14,1.6699999570846558
2022-03-15,1.690000057220459
2022-03-16,1.690000057220459
2022-03-17,1.8200000524520874
2022-03-18,1.7599999904632568
2022-03-21,1.8200000524520874
2022-03-22,1.7999999523162842
2022-03-23,1.8600000143051147
2022-03-24,1.840000033378601
2022-03-25,1.7899999618530273
2022-03-28,1.7000000476837158
2022-03-29,1.690000057220459
2022-03-30,1.690000057220459
2022-03-31,1.7000000476837158
2022-04-01,1.7300000190734863
2022-04-04,1.7000000476837158
2022-04-05,1.659999966621399
2022-04-06,1.649999976158142
2022-04-07,1.649999976158142
2022-04-08,1.6699999570846558
2022-04-11,1.6399999856948853
2022-04-12,1.6699999570846558
2022-04-13,1.7000000476837158
2022-04-14,1.7100000381469727
2022-04-18,1.6799999475479126
2022-04-19,1.6299999952316284
2022-04-20,1.6200000047683716
2022-04-21,1.5499999523162842
2022-04-22,1.4500000476837158
2022-04-25,1.3899999856948853
2022-04-26,1.2899999618530273
2022-04-27,1.25
2022-04-28,1.3200000524520874
2022-04-29,1.309999942779541
2022-05-02,1.2999999523162842
2022-05-03,1.2999999523162842
2022-05-04,1.340000033378601
2022-05-05,1.2300000190734863
2022-05-06,1.190000057220459
2022-05-09,1.0700000524520874
2022-05-10,1.0700000524520874
2022-05-11,1.0299999713897705
2022-05-12,0.9700000286102295
2022-05-13,1.0399999618530273
2022-05-16,1.0499999523162842
2022-05-17,1.0700000524520874
2022-05-18,1.0
2022-05-19,1.0700000524520874
2022-05-20,1.0800000429153442
2022-05-23,1.350000023841858
2022-05-24,1.25
2022-05-25,1.2100000381469727
2022-05-26,1.2300000190734863
2022-05-27,1.2000000476837158
2022-05-31,1.2000000476837158
2022-06-01,1.1699999570846558
2022-06-02,1.25
2022-06-03,1.2000000476837158
2022-06-06,1.190000057220459
2022-06-07,1.2000000476837158
2022-06-08,1.2000000476837158
2022-06-09,1.1299999952316284
2022-06-10,1.2100000381469727
2022-06-13,1.159999966621399
2022-06-14,1.1399999856948853
2022-06-15,1.1699999570846558
2022-06-16,1.1699999570846558
2022-06-17,1.0800000429153442
2022-06-21,1.1200000047683716
2022-06-22,1.0199999809265137
2022-06-23,1.0399999618530273
2022-06-24,1.0399999618530273
2022-06-27,1.0499999523162842
2022-06-28,1.0099999904632568
2022-06-29,1.0099999904632568
2022-06-30,0.9599999785423279
2022-07-01,1.0099999904632568
2022-07-05,0.9399999976158142
2022-07-06,0.9100000262260437
2022-07-07,0.9200000166893005
2022-07-08,0.9200000166893005
2022-07-11,0.8999999761581421
2022-07-12,0.8799999952316284
2022-07-13,0.9200000166893005
2022-07-14,0.8999999761581421
2022-07-15,0.8799999952316284
2022-07-18,0.8899999856948853
2022-07-19,0.9100000262260437
2022-07-20,0.9100000262260437
2022-07-21,0.9100000262260437
2022-07-22,0.8999999761581421
2022-07-25,0.8899999856948853
2022-07-26,0.8899999856948853
2022-07-27,0.9399999976158142
2022-07-28,0.9900000095367432
2022-07-29,1.0099999904632568
2022-08-01,1.0099999904632568
2022-08-02,0.9900000095367432
2022-08-03,0.9700000286102295
2022-08-04,0.9900000095367432
2022-08-05,1.0
2022-08-08,1.0299999713897705
2022-08-09,1.0
2022-08-10,1.0099999904632568
2022-08-11,0.949999988079071
2022-08-12,0.9700000286102295
2022-08-15,0.9599999785423279
2022-08-16,0.9900000095367432
2022-08-17,0.9599999785423279
2022-08-18,0.949999988079071
2022-08-19,0.9200000166893005
2022-08-22,0.9399999976158142
2022-08-23,0.9599999785423279
2022-08-24,0.9700000286102295
2022-08-25,0.9700000286102295
2022-08-26,0.9300000071525574
2022-08-29,0.9200000166893005
2022-08-30,0.8899999856948853
2022-08-31,0.8899999856948853
2022-09-01,0.8799999952316284
2022-09-02,0.8700000047683716
2022-09-06,0.8600000143051147
2022-09-07,0.8899999856948853
2022-09-08,0.8899999856948853
2022-09-09,0.8999999761581421
2022-09-12,0.9100000262260437
2022-09-13,0.8700000047683716
2022-09-14,0.8899999856948853
2022-09-15,0.8700000047683716
2022-09-16,0.9300000071525574
2022-09-19,0.8899999856948853
2022-09-20,0.8899999856948853
2022-09-21,0.9100000262260437
2022-09-22,0.8700000047683716
2022-09-23,0.8199999928474426
2022-09-26,0.7699999809265137
2022-09-27,0.7599999904632568
2022-09-28,0.8199999928474426
2022-09-29,0.8199999928474426
2022-09-30,0.8299999833106995
2022-10-03,0.8799999952316284
2022-10-04,0.8899999856948853
2022-10-05,0.9200000166893005
2022-10-06,0.9100000262260437
2022-10-07,0.8500000238418579
2022-10-10,0.8899999856948853
2022-10-11,0.8299999833106995
2022-10-12,0.8899999856948853
2022-10-13,0.8899999856948853
2022-10-14,0.8399999737739563
2022-10-17,0.8600000143051147
2022-10-18,0.8700000047683716
2022-10-19,0.8500000238418579
2022-10-20,0.8399999737739563
2022-10-21,0.8700000047683716
2022-10-24,0.8700000047683716
2022-10-25,0.8700000047683716
2022-10-26,0.8899999856948853
2022-10-27,0.8600000143051147
2022-10-28,0.8600000143051147
2022-10-31,0.8700000047683716
2022-11-01,0.8700000047683716
2022-11-02,0.8199999928474426
2022-11-03,0.8199999928474426
2022-11-04,0.8700000047683716
2022-11-07,0.8899999856948853
2022-11-08,0.9100000262260437
