Date,IVP
2023-08-30,307.0
2023-08-31,379.0
2023-09-01,319.0
2023-09-05,271.0
2023-09-06,274.0
2023-09-07,188.0
2023-09-08,184.0
2023-09-11,164.0
2023-09-12,127.0
2023-09-13,124.0
2023-09-14,150.0
2023-09-15,152.5
2023-09-18,159.0
2023-09-19,168.0
2023-09-20,179.0
2023-09-21,175.0
2023-09-22,163.0
2023-09-25,152.0
2023-09-26,150.0
2023-09-27,141.0
2023-09-28,139.0
2023-09-29,135.0
2023-10-02,136.0
2023-10-03,125.0
2023-10-04,126.0
2023-10-05,116.0
2023-10-06,114.0
2023-10-09,106.0
2023-10-10,103.0
2023-10-11,103.0
2023-10-12,102.0
2023-10-13,95.0
2023-10-16,94.0
2023-10-17,89.0
2023-10-18,98.0
2023-10-19,95.0
2023-10-20,97.0999984741211
2023-10-23,92.0
2023-10-24,92.0
2023-10-25,96.0
2023-10-26,92.69999694824219
2023-10-27,96.0999984741211
2023-10-30,91.0
2023-10-31,89.0
2023-11-01,69.0
2023-11-02,78.0
2023-11-03,79.0
2023-11-06,92.0
2023-11-07,98.0
2023-11-08,98.0
2023-11-09,65.5
2023-11-10,52.5
2023-11-13,55.20000076293945
2023-11-14,50.0
2023-11-15,53.0
2023-11-16,50.5
2023-11-17,48.0
2023-11-20,57.0
2023-11-21,70.19999694824219
2023-11-22,56.5
2023-11-24,57.0
2023-11-27,55.70000076293945
2023-11-28,49.79999923706055
2023-11-29,48.5
2023-11-30,49.5
2023-12-01,52.0
2023-12-04,53.099998474121094
2023-12-05,48.0
2023-12-06,48.0
2023-12-07,39.099998474121094
2023-12-08,41.0
2023-12-11,39.29999923706055
2023-12-12,41.0
2023-12-13,41.0
2023-12-14,43.0
2023-12-15,39.0
2023-12-18,42.099998474121094
2023-12-19,36.099998474121094
2023-12-20,34.900001525878906
2023-12-21,37.099998474121094
2023-12-22,37.099998474121094
2023-12-26,35.0
2023-12-27,34.099998474121094
2023-12-28,35.5
