Date,IVP
2023-12-29,34.5
2024-01-02,35.900001525878906
2024-01-03,34.099998474121094
2024-01-04,34.5
2024-01-05,22.600000381469727
2024-01-08,18.899999618530273
2024-01-09,18.899999618530273
2024-01-10,18.0
2024-01-11,17.899999618530273
2024-01-12,16.899999618530273
2024-01-16,17.0
2024-01-17,15.899999618530273
2024-01-18,15.699999809265137
2024-01-19,14.600000381469727
2024-01-22,15.899999618530273
2024-01-23,16.200000762939453
2024-01-24,15.300000190734863
2024-01-25,18.799999237060547
2024-01-26,22.399999618530273
2024-01-29,17.100000381469727
2024-01-30,19.0
2024-01-31,18.299999237060547
2024-02-01,16.200000762939453
2024-02-02,15.800000190734863
2024-02-05,13.600000381469727
2024-02-06,13.600000381469727
2024-02-07,13.0
2024-02-08,13.100000381469727
2024-02-09,12.199999809265137
2024-02-12,12.800000190734863
2024-02-13,11.899999618530273
2024-02-14,11.300000190734863
2024-02-15,12.300000190734863
2024-02-16,12.399999618530273
2024-02-20,13.399999618530273
2024-02-21,11.0
2024-02-22,10.0
2024-02-23,10.0
2024-02-26,9.5
2024-02-27,9.0
2024-02-28,8.300000190734863
2024-02-29,8.100000381469727
2024-03-01,9.0
2024-03-04,8.0
2024-03-05,8.100000381469727
2024-03-06,7.099999904632568
2024-03-07,5.900000095367432
2024-03-08,5.599999904632568
2024-03-11,5.5
2024-03-12,4.400000095367432
2024-03-13,5.099999904632568
2024-03-14,5.099999904632568
2024-03-15,5.0
2024-03-18,4.599999904632568
2024-03-19,4.5
2024-03-20,4.599999904632568
2024-03-21,5.0
2024-03-22,5.0
2024-03-25,5.0
2024-03-26,4.5
2024-03-27,4.800000190734863
2024-03-28,4.599999904632568
2024-04-01,4.599999904632568
2024-04-02,4.699999809265137
2024-04-03,4.900000095367432
2024-04-04,4.900000095367432
2024-04-05,4.800000190734863
2024-04-08,4.699999809265137
2024-04-09,5.300000190734863
2024-04-10,5.300000190734863
2024-04-11,5.0
2024-04-12,5.099999904632568
2024-04-15,4.5
2024-04-16,4.300000190734863
2024-04-17,4.199999809265137
2024-04-18,4.0
2024-04-19,4.0
2024-04-22,4.0
2024-04-23,4.099999904632568
2024-04-24,3.799999952316284
2024-04-25,3.799999952316284
2024-04-26,4.400000095367432
2024-04-29,4.199999809265137
2024-04-30,4.099999904632568
2024-05-01,4.099999904632568
2024-05-02,4.199999809265137
2024-05-03,4.0
2024-05-06,3.700000047683716
2024-05-07,3.5999999046325684
2024-05-08,3.630000114440918
2024-05-09,4.400000095367432
2024-05-10,3.859999895095825
2024-05-13,3.2300000190734863
2024-05-14,2.6500000953674316
2024-05-15,2.5199999809265137
2024-05-16,2.5399999618530273
2024-05-17,2.619999885559082
2024-05-20,2.809999942779541
2024-05-21,2.880000114440918
2024-05-22,2.7899999618530273
2024-05-23,2.609999895095825
2024-05-24,2.7799999713897705
2024-05-28,2.7899999618530273
2024-05-29,2.6600000858306885
2024-05-30,2.6700000762939453
2024-05-31,2.9600000381469727
2024-06-03,3.1600000858306885
2024-06-04,2.6600000858306885
2024-06-05,2.630000114440918
2024-06-06,2.440000057220459
2024-06-07,2.240000009536743
2024-06-10,1.9199999570846558
2024-06-11,1.8250000476837158
2024-06-12,1.7799999713897705
2024-06-13,1.7699999809265137
2024-06-14,1.690000057220459
2024-06-17,1.659999966621399
2024-06-18,1.5
2024-06-20,1.315000057220459
2024-06-21,1.309999942779541
2024-06-24,1.3049999475479126
2024-06-25,1.5199999809265137
2024-06-26,1.350000023841858
2024-06-27,2.2200000286102295
2024-06-28,1.5800000429153442
2024-07-01,1.4199999570846558
2024-07-02,1.309999942779541
2024-07-03,1.3799999952316284
2024-07-05,1.4900000095367432
2024-07-08,2.9700000286102295
2024-07-09,3.5199999809265137
2024-07-10,7.400000095367432
2024-07-11,5.590000152587891
2024-07-12,10.569999694824219
2024-07-15,11.279999732971191
2024-07-16,10.279999732971191
2024-07-17,10.399999618530273
2024-07-18,13.729999542236328
2024-07-19,11.75
2024-07-22,9.239999771118164
2024-07-23,5.130000114440918
2024-07-24,6.760000228881836
2024-07-25,6.139999866485596
2024-07-26,5.989999771118164
2024-07-29,6.389999866485596
2024-07-30,7.400000095367432
2024-07-31,8.600000381469727
2024-08-01,9.850000381469727
2024-08-02,8.630000114440918
2024-08-05,5.920000076293945
2024-08-06,6.880000114440918
2024-08-07,6.170000076293945
2024-08-08,5.449999809265137
2024-08-09,5.699999809265137
2024-08-12,4.400000095367432
2024-08-13,3.380000114440918
2024-08-14,3.549999952316284
2024-08-15,3.5199999809265137
2024-08-16,3.5799999237060547
2024-08-19,4.179999828338623
2024-08-20,3.319999933242798
2024-08-21,2.9000000953674316
2024-08-22,2.799999952316284
2024-08-23,3.049999952316284
2024-08-26,2.690000057220459
2024-08-27,2.1700000762939453
2024-08-28,1.9800000190734863
2024-08-29,1.7100000381469727
2024-08-30,1.3550000190734863
2024-09-03,0.949999988079071
2024-09-04,0.7179999947547913
2024-09-05,1.1699999570846558
2024-09-06,0.8730000257492065
2024-09-09,1.0299999713897705
2024-09-10,1.059999942779541
2024-09-11,0.9549999833106995
2024-09-12,0.9290000200271606
2024-09-13,0.8999999761581421
2024-09-16,0.8209999799728394
2024-09-17,0.7940000295639038
2024-09-18,0.828000009059906
2024-09-19,0.796999990940094
2024-09-20,0.7419999837875366
2024-09-23,0.7300000190734863
2024-09-24,0.7039999961853027
2024-09-25,0.6800000071525574
2024-09-26,0.5989999771118164
2024-09-27,0.4790000021457672
2024-09-30,0.3190000057220459
2024-10-01,0.23999999463558197
2024-10-02,0.30000001192092896
2024-10-03,0.2800000011920929
2024-10-04,0.26600000262260437
2024-10-07,0.27000001072883606
2024-10-08,0.28700000047683716
2024-10-09,0.3089999854564667
2024-10-10,0.2849999964237213
2024-10-11,0.28200000524520874
2024-10-14,0.2619999945163727
2024-10-15,0.25999999046325684
2024-10-16,0.2549999952316284
2024-10-17,0.25200000405311584
2024-10-18,0.24699999392032623
2024-10-21,0.33000001311302185
2024-10-22,0.37700000405311584
2024-10-23,0.33399999141693115
2024-10-24,0.29499998688697815
2024-10-25,0.2720000147819519
2024-10-28,0.27000001072883606
2024-10-29,0.27000001072883606
2024-10-30,0.2800000011920929
2024-10-31,0.27799999713897705
2024-11-01,0.2549999952316284
2024-11-04,0.24400000274181366
2024-11-05,0.24400000274181366
2024-11-06,0.25
2024-11-07,0.2540000081062317
2024-11-08,0.2639999985694885
2024-11-11,0.2529999911785126
2024-11-12,0.25
2024-11-13,0.25600001215934753
2024-11-14,0.24799999594688416
2024-11-15,0.23600000143051147
2024-11-18,0.22599999606609344
2024-11-19,0.20900000631809235
2024-11-20,0.23000000417232513
2024-11-21,0.2160000056028366
