Date,ESPR
2022-02-28,4.090000152587891
2022-03-01,4.289999961853027
2022-03-02,4.429999828338623
2022-03-03,4.190000057220459
2022-03-04,4.239999771118164
2022-03-07,4.119999885559082
2022-03-08,4.380000114440918
2022-03-09,4.570000171661377
2022-03-10,4.730000019073486
2022-03-11,4.739999771118164
2022-03-14,4.739999771118164
2022-03-15,4.599999904632568
2022-03-16,4.630000114440918
2022-03-17,5.099999904632568
2022-03-18,5.059999942779541
2022-03-21,5.53000020980835
2022-03-22,5.559999942779541
2022-03-23,5.230000019073486
2022-03-24,5.099999904632568
2022-03-25,4.900000095367432
2022-03-28,4.739999771118164
2022-03-29,4.960000038146973
2022-03-30,4.889999866485596
2022-03-31,4.639999866485596
2022-04-01,4.960000038146973
2022-04-04,5.25
2022-04-05,5.380000114440918
2022-04-06,5.659999847412109
2022-04-07,5.619999885559082
2022-04-08,5.599999904632568
2022-04-11,5.610000133514404
2022-04-12,5.570000171661377
2022-04-13,5.980000019073486
2022-04-14,5.889999866485596
2022-04-18,5.03000020980835
2022-04-19,4.809999942779541
2022-04-20,4.769999980926514
2022-04-21,4.769999980926514
2022-04-22,4.78000020980835
2022-04-25,5.199999809265137
2022-04-26,5.21999979019165
2022-04-27,5.460000038146973
2022-04-28,5.510000228881836
2022-04-29,5.679999828338623
2022-05-02,5.730000019073486
2022-05-03,6.53000020980835
2022-05-04,6.380000114440918
2022-05-05,6.119999885559082
2022-05-06,5.510000228881836
2022-05-09,5.329999923706055
2022-05-10,5.130000114440918
2022-05-11,4.829999923706055
2022-05-12,5.239999771118164
2022-05-13,5.78000020980835
2022-05-16,5.889999866485596
2022-05-17,6.519999980926514
2022-05-18,6.070000171661377
2022-05-19,6.179999828338623
2022-05-20,6.309999942779541
2022-05-23,6.179999828338623
2022-05-24,5.789999961853027
2022-05-25,5.630000114440918
2022-05-26,5.510000228881836
2022-05-27,5.800000190734863
2022-05-31,5.699999809265137
2022-06-01,5.420000076293945
2022-06-02,5.619999885559082
2022-06-03,5.829999923706055
2022-06-06,5.829999923706055
2022-06-07,6.199999809265137
2022-06-08,6.099999904632568
2022-06-09,5.730000019073486
2022-06-10,5.46999979019165
2022-06-13,5.309999942779541
2022-06-14,5.199999809265137
2022-06-15,5.329999923706055
2022-06-16,4.920000076293945
2022-06-17,5.599999904632568
2022-06-21,5.809999942779541
2022-06-22,5.650000095367432
2022-06-23,6.289999961853027
2022-06-24,6.46999979019165
2022-06-27,6.550000190734863
2022-06-28,6.269999980926514
2022-06-29,6.670000076293945
2022-06-30,6.360000133514404
2022-07-01,6.449999809265137
2022-07-05,6.989999771118164
2022-07-06,6.690000057220459
2022-07-07,6.559999942779541
2022-07-08,6.670000076293945
2022-07-11,6.260000228881836
2022-07-12,6.429999828338623
2022-07-13,6.769999980926514
2022-07-14,6.739999771118164
2022-07-15,6.710000038146973
2022-07-18,6.5
2022-07-19,6.550000190734863
2022-07-20,6.579999923706055
2022-07-21,6.449999809265137
2022-07-22,6.210000038146973
2022-07-25,6.260000228881836
2022-07-26,6.099999904632568
2022-07-27,6.130000114440918
2022-07-28,6.03000020980835
2022-07-29,5.769999980926514
2022-08-01,5.449999809265137
2022-08-02,5.869999885559082
2022-08-03,5.769999980926514
2022-08-04,5.920000076293945
2022-08-05,6.099999904632568
2022-08-08,6.420000076293945
2022-08-09,6.429999828338623
2022-08-10,6.409999847412109
2022-08-11,6.639999866485596
2022-08-12,6.699999809265137
2022-08-15,6.670000076293945
2022-08-16,6.849999904632568
2022-08-17,7.0
2022-08-18,7.130000114440918
2022-08-19,7.389999866485596
2022-08-22,7.539999961853027
2022-08-23,8.09000015258789
2022-08-24,8.130000114440918
2022-08-25,8.130000114440918
2022-08-26,7.659999847412109
2022-08-29,7.5
2022-08-30,7.389999866485596
2022-08-31,7.460000038146973
2022-09-01,7.690000057220459
2022-09-02,7.860000133514404
2022-09-06,7.519999980926514
2022-09-07,7.760000228881836
2022-09-08,7.53000020980835
2022-09-09,7.369999885559082
2022-09-12,7.099999904632568
2022-09-13,7.050000190734863
2022-09-14,7.449999809265137
2022-09-15,7.519999980926514
2022-09-16,7.010000228881836
2022-09-19,7.449999809265137
2022-09-20,7.260000228881836
2022-09-21,7.110000133514404
2022-09-22,6.960000038146973
2022-09-23,6.699999809265137
2022-09-26,6.800000190734863
2022-09-27,7.03000020980835
2022-09-28,7.309999942779541
2022-09-29,6.840000152587891
2022-09-30,6.699999809265137
2022-10-03,6.550000190734863
2022-10-04,6.989999771118164
2022-10-05,7.099999904632568
2022-10-06,7.039999961853027
2022-10-07,7.420000076293945
2022-10-10,7.670000076293945
2022-10-11,8.170000076293945
2022-10-12,7.929999828338623
2022-10-13,8.050000190734863
2022-10-14,7.599999904632568
2022-10-17,7.650000095367432
2022-10-18,7.96999979019165
2022-10-19,7.980000019073486
2022-10-20,8.210000038146973
2022-10-21,7.760000228881836
2022-10-24,8.25
2022-10-25,7.929999828338623
2022-10-26,8.100000381469727
2022-10-27,7.909999847412109
2022-10-28,7.989999771118164
2022-10-31,8.130000114440918
2022-11-01,8.279999732971191
2022-11-02,8.039999961853027
2022-11-03,8.470000267028809
2022-11-04,8.5600004196167
2022-11-07,8.3100004196167
2022-11-08,8.1899995803833
2022-11-09,8.199999809265137
2022-11-10,8.15999984741211
2022-11-11,7.960000038146973
2022-11-14,7.440000057220459
2022-11-15,7.300000190734863
2022-11-16,7.300000190734863
2022-11-17,7.050000190734863
2022-11-18,7.210000038146973
2022-11-21,6.71999979019165
2022-11-22,6.989999771118164
