Date,APDN
2022-02-28,51.20000076293945
2022-03-01,49.20000076293945
2022-03-02,46.79999923706055
2022-03-03,45.79999923706055
2022-03-04,45.79999923706055
2022-03-07,43.400001525878906
2022-03-08,44.0
2022-03-09,47.0
2022-03-10,43.599998474121094
2022-03-11,43.400001525878906
2022-03-14,41.0
2022-03-15,41.599998474121094
2022-03-16,41.79999923706055
2022-03-17,41.79999923706055
2022-03-18,43.599998474121094
2022-03-21,42.79999923706055
2022-03-22,44.20000076293945
2022-03-23,43.599998474121094
2022-03-24,47.0
2022-03-25,46.20000076293945
2022-03-28,44.20000076293945
2022-03-29,43.400001525878906
2022-03-30,42.79999923706055
2022-03-31,42.79999923706055
2022-04-01,42.0
2022-04-04,42.400001525878906
2022-04-05,41.20000076293945
2022-04-06,39.599998474121094
2022-04-07,40.0
2022-04-08,38.400001525878906
2022-04-11,39.400001525878906
2022-04-12,38.20000076293945
2022-04-13,39.79999923706055
2022-04-14,38.599998474121094
2022-04-18,39.20000076293945
2022-04-19,38.20000076293945
2022-04-20,37.400001525878906
2022-04-21,37.0
2022-04-22,36.400001525878906
2022-04-25,36.599998474121094
2022-04-26,35.599998474121094
2022-04-27,34.599998474121094
2022-04-28,32.20000076293945
2022-04-29,32.0
2022-05-02,30.799999237060547
2022-05-03,30.600000381469727
2022-05-04,31.0
2022-05-05,30.399999618530273
2022-05-06,29.200000762939453
2022-05-09,27.0
2022-05-10,25.799999237060547
2022-05-11,23.600000381469727
2022-05-12,24.799999237060547
2022-05-13,28.0
2022-05-16,28.399999618530273
2022-05-17,28.0
2022-05-18,26.0
2022-05-19,27.799999237060547
2022-05-20,25.399999618530273
2022-05-23,24.600000381469727
2022-05-24,23.399999618530273
2022-05-25,24.0
2022-05-26,23.600000381469727
2022-05-27,24.600000381469727
2022-05-31,25.799999237060547
2022-06-01,25.799999237060547
2022-06-02,25.799999237060547
2022-06-03,24.600000381469727
2022-06-06,24.399999618530273
2022-06-07,22.0
2022-06-08,22.0
2022-06-09,23.0
2022-06-10,21.600000381469727
2022-06-13,20.0
2022-06-14,20.0
2022-06-15,20.0
2022-06-16,19.799999237060547
2022-06-17,19.799999237060547
2022-06-21,20.399999618530273
2022-06-22,19.799999237060547
2022-06-23,19.200000762939453
2022-06-24,18.200000762939453
2022-06-27,17.399999618530273
2022-06-28,15.600000381469727
2022-06-29,14.800000190734863
2022-06-30,14.800000190734863
2022-07-01,14.199999809265137
