Date,TNXP
2022-02-28,1152.0
2022-03-01,1216.0
2022-03-02,1216.0
2022-03-03,1600.0
2022-03-04,1344.0
2022-03-07,1280.0
2022-03-08,1472.0
2022-03-09,1472.0
2022-03-10,1408.0
2022-03-11,1408.0
2022-03-14,1344.0
2022-03-15,1344.0
2022-03-16,1472.0
2022-03-17,1600.0
2022-03-18,1536.0
2022-03-21,1536.0
2022-03-22,1600.0
2022-03-23,1536.0
2022-03-24,1536.0
2022-03-25,1472.0
2022-03-28,1408.0
2022-03-29,1472.0
2022-03-30,1408.0
2022-03-31,1472.0
2022-04-01,1408.0
2022-04-04,1472.0
2022-04-05,1408.0
2022-04-06,1344.0
2022-04-07,1408.0
2022-04-08,1344.0
2022-04-11,1280.0
2022-04-12,1152.0
2022-04-13,1216.0
2022-04-14,1216.0
2022-04-18,1088.0
2022-04-19,1152.0
2022-04-20,1152.0
2022-04-21,1088.0
2022-04-22,1024.0
2022-04-25,1024.0
2022-04-26,960.0
2022-04-27,960.0
2022-04-28,960.0
2022-04-29,960.0
2022-05-02,960.0
2022-05-03,960.0
2022-05-04,960.0
2022-05-05,896.0
2022-05-06,896.0
2022-05-09,832.0
2022-05-10,896.0
2022-05-11,704.0
2022-05-12,768.0
2022-05-13,832.0
2022-05-16,576.0
2022-05-17,442.0
2022-05-18,384.0
2022-05-19,442.0
2022-05-20,508.0
2022-05-23,470.0
2022-05-24,426.0
2022-05-25,398.0
2022-05-26,412.0
2022-05-27,448.0
2022-05-31,488.0
2022-06-01,630.0
2022-06-02,560.0
2022-06-03,494.0
2022-06-06,460.0
2022-06-07,446.0
2022-06-08,454.0
2022-06-09,422.0
2022-06-10,386.0
2022-06-13,354.0
2022-06-14,368.0
2022-06-15,356.0
2022-06-16,338.0
2022-06-17,354.0
2022-06-21,368.0
2022-06-22,382.0
2022-06-23,398.0
2022-06-24,374.0
2022-06-27,354.0
2022-06-28,338.0
2022-06-29,332.0
2022-06-30,316.0
2022-07-01,322.0
2022-07-05,334.0
2022-07-06,316.0
2022-07-07,328.0
2022-07-08,334.0
2022-07-11,304.0
2022-07-12,280.0
2022-07-13,270.0
2022-07-14,256.0
2022-07-15,254.0
2022-07-18,250.0
2022-07-19,260.0
2022-07-20,270.0
2022-07-21,262.0
2022-07-22,238.0
2022-07-25,346.0
2022-07-26,338.0
2022-07-27,320.0
2022-07-28,374.0
2022-07-29,336.0
2022-08-01,372.0
2022-08-02,380.0
2022-08-03,354.0
2022-08-04,360.0
2022-08-05,316.0
2022-08-08,304.0
2022-08-09,280.0
