Date,TNXP
2022-08-10,282.0
2022-08-11,274.0
2022-08-12,280.0
2022-08-15,318.0
2022-08-16,296.0
2022-08-17,292.0
2022-08-18,280.0
2022-08-19,260.0
2022-08-22,260.0
2022-08-23,252.0
2022-08-24,258.0
2022-08-25,240.0
2022-08-26,222.0
2022-08-29,204.0
2022-08-30,204.0
2022-08-31,204.0
2022-09-01,196.0
2022-09-02,198.0
2022-09-06,182.0
2022-09-07,182.0
2022-09-08,206.0
2022-09-09,202.0
2022-09-12,194.0
2022-09-13,184.0
2022-09-14,180.0
2022-09-15,172.0
2022-09-16,158.0
2022-09-19,142.0
2022-09-20,130.0
2022-09-21,128.0
2022-09-22,114.0
2022-09-23,110.0
2022-09-26,106.0
2022-09-27,108.0
2022-09-28,112.0
2022-09-29,106.0
2022-09-30,106.0
2022-10-03,110.0
2022-10-04,114.0
2022-10-05,114.0
2022-10-06,110.0
2022-10-07,102.0
2022-10-10,100.0
2022-10-11,98.0
2022-10-12,100.0
2022-10-13,98.0
2022-10-14,96.0
2022-10-17,102.0
2022-10-18,102.0
2022-10-19,100.0
2022-10-20,102.0
2022-10-21,104.0
2022-10-24,98.0
2022-10-25,100.0
2022-10-26,98.0
2022-10-27,92.0
2022-10-28,94.0
2022-10-31,90.0
2022-11-01,90.0
2022-11-02,92.0
2022-11-03,92.0
2022-11-04,90.0
2022-11-07,92.0
2022-11-08,92.0
2022-11-09,88.0
2022-11-10,88.0
2022-11-11,94.0
2022-11-14,98.0
2022-11-15,100.0
2022-11-16,92.0
2022-11-17,90.0
2022-11-18,84.0
2022-11-21,78.0
2022-11-22,78.0
2022-11-23,76.0
2022-11-25,80.0
2022-11-28,76.0
2022-11-29,78.0
2022-11-30,78.0
2022-12-01,76.0
2022-12-02,78.0
2022-12-05,80.0
2022-12-06,78.0
2022-12-07,74.0
2022-12-08,74.0
2022-12-09,74.0
2022-12-12,80.0
2022-12-13,74.0
2022-12-14,68.0
2022-12-15,66.0
2022-12-16,64.0
2022-12-19,58.0
2022-12-20,62.0
2022-12-21,64.0
2022-12-22,66.0
2022-12-23,66.0
2022-12-27,68.0
2022-12-28,66.0
2022-12-29,70.0
2022-12-30,78.0
2023-01-03,92.0
2023-01-04,100.0
2023-01-05,120.0
2023-01-06,136.0
2023-01-09,164.0
2023-01-10,206.0
2023-01-11,188.0
2023-01-12,240.0
2023-01-13,260.0
2023-01-17,216.0
2023-01-18,208.0
2023-01-19,236.0
2023-01-20,246.0
2023-01-23,238.0
2023-01-24,216.0
2023-01-25,232.0
2023-01-26,230.0
2023-01-27,230.0
2023-01-30,220.0
2023-01-31,224.0
2023-02-01,234.0
2023-02-02,236.0
2023-02-03,246.0
2023-02-06,240.0
2023-02-07,236.0
2023-02-08,246.0
2023-02-09,222.0
2023-02-10,210.0
2023-02-13,210.0
2023-02-14,206.0
2023-02-15,214.0
2023-02-16,200.0
2023-02-17,182.0
2023-02-21,170.0
2023-02-22,144.0
2023-02-23,146.0
2023-02-24,128.0
2023-02-27,138.0
2023-02-28,140.0
2023-03-01,144.0
2023-03-02,142.0
2023-03-03,148.0
2023-03-06,142.0
2023-03-07,128.0
2023-03-08,130.0
2023-03-09,130.0
2023-03-10,124.0
2023-03-13,140.0
2023-03-14,136.0
2023-03-15,112.0
2023-03-16,120.0
2023-03-17,120.0
2023-03-20,118.0
2023-03-21,118.0
2023-03-22,124.0
2023-03-23,114.0
2023-03-24,116.0
2023-03-27,112.0
2023-03-28,114.0
2023-03-29,118.0
2023-03-30,124.0
2023-03-31,118.0
2023-04-03,116.0
2023-04-04,114.0
2023-04-05,118.0
2023-04-06,118.0
2023-04-10,116.0
2023-04-11,116.0
2023-04-12,112.0
2023-04-13,106.0
2023-04-14,102.0
2023-04-17,102.0
2023-04-18,102.0
2023-04-19,102.0
2023-04-20,98.0
2023-04-21,96.0
2023-04-24,94.0
2023-04-25,92.0
2023-04-26,88.0
2023-04-27,92.0
2023-04-28,104.0
2023-05-01,96.0
2023-05-02,96.0
2023-05-03,98.0
2023-05-04,102.0
2023-05-05,104.0
2023-05-08,102.0
2023-05-09,70.0
2023-05-10,61.439998626708984
2023-05-11,57.279998779296875
2023-05-12,61.7599983215332
2023-05-15,61.439998626708984
2023-05-16,61.119998931884766
2023-05-17,60.47999954223633
2023-05-18,59.52000045776367
2023-05-19,58.880001068115234
2023-05-22,60.15999984741211
2023-05-23,56.63999938964844
2023-05-24,56.959999084472656
2023-05-25,54.400001525878906
2023-05-26,53.439998626708984
2023-05-30,52.15999984741211
2023-05-31,57.279998779296875
2023-06-01,60.15999984741211
2023-06-02,60.15999984741211
2023-06-05,63.36000061035156
2023-06-06,62.400001525878906
2023-06-07,61.119998931884766
2023-06-08,60.47999954223633
2023-06-09,58.560001373291016
2023-06-12,55.68000030517578
2023-06-13,56.63999938964844
2023-06-14,58.2400016784668
2023-06-15,61.439998626708984
2023-06-16,59.20000076293945
2023-06-20,56.63999938964844
2023-06-21,54.08000183105469
2023-06-22,53.119998931884766
2023-06-23,51.20000076293945
2023-06-26,45.7599983215332
2023-06-27,45.119998931884766
2023-06-28,47.68000030517578
2023-06-29,51.20000076293945
2023-06-30,50.560001373291016
2023-07-03,51.20000076293945
2023-07-05,52.47999954223633
2023-07-06,49.599998474121094
2023-07-07,51.20000076293945
2023-07-10,55.040000915527344
2023-07-11,55.36000061035156
2023-07-12,58.2400016784668
2023-07-13,58.880001068115234
2023-07-14,56.31999969482422
2023-07-17,56.959999084472656
2023-07-18,56.31999969482422
2023-07-19,56.959999084472656
2023-07-20,54.08000183105469
2023-07-21,53.119998931884766
2023-07-24,55.68000030517578
2023-07-25,55.040000915527344
2023-07-26,55.040000915527344
2023-07-27,56.959999084472656
2023-07-28,34.2400016784668
2023-07-31,34.2400016784668
2023-08-01,32.959999084472656
2023-08-02,32.31999969482422
2023-08-03,32.0
2023-08-04,31.360000610351562
2023-08-07,32.63999938964844
2023-08-08,30.079999923706055
2023-08-09,30.399999618530273
2023-08-10,31.360000610351562
2023-08-11,31.040000915527344
2023-08-14,29.760000228881836
2023-08-15,30.719999313354492
2023-08-16,29.760000228881836
2023-08-17,29.760000228881836
2023-08-18,29.440000534057617
2023-08-21,30.399999618530273
2023-08-22,30.079999923706055
2023-08-23,30.399999618530273
2023-08-24,29.440000534057617
2023-08-25,29.440000534057617
2023-08-28,29.760000228881836
2023-08-29,30.399999618530273
2023-08-30,30.079999923706055
2023-08-31,31.040000915527344
2023-09-01,32.0
2023-09-05,29.440000534057617
2023-09-06,29.440000534057617
2023-09-07,29.760000228881836
2023-09-08,29.1200008392334
2023-09-11,28.479999542236328
2023-09-12,29.1200008392334
2023-09-13,28.479999542236328
2023-09-14,28.799999237060547
2023-09-15,29.440000534057617
2023-09-18,27.520000457763672
2023-09-19,27.200000762939453
2023-09-20,27.520000457763672
2023-09-21,25.600000381469727
2023-09-22,25.920000076293945
2023-09-25,25.280000686645508
2023-09-26,25.280000686645508
2023-09-27,23.68000030517578
2023-09-28,22.399999618530273
2023-09-29,17.600000381469727
2023-10-02,17.280000686645508
2023-10-03,16.959999084472656
2023-10-04,18.239999771118164
2023-10-05,18.8799991607666
2023-10-06,17.920000076293945
2023-10-09,18.239999771118164
2023-10-10,18.559999465942383
2023-10-11,18.8799991607666
2023-10-12,18.8799991607666
2023-10-13,18.559999465942383
2023-10-16,18.239999771118164
2023-10-17,18.239999771118164
2023-10-18,17.920000076293945
2023-10-19,17.600000381469727
2023-10-20,17.600000381469727
2023-10-23,17.600000381469727
2023-10-24,17.280000686645508
2023-10-25,17.600000381469727
2023-10-26,17.600000381469727
2023-10-27,17.600000381469727
2023-10-30,18.239999771118164
2023-10-31,18.8799991607666
2023-11-01,15.680000305175781
2023-11-02,16.0
2023-11-03,16.31999969482422
2023-11-06,16.0
2023-11-07,15.680000305175781
2023-11-08,15.680000305175781
2023-11-09,15.039999961853027
2023-11-10,15.039999961853027
2023-11-13,15.039999961853027
2023-11-14,14.720000267028809
2023-11-15,15.039999961853027
2023-11-16,15.039999961853027
2023-11-17,15.039999961853027
2023-11-20,15.359999656677246
2023-11-21,15.680000305175781
2023-11-22,15.359999656677246
2023-11-24,15.680000305175781
2023-11-27,15.680000305175781
2023-11-28,15.680000305175781
2023-11-29,16.639999389648438
2023-11-30,16.639999389648438
2023-12-01,16.959999084472656
2023-12-04,15.039999961853027
2023-12-05,15.359999656677246
2023-12-06,14.720000267028809
2023-12-07,12.15999984741211
2023-12-08,12.800000190734863
2023-12-11,12.479999542236328
2023-12-12,13.119999885559082
2023-12-13,13.4399995803833
2023-12-14,16.31999969482422
2023-12-15,18.239999771118164
2023-12-18,21.440000534057617
2023-12-19,19.200000762939453
2023-12-20,12.15999984741211
2023-12-21,12.15999984741211
2023-12-22,12.800000190734863
2023-12-26,13.119999885559082
2023-12-27,13.4399995803833
2023-12-28,13.119999885559082
2023-12-29,12.800000190734863
2024-01-02,13.4399995803833
2024-01-03,12.479999542236328
2024-01-04,12.15999984741211
2024-01-05,11.84000015258789
2024-01-08,11.520000457763672
2024-01-09,10.239999771118164
2024-01-10,9.920000076293945
2024-01-11,8.960000038146973
2024-01-12,9.600000381469727
2024-01-16,9.920000076293945
2024-01-17,9.279999732971191
2024-01-18,8.640000343322754
2024-01-19,8.960000038146973
2024-01-22,9.600000381469727
2024-01-23,9.279999732971191
2024-01-24,8.960000038146973
2024-01-25,9.920000076293945
2024-01-26,9.600000381469727
2024-01-29,10.239999771118164
2024-01-30,9.920000076293945
2024-01-31,10.239999771118164
2024-02-01,10.880000114440918
2024-02-02,10.5600004196167
2024-02-05,10.239999771118164
2024-02-06,10.5600004196167
2024-02-07,10.5600004196167
2024-02-08,10.5600004196167
2024-02-09,10.5600004196167
2024-02-12,11.84000015258789
2024-02-13,11.199999809265137
2024-02-14,12.479999542236328
2024-02-15,12.479999542236328
2024-02-16,12.15999984741211
2024-02-20,11.84000015258789
2024-02-21,11.199999809265137
2024-02-22,10.239999771118164
2024-02-23,10.239999771118164
2024-02-26,10.880000114440918
2024-02-27,11.84000015258789
2024-02-28,11.84000015258789
2024-02-29,12.15999984741211
2024-03-01,11.84000015258789
2024-03-04,12.15999984741211
2024-03-05,11.520000457763672
2024-03-06,11.84000015258789
2024-03-07,11.84000015258789
2024-03-08,11.84000015258789
2024-03-11,11.520000457763672
2024-03-12,10.5600004196167
2024-03-13,10.5600004196167
2024-03-14,10.5600004196167
2024-03-15,10.239999771118164
2024-03-18,10.5600004196167
2024-03-19,11.199999809265137
2024-03-20,11.520000457763672
2024-03-21,10.880000114440918
2024-03-22,11.199999809265137
2024-03-25,10.5600004196167
2024-03-26,10.880000114440918
2024-03-27,10.5600004196167
2024-03-28,6.079999923706055
2024-04-01,6.079999923706055
2024-04-02,6.079999923706055
2024-04-03,6.400000095367432
2024-04-04,6.079999923706055
2024-04-05,5.440000057220459
2024-04-08,6.079999923706055
2024-04-09,6.079999923706055
2024-04-10,5.440000057220459
2024-04-11,5.440000057220459
2024-04-12,5.119999885559082
2024-04-15,4.800000190734863
2024-04-16,4.800000190734863
2024-04-17,5.119999885559082
2024-04-18,5.119999885559082
2024-04-19,5.119999885559082
2024-04-22,5.119999885559082
2024-04-23,5.119999885559082
2024-04-24,5.119999885559082
2024-04-25,5.119999885559082
2024-04-26,5.440000057220459
2024-04-29,5.760000228881836
2024-04-30,5.760000228881836
2024-05-01,5.760000228881836
2024-05-02,5.440000057220459
2024-05-03,5.760000228881836
2024-05-06,6.079999923706055
2024-05-07,6.079999923706055
2024-05-08,5.760000228881836
2024-05-09,5.760000228881836
2024-05-10,5.440000057220459
2024-05-13,5.440000057220459
2024-05-14,5.760000228881836
2024-05-15,5.760000228881836
2024-05-16,5.760000228881836
2024-05-17,6.400000095367432
2024-05-20,6.079999923706055
2024-05-21,5.760000228881836
2024-05-22,6.079999923706055
2024-05-23,5.440000057220459
2024-05-24,5.760000228881836
2024-05-28,5.440000057220459
2024-05-29,5.440000057220459
2024-05-30,5.440000057220459
2024-05-31,5.119999885559082
2024-06-03,5.119999885559082
2024-06-04,4.800000190734863
2024-06-05,4.800000190734863
2024-06-06,3.5199999809265137
2024-06-07,3.200000047683716
2024-06-10,2.2100000381469727
2024-06-11,2.130000114440918
2024-06-12,1.1100000143051147
2024-06-13,1.090000033378601
2024-06-14,1.149999976158142
2024-06-17,1.1200000047683716
2024-06-18,1.2200000286102295
2024-06-20,1.350000023841858
2024-06-21,1.2999999523162842
2024-06-24,1.190000057220459
2024-06-25,1.25
2024-06-26,1.1299999952316284
2024-06-27,0.6899999976158142
2024-06-28,0.699999988079071
2024-07-01,0.7300000190734863
2024-07-02,0.7400000095367432
2024-07-03,0.8899999856948853
2024-07-05,0.800000011920929
2024-07-08,0.7099999785423279
2024-07-09,0.6000000238418579
2024-07-10,0.6200000047683716
2024-07-11,0.6100000143051147
2024-07-12,0.6000000238418579
2024-07-15,0.6000000238418579
2024-07-16,0.6100000143051147
2024-07-17,0.6000000238418579
2024-07-18,0.5699999928474426
2024-07-19,0.5600000023841858
2024-07-22,0.5600000023841858
2024-07-23,0.5699999928474426
2024-07-24,0.5299999713897705
2024-07-25,0.5799999833106995
2024-07-26,0.550000011920929
2024-07-29,0.5699999928474426
2024-07-30,0.5699999928474426
2024-07-31,0.5
2024-08-01,0.5099999904632568
2024-08-02,0.47999998927116394
2024-08-05,0.44999998807907104
2024-08-06,0.46000000834465027
2024-08-07,0.46000000834465027
2024-08-08,0.47999998927116394
2024-08-09,0.47999998927116394
2024-08-12,0.5099999904632568
2024-08-13,0.49000000953674316
2024-08-14,0.5
2024-08-15,0.46000000834465027
2024-08-16,0.44999998807907104
2024-08-19,0.44999998807907104
2024-08-20,0.3799999952316284
2024-08-21,0.36000001430511475
2024-08-22,0.33000001311302185
2024-08-23,0.3400000035762787
2024-08-26,0.3700000047683716
2024-08-27,0.36000001430511475
2024-08-28,0.30000001192092896
2024-08-29,0.25999999046325684
2024-08-30,0.23000000417232513
2024-09-03,0.17000000178813934
2024-09-04,0.1599999964237213
2024-09-05,0.1599999964237213
2024-09-06,0.14000000059604645
2024-09-09,0.17000000178813934
2024-09-10,0.1599999964237213
2024-09-11,0.15000000596046448
2024-09-12,0.1599999964237213
2024-09-13,0.1599999964237213
2024-09-16,0.15000000596046448
2024-09-17,0.15000000596046448
2024-09-18,0.15000000596046448
2024-09-19,0.15000000596046448
2024-09-20,0.15000000596046448
2024-09-23,0.12999999523162842
2024-09-24,0.12999999523162842
2024-09-25,0.12999999523162842
2024-09-26,0.14000000059604645
2024-09-27,0.15000000596046448
2024-09-30,0.15000000596046448
2024-10-01,0.14000000059604645
2024-10-02,0.12999999523162842
2024-10-03,0.12999999523162842
2024-10-04,0.14000000059604645
2024-10-07,0.14000000059604645
2024-10-08,0.14000000059604645
2024-10-09,0.15000000596046448
2024-10-10,0.14000000059604645
2024-10-11,0.15000000596046448
2024-10-14,0.15000000596046448
2024-10-15,0.14000000059604645
2024-10-16,0.1599999964237213
2024-10-17,0.18000000715255737
2024-10-18,0.18000000715255737
2024-10-21,0.1899999976158142
2024-10-22,0.18000000715255737
2024-10-23,0.17000000178813934
2024-10-24,0.1599999964237213
2024-10-25,0.17000000178813934
2024-10-28,0.18000000715255737
2024-10-29,0.17000000178813934
2024-10-30,0.15000000596046448
2024-10-31,0.15000000596046448
2024-11-01,0.14000000059604645
2024-11-04,0.14000000059604645
2024-11-05,0.14000000059604645
2024-11-06,0.14000000059604645
2024-11-07,0.14000000059604645
2024-11-08,0.14000000059604645
2024-11-11,0.14000000059604645
2024-11-12,0.14000000059604645
2024-11-13,0.14000000059604645
2024-11-14,0.14000000059604645
2024-11-15,0.12999999523162842
2024-11-18,0.12999999523162842
2024-11-19,0.1599999964237213
2024-11-20,0.1899999976158142
2024-11-21,0.20000000298023224
