Date,ME
2022-02-28,89.4000015258789
2022-03-01,87.5999984741211
2022-03-02,86.0
2022-03-03,81.19999694824219
2022-03-04,75.0
2022-03-07,81.19999694824219
2022-03-08,84.4000015258789
2022-03-09,88.5999984741211
2022-03-10,83.4000015258789
2022-03-11,73.19999694824219
2022-03-14,65.5999984741211
2022-03-15,69.0
2022-03-16,70.0
2022-03-17,76.5999984741211
2022-03-18,74.4000015258789
2022-03-21,71.5999984741211
2022-03-22,76.5999984741211
2022-03-23,74.80000305175781
2022-03-24,75.19999694824219
2022-03-25,73.80000305175781
2022-03-28,75.0
2022-03-29,79.0
2022-03-30,78.0
2022-03-31,76.5999984741211
2022-04-01,79.19999694824219
2022-04-04,79.5999984741211
2022-04-05,75.5999984741211
2022-04-06,71.5999984741211
2022-04-07,68.5999984741211
2022-04-08,67.19999694824219
2022-04-11,66.5999984741211
2022-04-12,67.80000305175781
2022-04-13,71.80000305175781
2022-04-14,71.19999694824219
2022-04-18,66.4000015258789
2022-04-19,69.0
2022-04-20,67.80000305175781
2022-04-21,64.19999694824219
2022-04-22,61.20000076293945
2022-04-25,64.5999984741211
2022-04-26,61.0
2022-04-27,60.400001525878906
2022-04-28,62.0
2022-04-29,59.79999923706055
2022-05-02,61.400001525878906
2022-05-03,59.79999923706055
2022-05-04,61.400001525878906
2022-05-05,56.79999923706055
2022-05-06,55.599998474121094
2022-05-09,50.20000076293945
2022-05-10,48.599998474121094
2022-05-11,45.20000076293945
2022-05-12,50.400001525878906
2022-05-13,56.599998474121094
2022-05-16,55.599998474121094
2022-05-17,60.20000076293945
2022-05-18,58.599998474121094
2022-05-19,58.400001525878906
2022-05-20,57.599998474121094
2022-05-23,59.0
2022-05-24,56.0
2022-05-25,57.79999923706055
2022-05-26,57.79999923706055
2022-05-27,57.20000076293945
2022-05-31,60.0
2022-06-01,56.400001525878906
2022-06-02,59.20000076293945
2022-06-03,54.0
2022-06-06,47.400001525878906
2022-06-07,47.79999923706055
2022-06-08,47.20000076293945
2022-06-09,43.79999923706055
2022-06-10,44.20000076293945
2022-06-13,45.0
2022-06-14,47.20000076293945
2022-06-15,49.400001525878906
2022-06-16,47.20000076293945
2022-06-17,50.20000076293945
2022-06-21,52.0
2022-06-22,52.0
2022-06-23,54.599998474121094
2022-06-24,55.599998474121094
2022-06-27,52.599998474121094
2022-06-28,49.0
2022-06-29,48.0
2022-06-30,49.599998474121094
2022-07-01,52.0
2022-07-05,56.79999923706055
2022-07-06,57.400001525878906
2022-07-07,61.20000076293945
2022-07-08,61.20000076293945
2022-07-11,56.400001525878906
2022-07-12,58.0
2022-07-13,58.599998474121094
2022-07-14,55.0
2022-07-15,56.20000076293945
2022-07-18,55.20000076293945
2022-07-19,56.599998474121094
2022-07-20,59.20000076293945
2022-07-21,60.0
2022-07-22,56.599998474121094
2022-07-25,55.79999923706055
2022-07-26,54.20000076293945
2022-07-27,56.79999923706055
2022-07-28,57.400001525878906
2022-07-29,55.599998474121094
2022-08-01,55.79999923706055
2022-08-02,60.20000076293945
2022-08-03,66.19999694824219
2022-08-04,68.0
2022-08-05,72.80000305175781
2022-08-08,79.5999984741211
2022-08-09,74.5999984741211
2022-08-10,88.4000015258789
2022-08-11,93.80000305175781
2022-08-12,102.4000015258789
2022-08-15,92.5999984741211
2022-08-16,90.0
2022-08-17,82.0
2022-08-18,83.5999984741211
2022-08-19,66.5999984741211
2022-08-22,65.80000305175781
2022-08-23,68.0
2022-08-24,73.4000015258789
2022-08-25,77.19999694824219
2022-08-26,68.19999694824219
2022-08-29,63.29999923706055
2022-08-30,63.599998474121094
2022-08-31,67.4000015258789
2022-09-01,66.0
2022-09-02,62.20000076293945
2022-09-06,64.4000015258789
2022-09-07,66.80000305175781
2022-09-08,69.19999694824219
2022-09-09,71.4000015258789
2022-09-12,71.5999984741211
2022-09-13,67.4000015258789
2022-09-14,66.5999984741211
2022-09-15,65.4000015258789
2022-09-16,61.0
2022-09-19,62.400001525878906
2022-09-20,60.20000076293945
2022-09-21,58.400001525878906
2022-09-22,55.79999923706055
2022-09-23,55.400001525878906
2022-09-26,60.0
2022-09-27,59.599998474121094
2022-09-28,64.4000015258789
2022-09-29,59.79999923706055
2022-09-30,57.20000076293945
2022-10-03,58.20000076293945
2022-10-04,62.20000076293945
2022-10-05,64.80000305175781
2022-10-06,64.80000305175781
2022-10-07,60.20000076293945
2022-10-10,58.79999923706055
2022-10-11,58.79999923706055
2022-10-12,62.20000076293945
2022-10-13,62.400001525878906
2022-10-14,58.400001525878906
2022-10-17,61.79999923706055
2022-10-18,59.79999923706055
2022-10-19,58.79999923706055
2022-10-20,58.0
2022-10-21,57.400001525878906
2022-10-24,56.400001525878906
2022-10-25,60.20000076293945
2022-10-26,60.599998474121094
2022-10-27,59.20000076293945
2022-10-28,63.20000076293945
2022-10-31,62.79999923706055
2022-11-01,63.20000076293945
2022-11-02,61.400001525878906
2022-11-03,59.79999923706055
2022-11-04,59.20000076293945
2022-11-07,58.599998474121094
2022-11-08,58.79999923706055
2022-11-09,54.20000076293945
2022-11-10,63.79999923706055
2022-11-11,67.5999984741211
2022-11-14,67.0
2022-11-15,68.19999694824219
2022-11-16,65.0
2022-11-17,63.0
2022-11-18,59.79999923706055
2022-11-21,58.0
2022-11-22,56.400001525878906
2022-11-23,58.400001525878906
2022-11-25,57.400001525878906
2022-11-28,55.20000076293945
2022-11-29,56.20000076293945
2022-11-30,61.0
2022-12-01,64.80000305175781
2022-12-02,69.4000015258789
2022-12-05,63.79999923706055
