Date,BARK
2022-02-28,3.1500000953674316
2022-03-01,3.0799999237060547
2022-03-02,3.0
2022-03-03,2.799999952316284
2022-03-04,2.740000009536743
2022-03-07,2.75
2022-03-08,2.9200000762939453
2022-03-09,3.0899999141693115
2022-03-10,3.0199999809265137
2022-03-11,2.869999885559082
2022-03-14,2.7200000286102295
2022-03-15,3.049999952316284
2022-03-16,3.319999933242798
2022-03-17,3.4000000953674316
2022-03-18,3.819999933242798
2022-03-21,4.019999980926514
2022-03-22,4.110000133514404
2022-03-23,4.139999866485596
2022-03-24,4.090000152587891
2022-03-25,4.090000152587891
2022-03-28,4.099999904632568
2022-03-29,4.329999923706055
2022-03-30,4.099999904632568
2022-03-31,3.700000047683716
2022-04-01,3.690000057220459
2022-04-04,3.880000114440918
2022-04-05,3.7200000286102295
2022-04-06,3.5899999141693115
2022-04-07,3.5299999713897705
2022-04-08,3.4700000286102295
2022-04-11,3.450000047683716
2022-04-12,3.4200000762939453
2022-04-13,3.559999942779541
2022-04-14,3.5
2022-04-18,3.309999942779541
2022-04-19,3.5899999141693115
2022-04-20,3.5
2022-04-21,3.309999942779541
2022-04-22,3.130000114440918
2022-04-25,3.299999952316284
2022-04-26,3.0799999237060547
2022-04-27,3.109999895095825
2022-04-28,3.2899999618530273
2022-04-29,3.0899999141693115
2022-05-02,3.1700000762939453
2022-05-03,3.109999895095825
2022-05-04,3.2300000190734863
2022-05-05,2.9000000953674316
2022-05-06,2.799999952316284
2022-05-09,2.4800000190734863
2022-05-10,2.3399999141693115
2022-05-11,2.259999990463257
2022-05-12,2.3499999046325684
2022-05-13,2.6500000953674316
2022-05-16,2.5299999713897705
2022-05-17,2.640000104904175
2022-05-18,2.5199999809265137
2022-05-19,2.6500000953674316
2022-05-20,2.4700000286102295
2022-05-23,2.430000066757202
2022-05-24,2.259999990463257
2022-05-25,2.319999933242798
2022-05-26,2.569999933242798
2022-05-27,2.5999999046325684
2022-05-31,2.5
2022-06-01,2.180000066757202
2022-06-02,2.0
2022-06-03,1.8600000143051147
2022-06-06,1.6799999475479126
2022-06-07,1.6299999952316284
2022-06-08,1.75
2022-06-09,1.6399999856948853
2022-06-10,1.5800000429153442
2022-06-13,1.4199999570846558
2022-06-14,1.4500000476837158
2022-06-15,1.4600000381469727
2022-06-16,1.340000033378601
2022-06-17,1.4600000381469727
2022-06-21,1.4800000190734863
2022-06-22,1.4600000381469727
2022-06-23,1.5199999809265137
2022-06-24,1.4900000095367432
2022-06-27,1.5499999523162842
2022-06-28,1.4199999570846558
2022-06-29,1.3700000047683716
2022-06-30,1.2799999713897705
2022-07-01,1.350000023841858
2022-07-05,1.3799999952316284
2022-07-06,1.3300000429153442
2022-07-07,1.409999966621399
2022-07-08,1.3799999952316284
2022-07-11,1.2999999523162842
2022-07-12,1.350000023841858
2022-07-13,1.3600000143051147
2022-07-14,1.340000033378601
2022-07-15,1.3899999856948853
2022-07-18,1.4199999570846558
2022-07-19,1.4500000476837158
2022-07-20,1.4700000286102295
2022-07-21,1.4700000286102295
2022-07-22,1.3799999952316284
2022-07-25,1.3600000143051147
2022-07-26,1.2599999904632568
2022-07-27,1.3899999856948853
2022-07-28,1.4299999475479126
2022-07-29,1.4299999475479126
2022-08-01,1.4900000095367432
2022-08-02,1.559999942779541
2022-08-03,1.600000023841858
2022-08-04,1.5800000429153442
2022-08-05,1.7100000381469727
2022-08-08,1.75
2022-08-09,1.7699999809265137
2022-08-10,2.140000104904175
2022-08-11,2.180000066757202
2022-08-12,2.380000114440918
2022-08-15,2.5199999809265137
2022-08-16,2.700000047683716
2022-08-17,2.609999895095825
2022-08-18,2.4700000286102295
2022-08-19,2.309999942779541
2022-08-22,2.319999933242798
2022-08-23,2.3499999046325684
2022-08-24,2.5999999046325684
2022-08-25,2.490000009536743
2022-08-26,2.380000114440918
2022-08-29,2.430000066757202
2022-08-30,2.2699999809265137
2022-08-31,2.319999933242798
2022-09-01,2.069999933242798
2022-09-02,2.0299999713897705
2022-09-06,1.8899999856948853
2022-09-07,1.9800000190734863
2022-09-08,2.140000104904175
2022-09-09,2.140000104904175
2022-09-12,2.180000066757202
2022-09-13,2.049999952316284
2022-09-14,2.0799999237060547
2022-09-15,1.9900000095367432
2022-09-16,1.8300000429153442
2022-09-19,1.7699999809265137
2022-09-20,1.75
2022-09-21,1.7799999713897705
2022-09-22,1.8200000524520874
2022-09-23,1.8300000429153442
2022-09-26,1.8300000429153442
2022-09-27,1.9199999570846558
2022-09-28,1.940000057220459
2022-09-29,1.840000033378601
2022-09-30,1.8200000524520874
2022-10-03,1.840000033378601
2022-10-04,1.840000033378601
2022-10-05,1.8300000429153442
2022-10-06,1.8799999952316284
2022-10-07,1.809999942779541
2022-10-10,1.7200000286102295
2022-10-11,1.7300000190734863
2022-10-12,1.7599999904632568
2022-10-13,1.7300000190734863
2022-10-14,1.6799999475479126
2022-10-17,1.7400000095367432
2022-10-18,1.7300000190734863
2022-10-19,1.7300000190734863
2022-10-20,1.649999976158142
2022-10-21,1.649999976158142
2022-10-24,1.6100000143051147
2022-10-25,1.75
2022-10-26,1.809999942779541
2022-10-27,1.8200000524520874
2022-10-28,1.850000023841858
2022-10-31,1.8300000429153442
2022-11-01,1.8700000047683716
2022-11-02,1.7699999809265137
2022-11-03,1.7400000095367432
2022-11-04,1.75
2022-11-07,1.7100000381469727
2022-11-08,1.7799999713897705
2022-11-09,1.6399999856948853
2022-11-10,1.6799999475479126
2022-11-11,1.649999976158142
2022-11-14,1.7000000476837158
2022-11-15,1.8899999856948853
