Date,ALLK
2022-02-28,5.590000152587891
2022-03-01,5.440000057220459
2022-03-02,5.570000171661377
2022-03-03,5.349999904632568
2022-03-04,5.150000095367432
2022-03-07,5.119999885559082
2022-03-08,5.150000095367432
2022-03-09,5.579999923706055
2022-03-10,5.53000020980835
2022-03-11,5.559999942779541
2022-03-14,5.099999904632568
2022-03-15,5.079999923706055
2022-03-16,5.599999904632568
2022-03-17,6.099999904632568
2022-03-18,6.190000057220459
2022-03-21,5.869999885559082
2022-03-22,5.96999979019165
2022-03-23,5.820000171661377
2022-03-24,5.960000038146973
2022-03-25,5.71999979019165
2022-03-28,5.690000057220459
2022-03-29,5.880000114440918
2022-03-30,5.670000076293945
2022-03-31,5.699999809265137
2022-04-01,5.849999904632568
2022-04-04,6.110000133514404
2022-04-05,5.940000057220459
2022-04-06,6.139999866485596
2022-04-07,6.119999885559082
2022-04-08,5.699999809265137
2022-04-11,5.449999809265137
2022-04-12,5.460000038146973
2022-04-13,5.610000133514404
2022-04-14,5.380000114440918
2022-04-18,4.880000114440918
2022-04-19,4.800000190734863
2022-04-20,4.679999828338623
2022-04-21,4.380000114440918
2022-04-22,4.309999942779541
2022-04-25,4.300000190734863
2022-04-26,3.930000066757202
2022-04-27,3.9000000953674316
2022-04-28,3.859999895095825
2022-04-29,3.7699999809265137
2022-05-02,3.9100000858306885
2022-05-03,3.7899999618530273
2022-05-04,3.799999952316284
2022-05-05,3.5399999618530273
2022-05-06,3.4000000953674316
2022-05-09,3.2100000381469727
2022-05-10,3.2200000286102295
2022-05-11,2.8499999046325684
2022-05-12,3.109999895095825
2022-05-13,3.240000009536743
2022-05-16,3.190000057220459
2022-05-17,3.2799999713897705
2022-05-18,2.9600000381469727
2022-05-19,3.0199999809265137
2022-05-20,3.0
2022-05-23,2.9200000762939453
2022-05-24,2.6700000762939453
2022-05-25,2.619999885559082
2022-05-26,2.6600000858306885
2022-05-27,2.809999942779541
2022-05-31,3.0
2022-06-01,2.7799999713897705
2022-06-02,2.799999952316284
2022-06-03,2.9600000381469727
2022-06-06,2.930000066757202
2022-06-07,3.2699999809265137
2022-06-08,3.440000057220459
2022-06-09,3.3499999046325684
2022-06-10,3.059999942779541
2022-06-13,2.819999933242798
2022-06-14,2.809999942779541
2022-06-15,2.799999952316284
2022-06-16,2.5999999046325684
2022-06-17,2.9700000286102295
2022-06-21,3.0899999141693115
2022-06-22,3.2699999809265137
2022-06-23,3.490000009536743
2022-06-24,3.430000066757202
2022-06-27,3.3399999141693115
2022-06-28,3.2300000190734863
2022-06-29,3.319999933242798
2022-06-30,3.130000114440918
2022-07-01,3.0199999809265137
2022-07-05,3.2100000381469727
2022-07-06,3.359999895095825
2022-07-07,3.509999990463257
2022-07-08,3.5799999237060547
2022-07-11,3.609999895095825
2022-07-12,3.619999885559082
2022-07-13,3.809999942779541
2022-07-14,3.75
2022-07-15,3.609999895095825
2022-07-18,3.2699999809265137
2022-07-19,3.359999895095825
2022-07-20,4.090000152587891
2022-07-21,4.340000152587891
2022-07-22,3.859999895095825
2022-07-25,3.680000066757202
2022-07-26,3.5199999809265137
2022-07-27,3.5799999237060547
2022-07-28,3.359999895095825
2022-07-29,3.2300000190734863
2022-08-01,3.140000104904175
2022-08-02,3.2899999618530273
2022-08-03,3.559999942779541
2022-08-04,3.6500000953674316
2022-08-05,3.990000009536743
2022-08-08,3.9000000953674316
2022-08-09,3.6600000858306885
2022-08-10,3.8299999237060547
2022-08-11,3.5999999046325684
2022-08-12,3.809999942779541
2022-08-15,3.75
2022-08-16,3.609999895095825
2022-08-17,3.4600000381469727
2022-08-18,3.5399999618530273
2022-08-19,4.0
2022-08-22,4.090000152587891
2022-08-23,4.159999847412109
2022-08-24,4.25
2022-08-25,4.03000020980835
2022-08-26,3.809999942779541
2022-08-29,3.9700000286102295
2022-08-30,4.039999961853027
2022-08-31,4.849999904632568
2022-09-01,4.71999979019165
2022-09-02,4.630000114440918
2022-09-06,4.28000020980835
2022-09-07,4.670000076293945
2022-09-08,4.639999866485596
2022-09-09,4.909999847412109
2022-09-12,5.059999942779541
2022-09-13,4.989999771118164
2022-09-14,5.21999979019165
2022-09-15,5.230000019073486
2022-09-16,4.579999923706055
2022-09-19,5.840000152587891
2022-09-20,5.550000190734863
2022-09-21,5.539999961853027
2022-09-22,5.300000190734863
2022-09-23,5.25
2022-09-26,5.599999904632568
2022-09-27,5.159999847412109
2022-09-28,5.769999980926514
2022-09-29,5.599999904632568
2022-09-30,6.119999885559082
2022-10-03,6.25
2022-10-04,6.739999771118164
2022-10-05,6.71999979019165
2022-10-06,6.96999979019165
2022-10-07,6.46999979019165
2022-10-10,6.420000076293945
2022-10-11,6.349999904632568
2022-10-12,6.360000133514404
2022-10-13,6.570000171661377
2022-10-14,5.929999828338623
2022-10-17,5.929999828338623
2022-10-18,6.050000190734863
2022-10-19,5.829999923706055
2022-10-20,5.96999979019165
2022-10-21,6.070000171661377
2022-10-24,5.949999809265137
2022-10-25,5.949999809265137
2022-10-26,5.840000152587891
2022-10-27,5.769999980926514
2022-10-28,5.960000038146973
2022-10-31,5.829999923706055
2022-11-01,5.920000076293945
2022-11-02,5.710000038146973
2022-11-03,5.659999847412109
2022-11-04,5.989999771118164
2022-11-07,6.119999885559082
2022-11-08,7.070000171661377
2022-11-09,6.659999847412109
2022-11-10,7.050000190734863
2022-11-11,7.349999904632568
2022-11-14,7.309999942779541
2022-11-15,7.380000114440918
2022-11-16,7.519999980926514
2022-11-17,7.570000171661377
2022-11-18,7.420000076293945
