Date,AZI
2024-08-28,2.619999885559082
2024-08-29,2.9000000953674316
2024-08-30,3.0
2024-09-03,3.069999933242798
2024-09-04,2.759999990463257
2024-09-05,1.809999942779541
2024-09-06,1.2999999523162842
2024-09-09,1.190000057220459
2024-09-10,1.399999976158142
2024-09-11,1.4600000381469727
2024-09-12,1.5299999713897705
2024-09-13,1.2799999713897705
2024-09-16,1.190000057220459
2024-09-17,1.100000023841858
2024-09-18,1.100000023841858
2024-09-19,1.059999942779541
2024-09-20,1.0
2024-09-23,0.9010000228881836
2024-09-24,0.8289999961853027
2024-09-25,0.9200000166893005
2024-09-26,0.9890000224113464
2024-09-27,1.0800000429153442
2024-09-30,1.2300000190734863
2024-10-01,1.149999976158142
2024-10-02,1.0399999618530273
2024-10-03,0.9700000286102295
2024-10-04,0.9900000095367432
2024-10-07,0.9800000190734863
2024-10-08,0.8999999761581421
2024-10-09,0.9549999833106995
2024-10-10,0.9549999833106995
2024-10-11,0.9369999766349792
2024-10-14,0.9649999737739563
2024-10-15,0.9399999976158142
2024-10-16,0.9599999785423279
2024-10-17,0.9319999814033508
2024-10-18,0.9120000004768372
2024-10-21,0.8899999856948853
2024-10-22,0.8949999809265137
2024-10-23,0.8500000238418579
2024-10-24,0.8399999737739563
2024-10-25,0.7799999713897705
2024-10-28,0.7710000276565552
2024-10-29,0.7699999809265137
2024-10-30,0.8379999995231628
2024-10-31,0.9200000166893005
2024-11-01,1.0700000524520874
2024-11-04,1.409999966621399
2024-11-05,1.2999999523162842
2024-11-06,1.3600000143051147
2024-11-07,1.6299999952316284
2024-11-08,2.5299999713897705
2024-11-11,2.9200000762939453
2024-11-12,2.4000000953674316
2024-11-13,1.8200000524520874
2024-11-14,1.8600000143051147
2024-11-15,1.7200000286102295
2024-11-18,2.2200000286102295
2024-11-19,2.380000114440918
2024-11-20,2.0
2024-11-21,1.8600000143051147
