Date,NKLA
2022-02-28,237.0
2022-03-01,229.8000030517578
2022-03-02,226.5
2022-03-03,216.60000610351562
2022-03-04,199.1999969482422
2022-03-07,199.1999969482422
2022-03-08,226.5
2022-03-09,236.10000610351562
2022-03-10,238.8000030517578
2022-03-11,225.60000610351562
2022-03-14,206.10000610351562
2022-03-15,219.3000030517578
2022-03-16,244.1999969482422
2022-03-17,258.6000061035156
2022-03-18,266.1000061035156
2022-03-21,265.5
2022-03-22,276.0
2022-03-23,274.20001220703125
2022-03-24,289.79998779296875
2022-03-25,303.29998779296875
2022-03-28,312.0
2022-03-29,339.8999938964844
2022-03-30,333.6000061035156
2022-03-31,321.29998779296875
2022-04-01,300.8999938964844
2022-04-04,315.8999938964844
2022-04-05,300.0
2022-04-06,278.3999938964844
2022-04-07,266.3999938964844
2022-04-08,252.89999389648438
2022-04-11,250.5
2022-04-12,243.89999389648438
2022-04-13,247.5
2022-04-14,240.60000610351562
2022-04-18,234.89999389648438
2022-04-19,240.0
2022-04-20,235.1999969482422
2022-04-21,225.0
2022-04-22,230.39999389648438
2022-04-25,239.10000610351562
2022-04-26,229.8000030517578
2022-04-27,223.8000030517578
2022-04-28,221.6999969482422
2022-04-29,215.39999389648438
2022-05-02,210.0
2022-05-03,208.8000030517578
2022-05-04,216.0
2022-05-05,229.8000030517578
2022-05-06,202.5
2022-05-09,175.5
2022-05-10,167.10000610351562
2022-05-11,152.6999969482422
2022-05-12,166.5
2022-05-13,192.3000030517578
2022-05-16,173.10000610351562
2022-05-17,179.6999969482422
2022-05-18,177.60000610351562
2022-05-19,183.3000030517578
2022-05-20,177.60000610351562
2022-05-23,187.5
2022-05-24,176.39999389648438
2022-05-25,187.1999969482422
2022-05-26,203.39999389648438
2022-05-27,215.6999969482422
2022-05-31,211.8000030517578
2022-06-01,203.10000610351562
2022-06-02,217.5
2022-06-03,199.8000030517578
2022-06-06,194.6999969482422
2022-06-07,193.8000030517578
2022-06-08,210.60000610351562
2022-06-09,198.89999389648438
2022-06-10,181.1999969482422
2022-06-13,156.89999389648438
