Date,LPSN
2022-02-28,20.280000686645508
2022-03-01,23.520000457763672
2022-03-02,23.479999542236328
2022-03-03,23.010000228881836
2022-03-04,22.0
2022-03-07,21.610000610351562
2022-03-08,23.1299991607666
2022-03-09,24.8799991607666
2022-03-10,24.15999984741211
2022-03-11,22.81999969482422
2022-03-14,21.239999771118164
2022-03-15,20.709999084472656
2022-03-16,23.979999542236328
2022-03-17,24.56999969482422
2022-03-18,25.1200008392334
2022-03-21,24.469999313354492
2022-03-22,25.31999969482422
2022-03-23,24.860000610351562
2022-03-24,24.989999771118164
2022-03-25,23.899999618530273
2022-03-28,24.190000534057617
2022-03-29,25.889999389648438
2022-03-30,24.790000915527344
2022-03-31,24.420000076293945
2022-04-01,24.8700008392334
2022-04-04,26.1200008392334
2022-04-05,25.799999237060547
2022-04-06,24.770000457763672
2022-04-07,25.0
2022-04-08,25.520000457763672
2022-04-11,25.399999618530273
2022-04-12,26.110000610351562
2022-04-13,26.18000030517578
2022-04-14,25.219999313354492
2022-04-18,24.34000015258789
2022-04-19,25.290000915527344
2022-04-20,24.350000381469727
2022-04-21,23.809999465942383
2022-04-22,23.510000228881836
2022-04-25,23.84000015258789
2022-04-26,21.799999237060547
2022-04-27,21.1200008392334
2022-04-28,22.399999618530273
2022-04-29,22.6200008392334
2022-05-02,23.329999923706055
2022-05-03,21.84000015258789
2022-05-04,22.149999618530273
2022-05-05,20.15999984741211
2022-05-06,18.84000015258789
2022-05-09,16.299999237060547
2022-05-10,17.81999969482422
2022-05-11,16.489999771118164
2022-05-12,16.15999984741211
2022-05-13,17.649999618530273
2022-05-16,16.649999618530273
2022-05-17,16.8799991607666
2022-05-18,15.859999656677246
2022-05-19,16.280000686645508
2022-05-20,16.690000534057617
2022-05-23,16.010000228881836
2022-05-24,14.319999694824219
2022-05-25,14.710000038146973
2022-05-26,15.710000038146973
2022-05-27,17.049999237060547
2022-05-31,16.780000686645508
2022-06-01,16.600000381469727
2022-06-02,17.350000381469727
2022-06-03,16.5
2022-06-06,16.139999389648438
2022-06-07,16.360000610351562
2022-06-08,16.190000534057617
2022-06-09,14.850000381469727
2022-06-10,13.760000228881836
2022-06-13,12.670000076293945
2022-06-14,12.199999809265137
2022-06-15,12.569999694824219
2022-06-16,12.020000457763672
2022-06-17,13.15999984741211
2022-06-21,13.210000038146973
2022-06-22,13.670000076293945
2022-06-23,14.859999656677246
2022-06-24,15.569999694824219
