Date,FOXO
2022-09-16,40.20000076293945
2022-09-19,25.0
2022-09-20,21.100000381469727
2022-09-21,22.399999618530273
2022-09-22,20.5
2022-09-23,17.299999237060547
2022-09-26,14.899999618530273
2022-09-27,14.800000190734863
2022-09-28,16.200000762939453
2022-09-29,14.399999618530273
2022-09-30,12.800000190734863
2022-10-03,12.699999809265137
2022-10-04,11.399999618530273
2022-10-05,16.100000381469727
2022-10-06,13.199999809265137
2022-10-07,12.5
2022-10-10,11.399999618530273
2022-10-11,8.979999542236328
2022-10-12,14.300000190734863
2022-10-13,14.5
2022-10-14,12.0
2022-10-17,10.199999809265137
2022-10-18,9.640000343322754
2022-10-19,9.449999809265137
2022-10-20,8.699999809265137
2022-10-21,8.350000381469727
2022-10-24,7.96999979019165
2022-10-25,8.100000381469727
2022-10-26,7.949999809265137
2022-10-27,7.699999809265137
2022-10-28,7.5
2022-10-31,7.699999809265137
2022-11-01,7.409999847412109
2022-11-02,6.400000095367432
2022-11-03,6.0
2022-11-04,5.599999904632568
2022-11-07,5.320000171661377
2022-11-08,5.210000038146973
2022-11-09,5.099999904632568
2022-11-10,5.420000076293945
2022-11-11,5.300000190734863
2022-11-14,5.650000095367432
2022-11-15,4.929999828338623
2022-11-16,4.539999961853027
2022-11-17,4.440000057220459
2022-11-18,6.519999980926514
2022-11-21,4.880000114440918
2022-11-22,7.199999809265137
2022-11-23,6.239999771118164
2022-11-25,6.150000095367432
2022-11-28,5.550000190734863
2022-11-29,5.130000114440918
2022-11-30,5.0
2022-12-01,4.960000038146973
2022-12-02,4.699999809265137
2022-12-05,5.599999904632568
2022-12-06,5.440000057220459
2022-12-07,4.900000095367432
2022-12-08,4.840000152587891
2022-12-09,4.889999866485596
2022-12-12,4.960000038146973
2022-12-13,4.989999771118164
2022-12-14,4.980000019073486
2022-12-15,4.409999847412109
2022-12-16,4.070000171661377
2022-12-19,3.5299999713897705
2022-12-20,3.0
2022-12-21,2.809999942779541
2022-12-22,2.8499999046325684
2022-12-23,2.5999999046325684
2022-12-27,2.559999942779541
2022-12-28,2.799999952316284
