Date,DUO
2022-02-28,90.0
2022-03-01,86.17500305175781
2022-03-02,82.80000305175781
2022-03-03,81.2249984741211
2022-03-04,75.375
2022-03-07,75.375
2022-03-08,74.25
2022-03-09,76.5
2022-03-10,75.375
2022-03-11,70.875
2022-03-14,60.75
2022-03-15,60.07500076293945
2022-03-16,92.25
2022-03-17,86.625
2022-03-18,81.0
2022-03-21,85.5
2022-03-22,96.75
2022-03-23,92.25
2022-03-24,89.55000305175781
2022-03-25,79.875
2022-03-28,80.32499694824219
2022-03-29,82.3499984741211
2022-03-30,84.1500015258789
2022-03-31,82.80000305175781
2022-04-01,83.69999694824219
2022-04-04,86.4000015258789
2022-04-05,73.125
2022-04-06,74.25
2022-04-07,73.125
2022-04-08,71.32499694824219
2022-04-11,63.45000076293945
2022-04-12,64.57499694824219
2022-04-13,69.9749984741211
2022-04-14,70.6500015258789
2022-04-18,69.30000305175781
2022-04-19,71.7750015258789
2022-04-20,69.75
2022-04-21,65.0250015258789
2022-04-22,65.69999694824219
2022-04-25,62.54999923706055
2022-04-26,54.0
2022-04-27,55.125
2022-04-28,55.79999923706055
2022-04-29,63.0
2022-05-02,63.45000076293945
2022-05-03,64.125
2022-05-04,60.29999923706055
2022-05-05,61.650001525878906
2022-05-06,58.5
2022-05-09,50.17499923706055
2022-05-10,49.04999923706055
2022-05-11,45.0
2022-05-12,48.375
2022-05-13,52.650001525878906
2022-05-16,52.875
2022-05-17,53.54999923706055
2022-05-18,50.17499923706055
2022-05-19,52.42499923706055
2022-05-20,49.275001525878906
2022-05-23,49.5
2022-05-24,46.125
2022-05-25,45.0
2022-05-26,46.349998474121094
2022-05-27,42.29999923706055
2022-05-31,44.099998474121094
2022-06-01,43.20000076293945
2022-06-02,45.0
2022-06-03,42.75
2022-06-06,40.5
2022-06-07,38.54999923706055
2022-06-08,46.04999923706055
2022-06-09,47.26499938964844
2022-06-10,46.5
2022-06-13,32.849998474121094
2022-06-14,32.54999923706055
2022-06-15,30.75
2022-06-16,29.850000381469727
2022-06-17,31.799999237060547
2022-06-21,37.04999923706055
2022-06-22,34.5
2022-06-23,34.650001525878906
2022-06-24,33.29999923706055
2022-06-27,32.099998474121094
2022-06-28,30.450000762939453
2022-06-29,29.700000762939453
2022-06-30,29.34000015258789
2022-07-01,29.399999618530273
2022-07-05,30.75
2022-07-06,30.0
2022-07-07,30.75
2022-07-08,31.200000762939453
2022-07-11,32.849998474121094
2022-07-12,31.5
2022-07-13,27.600000381469727
2022-07-14,31.049999237060547
2022-07-15,29.850000381469727
2022-07-18,28.200000762939453
2022-07-19,28.649999618530273
2022-07-20,30.600000381469727
2022-07-21,33.29999923706055
2022-07-22,32.25
2022-07-25,31.049999237060547
2022-07-26,31.3799991607666
2022-07-27,29.700000762939453
2022-07-28,29.399999618530273
2022-07-29,29.700000762939453
2022-08-01,31.5
2022-08-02,51.0
2022-08-03,43.79999923706055
2022-08-04,37.95000076293945
2022-08-05,37.349998474121094
2022-08-08,41.54999923706055
2022-08-09,37.79999923706055
2022-08-10,38.099998474121094
2022-08-11,39.599998474121094
2022-08-12,38.849998474121094
2022-08-15,37.04999923706055
2022-08-16,37.20000076293945
2022-08-17,34.79999923706055
2022-08-18,33.75
2022-08-19,31.649999618530273
2022-08-22,29.549999237060547
2022-08-23,30.299999237060547
2022-08-24,30.299999237060547
2022-08-25,30.299999237060547
2022-08-26,30.600000381469727
2022-08-29,30.899999618530273
2022-08-30,30.600000381469727
2022-08-31,27.75
2022-09-01,28.200000762939453
2022-09-02,26.700000762939453
2022-09-06,24.75
2022-09-07,21.450000762939453
2022-09-08,21.299999237060547
2022-09-09,20.549999237060547
2022-09-12,21.299999237060547
2022-09-13,20.25
2022-09-14,19.950000762939453
2022-09-15,19.350000381469727
2022-09-16,16.200000762939453
2022-09-19,16.049999237060547
2022-09-20,17.100000381469727
2022-09-21,16.049999237060547
2022-09-22,16.049999237060547
2022-09-23,15.539999961853027
2022-09-26,15.449999809265137
2022-09-27,15.300000190734863
2022-09-28,14.399999618530273
2022-09-29,14.234999656677246
2022-09-30,13.649999618530273
2022-10-03,14.53499984741211
2022-10-04,14.295000076293945
2022-10-05,14.954999923706055
2022-10-06,14.414999961853027
2022-10-07,14.399999618530273
2022-10-10,13.904999732971191
2022-10-11,12.899999618530273
2022-10-12,13.380000114440918
2022-10-13,12.0
2022-10-14,10.529999732971191
2022-10-17,10.40999984741211
2022-10-18,10.8149995803833
2022-10-19,10.770000457763672
2022-10-20,10.904999732971191
2022-10-21,10.244999885559082
2022-10-24,9.960000038146973
2022-10-25,18.899999618530273
2022-10-26,20.100000381469727
2022-10-27,21.299999237060547
2022-10-28,29.100000381469727
2022-10-31,25.200000762939453
2022-11-01,22.799999237060547
2022-11-02,18.75
2022-11-03,16.200000762939453
2022-11-04,19.950000762939453
2022-11-07,20.25
2022-11-08,23.399999618530273
2022-11-09,24.899999618530273
2022-11-10,21.600000381469727
2022-11-11,18.75
2022-11-14,18.149999618530273
2022-11-15,18.0
2022-11-16,17.399999618530273
2022-11-17,17.700000762939453
2022-11-18,18.450000762939453
2022-11-21,16.950000762939453
2022-11-22,16.350000381469727
2022-11-23,16.200000762939453
2022-11-25,16.5
2022-11-28,16.950000762939453
2022-11-29,18.299999237060547
2022-11-30,17.700000762939453
2022-12-01,18.75
2022-12-02,18.450000762939453
2022-12-05,20.399999618530273
2022-12-06,18.899999618530273
2022-12-07,18.149999618530273
2022-12-08,17.700000762939453
2022-12-09,18.299999237060547
2022-12-12,12.899999618530273
