Date,LUCD
2022-02-28,3.740000009536743
2022-03-01,3.75
2022-03-02,3.8299999237060547
2022-03-03,3.690000057220459
2022-03-04,3.630000114440918
2022-03-07,3.6500000953674316
2022-03-08,3.640000104904175
2022-03-09,3.6500000953674316
2022-03-10,3.6500000953674316
2022-03-11,3.2899999618530273
2022-03-14,3.1050000190734863
2022-03-15,3.059999942779541
2022-03-16,3.200000047683716
2022-03-17,3.440000057220459
2022-03-18,3.2200000286102295
2022-03-21,2.9149999618530273
2022-03-22,3.0299999713897705
2022-03-23,3.0299999713897705
2022-03-24,3.2100000381469727
2022-03-25,3.009999990463257
2022-03-28,3.049999952316284
2022-03-29,3.25
2022-03-30,3.2899999618530273
2022-03-31,3.359999895095825
2022-04-01,3.440000057220459
2022-04-04,3.440000057220459
2022-04-05,3.2699999809265137
2022-04-06,3.140000104904175
2022-04-07,2.990000009536743
2022-04-08,2.9000000953674316
2022-04-11,2.799999952316284
2022-04-12,2.5399999618530273
2022-04-13,2.4700000286102295
2022-04-14,2.4600000381469727
2022-04-18,2.25
2022-04-19,2.2799999713897705
2022-04-20,2.190000057220459
2022-04-21,2.0999999046325684
2022-04-22,2.140000104904175
2022-04-25,2.240000009536743
2022-04-26,2.2300000190734863
2022-04-27,2.200000047683716
2022-04-28,2.109999895095825
2022-04-29,2.109999895095825
2022-05-02,2.25
2022-05-03,2.2100000381469727
2022-05-04,2.2799999713897705
2022-05-05,2.1600000858306885
2022-05-06,2.0899999141693115
2022-05-09,1.9500000476837158
2022-05-10,2.009999990463257
2022-05-11,1.8600000143051147
2022-05-12,1.9700000286102295
2022-05-13,2.059999942779541
2022-05-16,2.069999933242798
2022-05-17,2.2100000381469727
2022-05-18,2.180000066757202
2022-05-19,2.2200000286102295
2022-05-20,2.2300000190734863
2022-05-23,2.240000009536743
2022-05-24,2.1500000953674316
2022-05-25,2.1500000953674316
2022-05-26,2.069999933242798
2022-05-27,2.1500000953674316
2022-05-31,2.0999999046325684
2022-06-01,2.059999942779541
2022-06-02,2.130000114440918
2022-06-03,2.0
2022-06-06,1.9299999475479126
2022-06-07,1.9800000190734863
2022-06-08,2.059999942779541
2022-06-09,2.0399999618530273
2022-06-10,2.0
2022-06-13,1.909999966621399
2022-06-14,1.8300000429153442
2022-06-15,1.7999999523162842
2022-06-16,1.7300000190734863
2022-06-17,1.7400000095367432
2022-06-21,1.809999942779541
2022-06-22,1.7899999618530273
2022-06-23,1.8899999856948853
2022-06-24,2.200000047683716
2022-06-27,2.259999990463257
2022-06-28,2.2200000286102295
2022-06-29,2.190000057220459
2022-06-30,2.259999990463257
2022-07-01,2.3299999237060547
2022-07-05,2.430000066757202
2022-07-06,2.5299999713897705
2022-07-07,2.619999885559082
2022-07-08,2.7100000381469727
2022-07-11,2.5999999046325684
2022-07-12,2.559999942779541
2022-07-13,2.6600000858306885
2022-07-14,2.6500000953674316
2022-07-15,2.630000114440918
2022-07-18,2.6500000953674316
2022-07-19,2.640000104904175
2022-07-20,2.7100000381469727
2022-07-21,2.7100000381469727
2022-07-22,2.759999990463257
2022-07-25,2.809999942779541
2022-07-26,2.809999942779541
2022-07-27,2.940000057220459
2022-07-28,2.940000057220459
2022-07-29,2.930000066757202
2022-08-01,2.950000047683716
2022-08-02,2.9800000190734863
2022-08-03,3.0
2022-08-04,3.1700000762939453
2022-08-05,3.359999895095825
2022-08-08,3.450000047683716
2022-08-09,3.309999942779541
2022-08-10,3.319999933242798
2022-08-11,3.3499999046325684
2022-08-12,3.390000104904175
2022-08-15,3.3499999046325684
2022-08-16,3.2799999713897705
2022-08-17,3.0399999618530273
2022-08-18,2.880000114440918
2022-08-19,2.5999999046325684
2022-08-22,2.369999885559082
2022-08-23,2.319999933242798
2022-08-24,2.319999933242798
2022-08-25,2.3299999237060547
2022-08-26,2.259999990463257
2022-08-29,2.2699999809265137
2022-08-30,2.25
2022-08-31,2.1700000762939453
2022-09-01,2.049999952316284
2022-09-02,2.0199999809265137
2022-09-06,2.119999885559082
2022-09-07,2.2100000381469727
2022-09-08,2.140000104904175
2022-09-09,2.2699999809265137
2022-09-12,2.3399999141693115
2022-09-13,2.2200000286102295
2022-09-14,2.069999933242798
2022-09-15,2.049999952316284
2022-09-16,1.850000023841858
2022-09-19,1.7599999904632568
2022-09-20,1.7300000190734863
2022-09-21,1.7100000381469727
2022-09-22,1.6799999475479126
2022-09-23,1.6799999475479126
2022-09-26,1.590000033378601
2022-09-27,1.6299999952316284
2022-09-28,1.6799999475479126
2022-09-29,1.600000023841858
2022-09-30,1.5299999713897705
2022-10-03,1.659999966621399
2022-10-04,1.7300000190734863
2022-10-05,1.7100000381469727
2022-10-06,1.7100000381469727
2022-10-07,1.7100000381469727
2022-10-10,1.7100000381469727
2022-10-11,1.7400000095367432
2022-10-12,1.7300000190734863
2022-10-13,1.7200000286102295
2022-10-14,1.7100000381469727
2022-10-17,1.7999999523162842
2022-10-18,1.850000023841858
2022-10-19,1.7999999523162842
2022-10-20,1.8200000524520874
2022-10-21,1.8200000524520874
2022-10-24,1.7799999713897705
2022-10-25,1.8600000143051147
2022-10-26,1.8700000047683716
2022-10-27,1.8049999475479126
2022-10-28,1.8700000047683716
2022-10-31,1.9199999570846558
2022-11-01,1.8799999952316284
2022-11-02,1.8600000143051147
2022-11-03,1.840000033378601
2022-11-04,1.8600000143051147
2022-11-07,1.850000023841858
2022-11-08,1.850000023841858
2022-11-09,2.130000114440918
2022-11-10,2.119999885559082
2022-11-11,2.2300000190734863
2022-11-14,2.2699999809265137
