Date,MTC
2022-02-28,4.78000020980835
2022-03-01,5.739999771118164
2022-03-02,6.199999809265137
2022-03-03,6.0
2022-03-04,5.960000038146973
2022-03-07,5.5
2022-03-08,5.429999828338623
2022-03-09,5.5
2022-03-10,5.269999980926514
2022-03-11,5.050000190734863
2022-03-14,4.800000190734863
2022-03-15,4.980000019073486
2022-03-16,5.699999809265137
2022-03-17,5.690000057220459
2022-03-18,6.5
2022-03-21,6.0
2022-03-22,6.03000020980835
2022-03-23,6.949999809265137
2022-03-24,6.860000133514404
2022-03-25,6.349999904632568
2022-03-28,6.199999809265137
2022-03-29,6.21999979019165
2022-03-30,6.199999809265137
2022-03-31,6.150000095367432
2022-04-01,6.300000190734863
2022-04-04,6.5
2022-04-05,6.260000228881836
2022-04-06,6.019999980926514
2022-04-07,6.019999980926514
2022-04-08,6.059999942779541
2022-04-11,6.019999980926514
2022-04-12,5.849999904632568
2022-04-13,6.0
2022-04-14,5.800000190734863
2022-04-18,5.300000190734863
2022-04-19,5.800000190734863
2022-04-20,6.130000114440918
2022-04-21,6.900000095367432
2022-04-22,6.760000228881836
2022-04-25,6.360000133514404
2022-04-26,5.599999904632568
2022-04-27,5.599999904632568
2022-04-28,5.559999942779541
2022-04-29,5.090000152587891
2022-05-02,4.789999961853027
2022-05-03,4.199999809265137
2022-05-04,4.199999809265137
2022-05-05,3.619999885559082
2022-05-06,3.559999942779541
2022-05-09,3.4700000286102295
2022-05-10,3.069999933242798
2022-05-11,2.799999952316284
2022-05-12,2.5999999046325684
2022-05-13,2.799999952316284
2022-05-16,3.1700000762939453
2022-05-17,4.300000190734863
2022-05-18,3.700000047683716
2022-05-19,3.9200000762939453
2022-05-20,4.0
2022-05-23,3.799999952316284
2022-05-24,3.8399999141693115
2022-05-25,3.700000047683716
2022-05-26,3.700000047683716
2022-05-27,3.7200000286102295
2022-05-31,3.859999895095825
2022-06-01,3.680000066757202
2022-06-02,3.680000066757202
2022-06-03,3.869999885559082
2022-06-06,4.489999771118164
2022-06-07,4.75
2022-06-08,4.730000019073486
2022-06-09,5.199999809265137
2022-06-10,5.0
2022-06-13,4.800000190734863
