Date,PHUN
2022-09-16,91.5
2022-09-19,90.0
2022-09-20,81.0
2022-09-21,64.5
2022-09-22,57.5
2022-09-23,59.5
2022-09-26,53.5
2022-09-27,59.5
2022-09-28,61.5
2022-09-29,59.0
2022-09-30,59.0
2022-10-03,58.5
2022-10-04,60.5
2022-10-05,61.0
2022-10-06,61.0
2022-10-07,57.5
2022-10-10,57.0
2022-10-11,57.0
2022-10-12,58.0
2022-10-13,58.5
2022-10-14,54.0
2022-10-17,55.0
2022-10-18,55.5
2022-10-19,53.5
2022-10-20,53.0
2022-10-21,54.5
2022-10-24,54.0
2022-10-25,53.0
2022-10-26,53.5
2022-10-27,56.0
2022-10-28,58.0
2022-10-31,58.5
2022-11-01,59.0
2022-11-02,57.5
2022-11-03,60.0
2022-11-04,60.0
2022-11-07,83.0
2022-11-08,76.0
2022-11-09,61.0
2022-11-10,64.0
2022-11-11,70.0
2022-11-14,74.0
2022-11-15,70.5
2022-11-16,63.5
2022-11-17,60.0
2022-11-18,57.0
2022-11-21,55.0
2022-11-22,54.5
2022-11-23,55.0
2022-11-25,55.5
2022-11-28,54.5
2022-11-29,52.5
2022-11-30,53.5
2022-12-01,55.5
2022-12-02,54.0
2022-12-05,53.0
2022-12-06,51.0
2022-12-07,48.849998474121094
2022-12-08,47.70000076293945
2022-12-09,45.5
2022-12-12,45.20000076293945
2022-12-13,46.150001525878906
2022-12-14,47.400001525878906
2022-12-15,47.0
2022-12-16,45.900001525878906
2022-12-19,41.5
2022-12-20,40.5
2022-12-21,39.599998474121094
2022-12-22,38.75
2022-12-23,39.04999923706055
2022-12-27,39.099998474121094
2022-12-28,38.099998474121094
2022-12-29,39.25
2022-12-30,38.650001525878906
2023-01-03,40.5
2023-01-04,43.45000076293945
2023-01-05,46.45000076293945
2023-01-06,46.5
2023-01-09,46.599998474121094
2023-01-10,48.79999923706055
2023-01-11,50.0
2023-01-12,51.5
2023-01-13,53.0
2023-01-17,51.0
2023-01-18,49.650001525878906
2023-01-19,49.099998474121094
2023-01-20,52.0
2023-01-23,52.0
2023-01-24,50.5
2023-01-25,52.0
2023-01-26,52.0
2023-01-27,53.0
2023-01-30,53.0
2023-01-31,54.0
2023-02-01,52.5
2023-02-02,55.5
2023-02-03,53.5
2023-02-06,54.5
2023-02-07,56.0
2023-02-08,53.5
2023-02-09,50.5
2023-02-10,50.0
2023-02-13,50.5
2023-02-14,52.0
2023-02-15,52.5
2023-02-16,52.0
2023-02-17,50.0
2023-02-21,47.5
2023-02-22,48.25
2023-02-23,47.54999923706055
2023-02-24,45.349998474121094
2023-02-27,48.29999923706055
2023-02-28,50.5
2023-03-01,48.79999923706055
2023-03-02,46.70000076293945
2023-03-03,47.20000076293945
2023-03-06,46.5
2023-03-07,44.54999923706055
2023-03-08,43.25
2023-03-09,41.099998474121094
2023-03-10,38.0
2023-03-13,39.099998474121094
2023-03-14,38.5
2023-03-15,37.599998474121094
2023-03-16,38.95000076293945
2023-03-17,38.650001525878906
2023-03-20,37.04999923706055
2023-03-21,38.25
2023-03-22,37.0
2023-03-23,37.0
2023-03-24,35.5
2023-03-27,35.0
2023-03-28,35.0
2023-03-29,33.349998474121094
2023-03-30,32.20000076293945
2023-03-31,35.5
2023-04-03,38.150001525878906
2023-04-04,36.900001525878906
2023-04-05,33.95000076293945
2023-04-06,35.849998474121094
2023-04-10,35.349998474121094
2023-04-11,36.5
2023-04-12,36.5
2023-04-13,37.75
2023-04-14,35.04999923706055
2023-04-17,34.04999923706055
2023-04-18,34.25
2023-04-19,33.29999923706055
2023-04-20,31.100000381469727
2023-04-21,30.299999237060547
2023-04-24,30.5
2023-04-25,30.049999237060547
2023-04-26,28.049999237060547
2023-04-27,29.350000381469727
2023-04-28,29.899999618530273
2023-05-01,29.799999237060547
2023-05-02,28.5
2023-05-03,29.200000762939453
2023-05-04,29.899999618530273
2023-05-05,30.5
2023-05-08,30.5
2023-05-09,30.049999237060547
2023-05-10,31.549999237060547
2023-05-11,32.150001525878906
2023-05-12,29.700000762939453
2023-05-15,30.899999618530273
2023-05-16,29.100000381469727
2023-05-17,29.899999618530273
2023-05-18,33.099998474121094
2023-05-19,30.5
2023-05-22,32.150001525878906
2023-05-23,31.5
2023-05-24,32.099998474121094
2023-05-25,30.049999237060547
2023-05-26,30.850000381469727
2023-05-30,29.75
2023-05-31,29.600000381469727
2023-06-01,30.0
2023-06-02,29.5
2023-06-05,29.950000762939453
2023-06-06,30.600000381469727
2023-06-07,30.350000381469727
2023-06-08,29.049999237060547
2023-06-09,27.799999237060547
2023-06-12,28.5
2023-06-13,28.0
2023-06-14,27.950000762939453
2023-06-15,28.5
2023-06-16,28.5
2023-06-20,27.5
2023-06-21,26.549999237060547
2023-06-22,26.75
2023-06-23,25.549999237060547
2023-06-26,26.049999237060547
2023-06-27,25.649999618530273
2023-06-28,26.0
2023-06-29,27.200000762939453
2023-06-30,27.0
2023-07-03,26.0
2023-07-05,26.200000762939453
2023-07-06,25.0
2023-07-07,22.649999618530273
2023-07-10,21.450000762939453
2023-07-11,19.950000762939453
2023-07-12,19.5
2023-07-13,19.950000762939453
2023-07-14,20.799999237060547
2023-07-17,20.399999618530273
2023-07-18,20.5
2023-07-19,19.600000381469727
2023-07-20,19.399999618530273
2023-07-21,19.0
2023-07-24,17.200000762939453
2023-07-25,18.450000762939453
2023-07-26,20.649999618530273
2023-07-27,18.200000762939453
2023-07-28,18.950000762939453
2023-07-31,20.450000762939453
2023-08-01,20.5
2023-08-02,20.600000381469727
2023-08-03,20.549999237060547
2023-08-04,20.899999618530273
2023-08-07,19.649999618530273
2023-08-08,18.75
2023-08-09,18.5
2023-08-10,18.149999618530273
2023-08-11,17.649999618530273
2023-08-14,17.700000762939453
2023-08-15,17.049999237060547
2023-08-16,16.25
2023-08-17,16.299999237060547
2023-08-18,16.5
2023-08-21,16.600000381469727
2023-08-22,16.25
2023-08-23,16.0
2023-08-24,14.350000381469727
2023-08-25,14.350000381469727
2023-08-28,13.25
2023-08-29,13.5
2023-08-30,15.25
2023-08-31,14.0
2023-09-01,14.0
2023-09-05,13.699999809265137
2023-09-06,13.449999809265137
2023-09-07,12.75
2023-09-08,12.050000190734863
2023-09-11,12.949999809265137
2023-09-12,12.5
2023-09-13,12.550000190734863
2023-09-14,13.199999809265137
2023-09-15,12.800000190734863
2023-09-18,12.350000381469727
2023-09-19,12.050000190734863
2023-09-20,11.800000190734863
2023-09-21,10.5
2023-09-22,10.050000190734863
2023-09-25,10.399999618530273
2023-09-26,10.25
2023-09-27,9.5
2023-09-28,8.800000190734863
2023-09-29,8.949999809265137
2023-10-02,9.5
2023-10-03,9.149999618530273
2023-10-04,9.050000190734863
2023-10-05,8.550000190734863
2023-10-06,8.5
2023-10-09,8.350000381469727
2023-10-10,8.899999618530273
2023-10-11,9.0
2023-10-12,8.800000190734863
2023-10-13,8.550000190734863
2023-10-16,9.100000381469727
2023-10-17,9.300000190734863
2023-10-18,9.050000190734863
2023-10-19,9.0
2023-10-20,9.25
2023-10-23,9.649999618530273
2023-10-24,9.350000381469727
2023-10-25,8.600000381469727
2023-10-26,8.600000381469727
2023-10-27,8.699999809265137
2023-10-30,8.350000381469727
2023-10-31,8.75
2023-11-01,8.600000381469727
2023-11-02,8.600000381469727
2023-11-03,9.050000190734863
2023-11-06,8.899999618530273
2023-11-07,9.199999809265137
2023-11-08,8.800000190734863
2023-11-09,8.350000381469727
2023-11-10,7.300000190734863
2023-11-13,7.349999904632568
2023-11-14,7.599999904632568
2023-11-15,7.449999809265137
2023-11-16,6.949999809265137
2023-11-17,6.449999809265137
2023-11-20,6.25
2023-11-21,6.300000190734863
2023-11-22,6.349999904632568
2023-11-24,6.5
2023-11-27,6.400000095367432
2023-11-28,6.5
2023-11-29,5.949999809265137
2023-11-30,5.800000190734863
2023-12-01,6.300000190734863
2023-12-04,7.400000095367432
2023-12-05,6.849999904632568
2023-12-06,6.400000095367432
2023-12-07,4.550000190734863
2023-12-08,4.550000190734863
2023-12-11,4.449999809265137
2023-12-12,3.9000000953674316
2023-12-13,3.5999999046325684
2023-12-14,3.9000000953674316
2023-12-15,3.9000000953674316
2023-12-18,3.9000000953674316
2023-12-19,3.950000047683716
2023-12-20,4.0
2023-12-21,4.0
2023-12-22,4.050000190734863
2023-12-26,3.9000000953674316
2023-12-27,3.950000047683716
2023-12-28,4.400000095367432
2023-12-29,4.099999904632568
2024-01-02,4.150000095367432
2024-01-03,3.950000047683716
2024-01-04,3.8499999046325684
2024-01-05,3.799999952316284
2024-01-08,3.75
2024-01-09,3.8499999046325684
2024-01-10,3.75
2024-01-11,3.75
2024-01-12,3.799999952316284
2024-01-16,21.0
2024-01-17,8.149999618530273
2024-01-18,12.100000381469727
2024-01-19,12.649999618530273
2024-01-22,17.950000762939453
2024-01-23,21.5
2024-01-24,17.299999237060547
2024-01-25,15.0
2024-01-26,15.899999618530273
2024-01-29,14.600000381469727
2024-01-30,14.449999809265137
2024-01-31,16.0
2024-02-01,17.25
2024-02-02,17.100000381469727
2024-02-05,20.5
2024-02-06,19.799999237060547
2024-02-07,16.899999618530273
2024-02-08,18.5
2024-02-09,16.799999237060547
2024-02-12,16.0
2024-02-13,14.399999618530273
2024-02-14,15.100000381469727
2024-02-15,15.350000381469727
2024-02-16,14.949999809265137
2024-02-20,14.5
2024-02-21,13.199999809265137
2024-02-22,12.649999618530273
2024-02-23,9.5
2024-02-26,8.800000190734863
2024-02-27,8.289999961853027
2024-02-28,8.220000267028809
2024-02-29,7.039999961853027
2024-03-01,7.079999923706055
2024-03-04,12.40999984741211
2024-03-05,14.720000267028809
2024-03-06,10.270000457763672
2024-03-07,10.890000343322754
2024-03-08,10.479999542236328
2024-03-11,10.420000076293945
2024-03-12,10.399999618530273
2024-03-13,9.199999809265137
2024-03-14,8.770000457763672
2024-03-15,10.59000015258789
2024-03-18,10.460000038146973
2024-03-19,10.020000457763672
2024-03-20,10.329999923706055
2024-03-21,10.010000228881836
2024-03-22,9.510000228881836
2024-03-25,10.020000457763672
2024-03-26,9.619999885559082
2024-03-27,9.699999809265137
2024-03-28,8.960000038146973
2024-04-01,8.520000457763672
2024-04-02,8.270000457763672
2024-04-03,8.119999885559082
2024-04-04,7.820000171661377
2024-04-05,7.599999904632568
2024-04-08,7.599999904632568
2024-04-09,7.869999885559082
2024-04-10,7.619999885559082
2024-04-11,7.579999923706055
2024-04-12,7.269999980926514
2024-04-15,6.46999979019165
2024-04-16,6.380000114440918
2024-04-17,6.0
2024-04-18,6.840000152587891
2024-04-19,6.300000190734863
2024-04-22,6.199999809265137
2024-04-23,6.159999847412109
2024-04-24,6.28000020980835
2024-04-25,6.139999866485596
2024-04-26,6.380000114440918
2024-04-29,6.760000228881836
2024-04-30,6.599999904632568
2024-05-01,6.329999923706055
2024-05-02,6.650000095367432
2024-05-03,6.659999847412109
2024-05-06,6.920000076293945
2024-05-07,6.889999866485596
2024-05-08,7.139999866485596
2024-05-09,7.409999847412109
2024-05-10,6.75
2024-05-13,7.079999923706055
2024-05-14,7.489999771118164
2024-05-15,7.28000020980835
2024-05-16,7.039999961853027
2024-05-17,6.929999828338623
2024-05-20,6.659999847412109
2024-05-21,6.869999885559082
2024-05-22,6.840000152587891
2024-05-23,6.550000190734863
2024-05-24,6.889999866485596
2024-05-28,6.829999923706055
2024-05-29,6.880000114440918
2024-05-30,6.889999866485596
2024-05-31,6.489999771118164
2024-06-03,6.340000152587891
2024-06-04,5.860000133514404
2024-06-05,5.880000114440918
2024-06-06,5.699999809265137
2024-06-07,5.409999847412109
2024-06-10,5.659999847412109
2024-06-11,5.75
2024-06-12,5.78000020980835
2024-06-13,5.809999942779541
2024-06-14,5.550000190734863
2024-06-17,5.630000114440918
2024-06-18,5.480000019073486
2024-06-20,5.090000152587891
2024-06-21,5.170000076293945
2024-06-24,5.46999979019165
2024-06-25,5.699999809265137
2024-06-26,6.139999866485596
2024-06-27,6.300000190734863
2024-06-28,5.489999771118164
2024-07-01,5.380000114440918
2024-07-02,5.269999980926514
2024-07-03,5.360000133514404
2024-07-05,5.429999828338623
2024-07-08,5.739999771118164
2024-07-09,5.699999809265137
2024-07-10,5.639999866485596
2024-07-11,5.809999942779541
2024-07-12,5.829999923706055
2024-07-15,5.885000228881836
2024-07-16,5.360000133514404
2024-07-17,5.210000038146973
2024-07-18,5.090000152587891
2024-07-19,5.010000228881836
2024-07-22,5.210000038146973
2024-07-23,4.960000038146973
2024-07-24,4.639999866485596
2024-07-25,4.630000114440918
2024-07-26,4.880000114440918
2024-07-29,4.75
2024-07-30,4.440000057220459
2024-07-31,4.429999828338623
2024-08-01,4.170000076293945
2024-08-02,3.990000009536743
2024-08-05,3.559999942779541
2024-08-06,3.619999885559082
2024-08-07,3.440000057220459
2024-08-08,3.4800000190734863
2024-08-09,3.799999952316284
2024-08-12,3.8299999237060547
2024-08-13,3.5999999046325684
2024-08-14,3.390000104904175
2024-08-15,3.3299999237060547
2024-08-16,3.380000114440918
2024-08-19,3.5
2024-08-20,3.509999990463257
2024-08-21,3.700000047683716
2024-08-22,3.430000066757202
2024-08-23,3.5199999809265137
2024-08-26,3.549999952316284
2024-08-27,3.549999952316284
2024-08-28,3.4200000762939453
2024-08-29,3.359999895095825
2024-08-30,3.4100000858306885
2024-09-03,3.180000066757202
2024-09-04,3.2200000286102295
2024-09-05,3.2799999713897705
2024-09-06,3.2200000286102295
2024-09-09,3.5999999046325684
2024-09-10,3.690000057220459
2024-09-11,3.319999933242798
2024-09-12,3.305000066757202
2024-09-13,3.490000009536743
2024-09-16,3.4100000858306885
2024-09-17,3.390000104904175
2024-09-18,3.319999933242798
2024-09-19,3.2200000286102295
2024-09-20,3.009999990463257
2024-09-23,2.880000114440918
2024-09-24,3.0
2024-09-25,3.0399999618530273
2024-09-26,3.2799999713897705
2024-09-27,3.4600000381469727
2024-09-30,3.4200000762939453
2024-10-01,3.3399999141693115
2024-10-02,3.359999895095825
2024-10-03,3.4000000953674316
2024-10-04,3.5
2024-10-07,3.75
2024-10-08,3.809999942779541
2024-10-09,3.549999952316284
2024-10-10,3.819999933242798
2024-10-11,4.510000228881836
2024-10-14,4.699999809265137
2024-10-15,5.389999866485596
2024-10-16,6.340000152587891
2024-10-17,7.480000019073486
2024-10-18,6.769999980926514
2024-10-21,8.40999984741211
2024-10-22,11.640000343322754
2024-10-23,14.140000343322754
2024-10-24,8.479999542236328
2024-10-25,10.600000381469727
2024-10-28,10.5600004196167
2024-10-29,8.680000305175781
2024-10-30,7.449999809265137
2024-10-31,7.070000171661377
2024-11-01,6.739999771118164
2024-11-04,6.909999847412109
2024-11-05,6.369999885559082
2024-11-06,7.429999828338623
2024-11-07,6.420000076293945
2024-11-08,5.599999904632568
2024-11-11,5.989999771118164
2024-11-12,5.340000152587891
2024-11-13,5.0
2024-11-14,4.929999828338623
2024-11-15,4.454999923706055
2024-11-18,4.760000228881836
2024-11-19,4.510000228881836
2024-11-20,4.760000228881836
2024-11-21,4.400000095367432
