Date,PHUN
2022-02-28,149.5
2022-03-01,146.5
2022-03-02,144.0
2022-03-03,138.5
2022-03-04,127.5
2022-03-07,115.5
2022-03-08,117.5
2022-03-09,122.5
2022-03-10,121.0
2022-03-11,117.0
2022-03-14,115.0
2022-03-15,121.5
2022-03-16,129.5
2022-03-17,133.0
2022-03-18,136.5
2022-03-21,133.0
2022-03-22,137.5
2022-03-23,144.0
2022-03-24,137.5
2022-03-25,137.0
2022-03-28,136.5
2022-03-29,146.0
2022-03-30,140.0
2022-03-31,139.0
2022-04-01,130.0
2022-04-04,128.5
2022-04-05,121.0
2022-04-06,118.5
2022-04-07,113.0
2022-04-08,110.0
2022-04-11,110.0
2022-04-12,111.0
2022-04-13,112.0
2022-04-14,110.0
2022-04-18,105.5
2022-04-19,111.0
2022-04-20,106.0
2022-04-21,99.5
2022-04-22,102.0
2022-04-25,102.5
2022-04-26,103.5
2022-04-27,107.0
2022-04-28,104.0
2022-04-29,101.0
2022-05-02,101.5
2022-05-03,104.0
2022-05-04,104.0
2022-05-05,98.0
2022-05-06,95.0
2022-05-09,83.0
2022-05-10,79.5
2022-05-11,67.5
2022-05-12,74.75
2022-05-13,79.0
2022-05-16,71.5
2022-05-17,75.5
2022-05-18,71.5
2022-05-19,71.5
2022-05-20,72.0
2022-05-23,73.5
2022-05-24,69.0
2022-05-25,69.5
2022-05-26,70.0
2022-05-27,72.0
2022-05-31,72.5
2022-06-01,73.5
2022-06-02,74.5
2022-06-03,69.0
2022-06-06,68.5
2022-06-07,69.5
2022-06-08,70.0
2022-06-09,66.0
2022-06-10,63.5
2022-06-13,58.5
2022-06-14,56.5
2022-06-15,58.5
2022-06-16,55.0
2022-06-17,58.5
2022-06-21,60.5
2022-06-22,59.0
2022-06-23,60.5
2022-06-24,59.0
2022-06-27,58.0
2022-06-28,55.0
2022-06-29,53.5
2022-06-30,54.0
2022-07-01,52.5
2022-07-05,55.0
2022-07-06,53.5
2022-07-07,57.5
2022-07-08,61.0
2022-07-11,69.0
2022-07-12,69.5
2022-07-13,65.0
2022-07-14,64.0
2022-07-15,62.5
2022-07-18,68.0
2022-07-19,70.0
2022-07-20,70.5
2022-07-21,88.0
2022-07-22,78.5
2022-07-25,78.5
2022-07-26,71.5
2022-07-27,76.0
2022-07-28,73.5
2022-07-29,73.5
2022-08-01,71.5
2022-08-02,72.5
2022-08-03,75.0
2022-08-04,76.0
2022-08-05,81.5
2022-08-08,85.5
2022-08-09,85.0
2022-08-10,89.0
2022-08-11,87.0
2022-08-12,85.5
2022-08-15,83.0
2022-08-16,88.0
2022-08-17,81.0
2022-08-18,76.0
2022-08-19,69.0
2022-08-22,69.0
2022-08-23,68.5
2022-08-24,69.5
2022-08-25,68.5
2022-08-26,65.5
2022-08-29,67.5
2022-08-30,67.0
2022-08-31,66.5
2022-09-01,65.5
2022-09-02,66.5
2022-09-06,68.5
2022-09-07,66.5
2022-09-08,69.0
2022-09-09,70.0
2022-09-12,70.5
2022-09-13,81.5
2022-09-14,92.5
2022-09-15,88.5
