Date,TALK
2022-02-28,1.4800000190734863
2022-03-01,1.6100000143051147
2022-03-02,1.5
2022-03-03,1.440000057220459
2022-03-04,1.4299999475479126
2022-03-07,1.4700000286102295
2022-03-08,1.5299999713897705
2022-03-09,1.590000033378601
2022-03-10,1.5399999618530273
2022-03-11,1.4800000190734863
2022-03-14,1.3300000429153442
2022-03-15,1.399999976158142
2022-03-16,1.350000023841858
2022-03-17,1.350000023841858
2022-03-18,1.3799999952316284
2022-03-21,1.3600000143051147
2022-03-22,1.5299999713897705
2022-03-23,1.6200000047683716
2022-03-24,1.7100000381469727
2022-03-25,1.6399999856948853
2022-03-28,1.7200000286102295
2022-03-29,1.7899999618530273
2022-03-30,1.7400000095367432
2022-03-31,1.7400000095367432
2022-04-01,1.7899999618530273
2022-04-04,1.8200000524520874
2022-04-05,1.7599999904632568
2022-04-06,1.7200000286102295
2022-04-07,1.7000000476837158
2022-04-08,1.6399999856948853
2022-04-11,1.6799999475479126
2022-04-12,1.7000000476837158
2022-04-13,1.7300000190734863
2022-04-14,1.7400000095367432
2022-04-18,1.6699999570846558
2022-04-19,1.6699999570846558
2022-04-20,1.649999976158142
2022-04-21,1.5700000524520874
2022-04-22,1.4600000381469727
2022-04-25,1.4299999475479126
2022-04-26,1.350000023841858
2022-04-27,1.399999976158142
2022-04-28,1.409999966621399
2022-04-29,1.340000033378601
2022-05-02,1.399999976158142
2022-05-03,1.3700000047683716
2022-05-04,1.340000033378601
2022-05-05,1.2999999523162842
2022-05-06,1.2999999523162842
2022-05-09,1.2200000286102295
2022-05-10,1.2300000190734863
2022-05-11,1.1100000143051147
2022-05-12,1.149999976158142
2022-05-13,1.2200000286102295
2022-05-16,1.1799999475479126
2022-05-17,1.190000057220459
2022-05-18,1.159999966621399
2022-05-19,1.1399999856948853
2022-05-20,1.149999976158142
2022-05-23,1.149999976158142
2022-05-24,1.1100000143051147
2022-05-25,1.059999942779541
2022-05-26,1.3300000429153442
2022-05-27,1.409999966621399
2022-05-31,1.409999966621399
2022-06-01,1.309999942779541
2022-06-02,1.7599999904632568
2022-06-03,1.649999976158142
2022-06-06,1.600000023841858
2022-06-07,1.7599999904632568
2022-06-08,1.690000057220459
2022-06-09,1.6699999570846558
2022-06-10,1.7200000286102295
2022-06-13,1.649999976158142
2022-06-14,1.6399999856948853
2022-06-15,1.600000023841858
2022-06-16,1.559999942779541
2022-06-17,1.5800000429153442
2022-06-21,1.5800000429153442
2022-06-22,1.649999976158142
2022-06-23,1.7300000190734863
2022-06-24,1.8899999856948853
2022-06-27,1.7799999713897705
2022-06-28,1.7400000095367432
2022-06-29,1.7200000286102295
2022-06-30,1.7000000476837158
2022-07-01,1.7400000095367432
2022-07-05,1.7300000190734863
