Date,VCIG
2023-04-13,208.25
2023-04-14,125.44000244140625
2023-04-17,107.30999755859375
2023-04-18,93.0999984741211
2023-04-19,97.0199966430664
2023-04-20,99.95999908447266
2023-04-21,96.52999877929688
2023-04-24,80.8499984741211
2023-04-25,93.0999984741211
2023-04-26,116.12999725341797
2023-04-27,117.5999984741211
2023-04-28,119.55999755859375
2023-05-01,128.8699951171875
2023-05-02,833.489990234375
2023-05-03,259.70001220703125
2023-05-04,182.27999877929688
2023-05-05,192.0800018310547
2023-05-08,205.8000030517578
2023-05-09,182.27999877929688
2023-05-10,159.25
2023-05-11,172.47999572753906
2023-05-12,146.50999450683594
2023-05-15,152.38999938964844
2023-05-16,143.0800018310547
2023-05-17,142.58999633789062
2023-05-18,133.27999877929688
2023-05-19,136.7100067138672
2023-05-22,133.77000427246094
2023-05-23,136.22000122070312
2023-05-24,130.8300018310547
2023-05-25,129.85000610351562
2023-05-26,121.02999877929688
2023-05-30,127.4000015258789
2023-05-31,134.75
2023-06-01,132.3000030517578
2023-06-02,128.3800048828125
2023-06-05,127.4000015258789
2023-06-06,131.32000732421875
2023-06-07,126.91000366210938
2023-06-08,139.64999389648438
2023-06-09,129.85000610351562
2023-06-12,133.77000427246094
2023-06-13,127.35099792480469
2023-06-14,119.55999755859375
2023-06-15,117.5999984741211
2023-06-16,138.6699981689453
2023-06-20,355.25
2023-06-21,243.0399932861328
2023-06-22,327.80999755859375
2023-06-23,297.9200134277344
2023-06-26,327.80999755859375
2023-06-27,275.8699951171875
2023-06-28,278.80999755859375
2023-06-29,276.8500061035156
2023-06-30,258.7200012207031
2023-07-03,253.3300018310547
2023-07-05,228.33999633789062
2023-07-06,217.07000732421875
2023-07-07,222.9499969482422
2023-07-10,212.1699981689453
2023-07-11,197.9600067138672
2023-07-12,184.72999572753906
2023-07-13,181.3000030517578
2023-07-14,158.75999450683594
2023-07-17,173.4600067138672
2023-07-18,169.5399932861328
2023-07-19,166.11000061035156
2023-07-20,174.44000244140625
2023-07-21,186.1999969482422
2023-07-24,176.39999389648438
2023-07-25,159.25
2023-07-26,171.5
2023-07-27,163.1699981689453
2023-07-28,160.22999572753906
2023-07-31,166.11000061035156
2023-08-01,164.88499450683594
2023-08-02,150.42999267578125
2023-08-03,155.82000732421875
2023-08-04,144.5500030517578
2023-08-07,145.52999877929688
2023-08-08,137.1999969482422
2023-08-09,143.0800018310547
2023-08-10,132.3000030517578
2023-08-11,162.67999267578125
2023-08-14,190.1199951171875
2023-08-15,168.55999755859375
2023-08-16,158.27000427246094
2023-08-17,176.39999389648438
2023-08-18,200.89999389648438
2023-08-21,203.83999633789062
2023-08-22,183.9459991455078
2023-08-23,338.1000061035156
2023-08-24,268.0299987792969
2023-08-25,229.80999755859375
2023-08-28,203.10499572753906
2023-08-29,227.36000061035156
2023-08-30,277.3399963378906
2023-08-31,204.82000732421875
2023-09-01,201.38999938964844
2023-09-05,203.83999633789062
2023-09-06,202.3699951171875
2023-09-07,223.92999267578125
2023-09-08,227.85000610351562
2023-09-11,237.64999389648438
2023-09-12,227.36000061035156
2023-09-13,207.75999450683594
2023-09-14,193.05999755859375
2023-09-15,202.86000061035156
2023-09-18,194.52999877929688
2023-09-19,201.8800048828125
2023-09-20,194.52999877929688
2023-09-21,188.16000366210938
2023-09-22,178.36000061035156
2023-09-25,164.63999938964844
2023-09-26,169.5399932861328
2023-09-27,180.32000732421875
2023-09-28,181.7899932861328
2023-09-29,181.3000030517578
2023-10-02,187.17999267578125
2023-10-03,195.02000427246094
2023-10-04,192.0800018310547
2023-10-05,179.8300018310547
2023-10-06,179.33999633789062
2023-10-09,173.4600067138672
2023-10-10,180.80999755859375
2023-10-11,172.97000122070312
2023-10-12,171.5
2023-10-13,167.5800018310547
2023-10-16,160.22999572753906
2023-10-17,143.0800018310547
2023-10-18,144.05999755859375
2023-10-19,134.25999450683594
2023-10-20,123.4800033569336
2023-10-23,118.08999633789062
2023-10-24,127.88999938964844
2023-10-25,133.27999877929688
2023-10-26,134.25999450683594
2023-10-27,133.27999877929688
2023-10-30,153.3699951171875
2023-10-31,165.6199951171875
2023-11-01,142.10000610351562
2023-11-02,140.13999938964844
2023-11-03,155.82000732421875
2023-11-06,147.49000549316406
2023-11-07,152.8800048828125
2023-11-08,151.89999389648438
2023-11-09,142.10000610351562
2023-11-10,150.42999267578125
2023-11-13,140.13999938964844
2023-11-14,139.64999389648438
2023-11-15,149.4499969482422
2023-11-16,140.13999938964844
2023-11-17,140.13999938964844
2023-11-20,140.13999938964844
2023-11-21,142.10000610351562
2023-11-22,140.6300048828125
2023-11-24,144.5500030517578
2023-11-27,151.89999389648438
2023-11-28,139.16000366210938
2023-11-29,138.6699981689453
2023-11-30,131.32000732421875
2023-12-01,132.3000030517578
2023-12-04,125.44000244140625
2023-12-05,120.05000305175781
2023-12-06,125.93000030517578
2023-12-07,127.88999938964844
2023-12-08,133.27999877929688
2023-12-11,120.05000305175781
2023-12-12,115.63999938964844
2023-12-13,112.20999908447266
2023-12-14,120.54000091552734
2023-12-15,119.55999755859375
2023-12-18,116.62000274658203
2023-12-19,109.76000213623047
2023-12-20,110.25
2023-12-21,111.2300033569336
2023-12-22,109.2699966430664
2023-12-26,107.80000305175781
2023-12-27,107.80000305175781
2023-12-28,109.76000213623047
2023-12-29,110.73999786376953
2024-01-02,104.86000061035156
2024-01-03,97.0199966430664
2024-01-04,91.62999725341797
2024-01-05,99.95999908447266
2024-01-08,100.94000244140625
2024-01-09,90.16000366210938
2024-01-10,91.62999725341797
2024-01-11,76.44000244140625
2024-01-12,69.08999633789062
2024-01-16,56.84000015258789
2024-01-17,52.91999816894531
2024-01-18,51.45000076293945
2024-01-19,49.4900016784668
2024-01-22,55.86000061035156
