Date,FFIE
2022-02-28,55200.0
2022-03-01,52128.0
2022-03-02,50496.0
2022-03-03,46848.0
2022-03-04,45696.0
2022-03-07,54336.0
2022-03-08,50112.0
2022-03-09,53952.0
2022-03-10,55392.0
2022-03-11,52320.0
2022-03-14,38208.0
2022-03-15,38784.0
2022-03-16,41376.0
2022-03-17,45504.0
2022-03-18,47136.0
2022-03-21,48960.0
2022-03-22,54144.0
2022-03-23,51840.0
2022-03-24,54528.0
2022-03-25,52896.0
2022-03-28,53472.0
2022-03-29,54720.0
2022-03-30,49536.0
2022-03-31,47904.0
2022-04-01,47136.0
2022-04-04,47520.0
2022-04-05,43488.0
2022-04-06,40704.0
2022-04-07,40224.0
2022-04-08,40704.0
2022-04-11,41184.0
2022-04-12,42912.0
2022-04-13,44352.0
2022-04-14,43200.0
2022-04-18,41088.0
2022-04-19,43008.0
2022-04-20,42720.0
2022-04-21,37248.0
2022-04-22,36096.0
2022-04-25,34176.0
2022-04-26,29760.0
2022-04-27,28704.0
2022-04-28,27552.0
2022-04-29,24768.0
2022-05-02,25152.0
2022-05-03,23424.0
2022-05-04,24480.0
2022-05-05,22080.0
2022-05-06,22752.0
2022-05-09,19104.0
2022-05-10,17376.0
2022-05-11,16512.0
2022-05-12,19488.0
2022-05-13,23616.0
2022-05-16,24192.0
2022-05-17,27456.0
2022-05-18,29952.0
2022-05-19,27264.0
2022-05-20,26688.0
2022-05-23,25344.0
2022-05-24,24960.0
2022-05-25,28800.0
2022-05-26,29280.0
2022-05-27,30624.0
2022-05-31,31680.0
2022-06-01,30240.0
2022-06-02,32832.0
2022-06-03,30624.0
2022-06-06,27552.0
2022-06-07,26112.0
2022-06-08,27456.0
2022-06-09,27072.0
2022-06-10,24576.0
2022-06-13,21888.0
2022-06-14,22560.0
2022-06-15,24000.0
2022-06-16,21792.0
2022-06-17,24000.0
2022-06-21,24480.0
2022-06-22,23328.0
2022-06-23,23328.0
2022-06-24,23808.0
2022-06-27,21792.0
2022-06-28,21504.0
2022-06-29,23136.0
2022-06-30,24960.0
2022-07-01,34080.0
2022-07-05,50688.0
2022-07-06,43584.0
2022-07-07,52800.0
2022-07-08,51840.0
2022-07-11,52512.0
2022-07-12,55104.0
2022-07-13,56640.0
2022-07-14,67200.0
2022-07-15,72192.0
2022-07-18,64320.0
2022-07-19,53184.0
2022-07-20,44544.0
2022-07-21,32736.0
2022-07-22,24960.0
2022-07-25,22080.0
2022-07-26,20640.0
2022-07-27,22944.0
2022-07-28,21216.0
2022-07-29,21216.0
2022-08-01,19200.0
2022-08-02,23232.0
2022-08-03,28512.0
2022-08-04,26592.0
2022-08-05,26112.0
2022-08-08,26880.0
2022-08-09,24096.0
2022-08-10,24864.0
2022-08-11,24384.0
2022-08-12,25824.0
2022-08-15,26784.0
2022-08-16,22272.0
2022-08-17,20928.0
