Date,FTCI
2022-02-28,4.710000038146973
2022-03-01,4.639999866485596
2022-03-02,4.489999771118164
2022-03-03,4.690000057220459
2022-03-04,4.199999809265137
2022-03-07,4.675000190734863
2022-03-08,5.320000171661377
2022-03-09,5.650000095367432
2022-03-10,5.630000114440918
2022-03-11,5.440000057220459
2022-03-14,4.949999809265137
2022-03-15,5.619999885559082
2022-03-16,6.269999980926514
2022-03-17,6.639999866485596
2022-03-18,6.489999771118164
2022-03-21,6.519999980926514
2022-03-22,6.340000152587891
2022-03-23,6.150000095367432
2022-03-24,6.449999809265137
2022-03-25,6.090000152587891
2022-03-28,5.849999904632568
2022-03-29,5.329999923706055
2022-03-30,4.96999979019165
2022-03-31,4.929999828338623
2022-04-01,5.130000114440918
2022-04-04,5.349999904632568
2022-04-05,4.920000076293945
2022-04-06,4.889999866485596
2022-04-07,4.625
2022-04-08,3.9600000381469727
2022-04-11,3.930000066757202
2022-04-12,3.759999990463257
2022-04-13,3.7899999618530273
2022-04-14,3.5899999141693115
2022-04-18,3.450000047683716
2022-04-19,3.430000066757202
2022-04-20,3.2100000381469727
2022-04-21,2.990000009536743
2022-04-22,3.0299999713897705
2022-04-25,3.0899999141693115
2022-04-26,2.9200000762939453
2022-04-27,2.859999895095825
2022-04-28,2.940000057220459
2022-04-29,2.799999952316284
2022-05-02,3.0799999237060547
2022-05-03,3.5399999618530273
2022-05-04,3.809999942779541
2022-05-05,3.6600000858306885
2022-05-06,3.6500000953674316
2022-05-09,3.2899999618530273
2022-05-10,2.869999885559082
2022-05-11,2.8299999237060547
2022-05-12,2.799999952316284
2022-05-13,3.240000009536743
2022-05-16,2.9600000381469727
2022-05-17,3.4600000381469727
2022-05-18,3.7899999618530273
2022-05-19,4.139999866485596
2022-05-20,3.8299999237060547
2022-05-23,3.950000047683716
2022-05-24,3.859999895095825
2022-05-25,3.990000009536743
2022-05-26,4.150000095367432
2022-05-27,4.5
2022-05-31,4.050000190734863
2022-06-01,3.5999999046325684
2022-06-02,4.110000133514404
2022-06-03,3.9700000286102295
2022-06-06,5.230000019073486
2022-06-07,5.630000114440918
2022-06-08,5.360000133514404
2022-06-09,5.46999979019165
2022-06-10,5.269999980926514
2022-06-13,5.039999961853027
2022-06-14,4.369999885559082
2022-06-15,4.96999979019165
2022-06-16,4.159999847412109
2022-06-17,4.46999979019165
2022-06-21,4.71999979019165
2022-06-22,4.75
2022-06-23,4.960000038146973
2022-06-24,4.570000171661377
2022-06-27,4.260000228881836
2022-06-28,3.6549999713897705
2022-06-29,3.2850000858306885
2022-06-30,3.619999885559082
2022-07-01,3.740000009536743
2022-07-05,3.9000000953674316
2022-07-06,3.940000057220459
2022-07-07,4.130000114440918
2022-07-08,4.260000228881836
2022-07-11,3.6700000762939453
2022-07-12,3.759999990463257
2022-07-13,3.7300000190734863
2022-07-14,3.690000057220459
2022-07-15,3.5
2022-07-18,3.549999952316284
2022-07-19,3.950000047683716
2022-07-20,4.300000190734863
2022-07-21,4.260000228881836
2022-07-22,3.9000000953674316
2022-07-25,4.059999942779541
2022-07-26,3.940000057220459
2022-07-27,4.139999866485596
2022-07-28,4.96999979019165
2022-07-29,5.019999980926514
2022-08-01,5.039999961853027
2022-08-02,5.03000020980835
2022-08-03,4.909999847412109
2022-08-04,4.949999809265137
2022-08-05,4.860000133514404
2022-08-08,4.920000076293945
2022-08-09,4.769999980926514
2022-08-10,5.46999979019165
2022-08-11,5.050000190734863
2022-08-12,5.400000095367432
2022-08-15,5.190000057220459
2022-08-16,4.880000114440918
2022-08-17,4.53000020980835
2022-08-18,4.71999979019165
2022-08-19,4.360000133514404
2022-08-22,4.170000076293945
2022-08-23,4.340000152587891
2022-08-24,4.639999866485596
2022-08-25,4.510000228881836
2022-08-26,4.380000114440918
2022-08-29,4.349999904632568
2022-08-30,4.070000171661377
2022-08-31,4.139999866485596
2022-09-01,4.010000228881836
2022-09-02,3.9100000858306885
2022-09-06,4.059999942779541
2022-09-07,4.360000133514404
2022-09-08,4.309999942779541
2022-09-09,4.300000190734863
2022-09-12,4.25
2022-09-13,4.190000057220459
2022-09-14,4.349999904632568
2022-09-15,3.7699999809265137
2022-09-16,3.7699999809265137
2022-09-19,3.7300000190734863
2022-09-20,3.5799999237060547
2022-09-21,3.549999952316284
2022-09-22,3.3299999237060547
2022-09-23,3.1700000762939453
2022-09-26,3.140000104904175
2022-09-27,3.0999999046325684
2022-09-28,3.200000047683716
2022-09-29,3.049999952316284
2022-09-30,2.9600000381469727
2022-10-03,3.180000066757202
2022-10-04,3.3299999237060547
2022-10-05,3.0899999141693115
2022-10-06,2.930000066757202
2022-10-07,2.799999952316284
2022-10-10,2.7100000381469727
2022-10-11,2.7799999713897705
2022-10-12,2.7300000190734863
2022-10-13,2.609999895095825
2022-10-14,2.440000057220459
2022-10-17,2.309999942779541
2022-10-18,2.2799999713897705
2022-10-19,2.180000066757202
2022-10-20,2.0999999046325684
2022-10-21,2.109999895095825
2022-10-24,1.840000033378601
2022-10-25,2.0199999809265137
2022-10-26,2.0399999618530273
2022-10-27,2.0399999618530273
2022-10-28,2.009999990463257
2022-10-31,2.069999933242798
2022-11-01,2.0199999809265137
2022-11-02,1.850000023841858
2022-11-03,1.909999966621399
2022-11-04,1.899999976158142
2022-11-07,1.8600000143051147
2022-11-08,1.9299999475479126
2022-11-09,2.180000066757202
2022-11-10,2.7799999713897705
2022-11-11,2.5799999237060547
2022-11-14,2.359999895095825
2022-11-15,2.4100000858306885
2022-11-16,2.259999990463257
2022-11-17,2.299999952316284
