Date,TPET
2023-04-18,45.400001525878906
2023-04-19,40.0
2023-04-20,44.400001525878906
2023-04-21,48.0
2023-04-24,44.0
2023-04-25,46.20000076293945
2023-04-26,42.0
2023-04-27,41.599998474121094
2023-04-28,41.0
2023-05-01,43.0
2023-05-02,42.0
2023-05-03,40.0
2023-05-04,37.400001525878906
2023-05-05,40.599998474121094
2023-05-08,39.400001525878906
2023-05-09,39.79999923706055
2023-05-10,39.599998474121094
2023-05-11,36.79999923706055
2023-05-12,40.20000076293945
2023-05-15,41.400001525878906
2023-05-16,39.0
2023-05-17,35.0
2023-05-18,33.79999923706055
2023-05-19,31.799999237060547
2023-05-22,28.799999237060547
2023-05-23,30.559999465942383
2023-05-24,32.400001525878906
2023-05-25,31.0
2023-05-26,29.399999618530273
2023-05-30,28.600000381469727
2023-05-31,27.600000381469727
2023-06-01,27.399999618530273
2023-06-02,28.979999542236328
2023-06-05,29.399999618530273
2023-06-06,30.0
2023-06-07,28.200000762939453
2023-06-08,29.600000381469727
2023-06-09,28.399999618530273
2023-06-12,27.399999618530273
2023-06-13,27.0
2023-06-14,26.600000381469727
2023-06-15,25.0
2023-06-16,22.639999389648438
2023-06-20,20.200000762939453
2023-06-21,19.5
2023-06-22,16.799999237060547
2023-06-23,17.600000381469727
2023-06-26,19.0
2023-06-27,22.0
2023-06-28,29.399999618530273
2023-06-29,33.79999923706055
2023-06-30,33.400001525878906
2023-07-03,30.399999618530273
2023-07-05,28.399999618530273
2023-07-06,30.0
2023-07-07,32.0
2023-07-10,30.600000381469727
2023-07-11,24.200000762939453
2023-07-12,23.18000030517578
2023-07-13,23.799999237060547
2023-07-14,24.399999618530273
2023-07-17,24.200000762939453
2023-07-18,23.700000762939453
2023-07-19,22.200000762939453
2023-07-20,21.299999237060547
2023-07-21,19.600000381469727
2023-07-24,18.200000762939453
2023-07-25,17.600000381469727
2023-07-26,16.799999237060547
2023-07-27,16.600000381469727
2023-07-28,17.0
2023-07-31,16.100000381469727
2023-08-01,16.0
2023-08-02,15.399999618530273
2023-08-03,14.739999771118164
2023-08-04,14.220000267028809
2023-08-07,13.699999809265137
2023-08-08,13.15999984741211
2023-08-09,13.199999809265137
2023-08-10,12.039999961853027
2023-08-11,11.920000076293945
2023-08-14,11.020000457763672
2023-08-15,10.460000038146973
2023-08-16,10.640000343322754
2023-08-17,16.1200008392334
2023-08-18,13.920000076293945
2023-08-21,13.0
2023-08-22,12.0
2023-08-23,12.520000457763672
2023-08-24,10.399999618530273
2023-08-25,11.760000228881836
2023-08-28,11.420000076293945
2023-08-29,12.199999809265137
2023-08-30,13.199999809265137
2023-08-31,13.0
2023-09-01,12.859999656677246
2023-09-05,12.800000190734863
2023-09-06,12.300000190734863
2023-09-07,11.859999656677246
2023-09-08,12.180000305175781
2023-09-11,12.319999694824219
2023-09-12,12.0
2023-09-13,12.579999923706055
2023-09-14,12.600000381469727
2023-09-15,11.699999809265137
2023-09-18,11.760000228881836
2023-09-19,11.600000381469727
2023-09-20,11.460000038146973
2023-09-21,11.020000457763672
2023-09-22,11.180000305175781
2023-09-25,11.300000190734863
2023-09-26,11.300000190734863
2023-09-27,11.899999618530273
2023-09-28,11.84000015258789
2023-09-29,11.399999618530273
2023-10-02,11.15999984741211
2023-10-03,11.979999542236328
2023-10-04,11.0
2023-10-05,10.819999694824219
2023-10-06,10.800000190734863
2023-10-09,11.119999885559082
2023-10-10,10.699999809265137
2023-10-11,9.220000267028809
2023-10-12,9.199999809265137
