Date,PRTS
2022-02-28,8.369999885559082
2022-03-01,7.900000095367432
2022-03-02,8.470000267028809
2022-03-03,8.15999984741211
2022-03-04,7.949999809265137
2022-03-07,7.559999942779541
2022-03-08,7.559999942779541
2022-03-09,7.699999809265137
2022-03-10,7.389999866485596
2022-03-11,7.070000171661377
2022-03-14,6.809999942779541
2022-03-15,7.130000114440918
2022-03-16,6.710000038146973
2022-03-17,7.460000038146973
2022-03-18,7.489999771118164
2022-03-21,7.159999847412109
2022-03-22,7.380000114440918
2022-03-23,7.150000095367432
2022-03-24,7.260000228881836
2022-03-25,6.929999828338623
2022-03-28,7.03000020980835
2022-03-29,7.559999942779541
2022-03-30,7.070000171661377
2022-03-31,6.699999809265137
2022-04-01,6.699999809265137
2022-04-04,6.96999979019165
2022-04-05,6.820000171661377
2022-04-06,6.800000190734863
2022-04-07,6.840000152587891
2022-04-08,7.099999904632568
2022-04-11,7.139999866485596
2022-04-12,7.079999923706055
2022-04-13,7.190000057220459
2022-04-14,7.070000171661377
2022-04-18,6.949999809265137
2022-04-19,7.28000020980835
2022-04-20,6.679999828338623
2022-04-21,6.619999885559082
2022-04-22,6.269999980926514
2022-04-25,6.380000114440918
2022-04-26,6.130000114440918
2022-04-27,6.25
2022-04-28,6.289999961853027
2022-04-29,5.989999771118164
2022-05-02,6.579999923706055
2022-05-03,6.800000190734863
2022-05-04,8.649999618530273
2022-05-05,8.779999732971191
2022-05-06,7.889999866485596
2022-05-09,7.599999904632568
2022-05-10,7.429999828338623
2022-05-11,6.75
2022-05-12,6.889999866485596
2022-05-13,7.079999923706055
2022-05-16,7.059999942779541
2022-05-17,7.5
2022-05-18,6.920000076293945
2022-05-19,7.349999904632568
2022-05-20,7.110000133514404
2022-05-23,7.28000020980835
2022-05-24,6.96999979019165
2022-05-25,7.190000057220459
2022-05-26,7.849999904632568
2022-05-27,7.889999866485596
2022-05-31,7.570000171661377
2022-06-01,7.710000038146973
2022-06-02,8.140000343322754
2022-06-03,7.760000228881836
2022-06-06,7.900000095367432
2022-06-07,8.369999885559082
2022-06-08,8.430000305175781
2022-06-09,8.109999656677246
2022-06-10,7.550000190734863
2022-06-13,6.949999809265137
2022-06-14,7.070000171661377
2022-06-15,7.300000190734863
2022-06-16,6.980000019073486
2022-06-17,7.619999885559082
2022-06-21,7.869999885559082
2022-06-22,8.0
2022-06-23,8.229999542236328
2022-06-24,8.300000190734863
2022-06-27,8.220000267028809
2022-06-28,7.760000228881836
2022-06-29,7.599999904632568
2022-06-30,6.940000057220459
2022-07-01,7.260000228881836
2022-07-05,7.019999980926514
2022-07-06,6.920000076293945
2022-07-07,7.559999942779541
2022-07-08,7.510000228881836
2022-07-11,7.409999847412109
2022-07-12,7.610000133514404
2022-07-13,7.860000133514404
2022-07-14,7.670000076293945
2022-07-15,7.769999980926514
2022-07-18,7.590000152587891
2022-07-19,7.960000038146973
2022-07-20,8.390000343322754
2022-07-21,8.75
2022-07-22,8.359999656677246
2022-07-25,7.989999771118164
2022-07-26,7.269999980926514
2022-07-27,7.829999923706055
2022-07-28,7.869999885559082
2022-07-29,7.980000019073486
