Date,SURG
2022-02-28,3.009999990463257
2022-03-01,3.069999933242798
2022-03-02,3.049999952316284
2022-03-03,2.9800000190734863
2022-03-04,3.0299999713897705
2022-03-07,2.9800000190734863
2022-03-08,3.069999933242798
2022-03-09,3.450000047683716
2022-03-10,3.7799999713897705
2022-03-11,3.6700000762939453
2022-03-14,3.4600000381469727
2022-03-15,3.7300000190734863
2022-03-16,3.7699999809265137
2022-03-17,3.740000009536743
2022-03-18,3.75
2022-03-21,3.740000009536743
2022-03-22,3.7300000190734863
2022-03-23,3.884999990463257
2022-03-24,4.03000020980835
2022-03-25,3.940000057220459
2022-03-28,4.079999923706055
2022-03-29,4.019999980926514
2022-03-30,4.050000190734863
2022-03-31,4.079999923706055
2022-04-01,4.019999980926514
2022-04-04,4.099999904632568
2022-04-05,3.930000066757202
2022-04-06,3.869999885559082
2022-04-07,4.239999771118164
2022-04-08,4.110000133514404
2022-04-11,4.190000057220459
2022-04-12,3.930000066757202
2022-04-13,3.9100000858306885
2022-04-14,3.880000114440918
2022-04-18,3.7200000286102295
2022-04-19,3.799999952316284
2022-04-20,3.759999990463257
2022-04-21,3.640000104904175
2022-04-22,3.5399999618530273
2022-04-25,3.440000057220459
2022-04-26,3.372999906539917
2022-04-27,3.4100000858306885
2022-04-28,3.509999990463257
2022-04-29,3.3299999237060547
2022-05-02,3.5199999809265137
2022-05-03,3.6700000762939453
2022-05-04,3.809999942779541
2022-05-05,3.640000104904175
2022-05-06,3.75
2022-05-09,3.569999933242798
2022-05-10,3.549999952316284
2022-05-11,3.5399999618530273
2022-05-12,3.4100000858306885
2022-05-13,3.740000009536743
2022-05-16,3.6600000858306885
2022-05-17,3.940000057220459
2022-05-18,3.7899999618530273
2022-05-19,3.990000009536743
2022-05-20,4.429999828338623
2022-05-23,4.829999923706055
2022-05-24,4.940000057220459
2022-05-25,4.800000190734863
2022-05-26,4.789999961853027
2022-05-27,4.929999828338623
2022-05-31,4.599999904632568
2022-06-01,4.385000228881836
2022-06-02,4.559999942779541
2022-06-03,4.690000057220459
2022-06-06,4.840000152587891
2022-06-07,4.699999809265137
2022-06-08,4.690000057220459
2022-06-09,4.869999885559082
2022-06-10,4.989999771118164
2022-06-13,4.800000190734863
2022-06-14,4.829999923706055
2022-06-15,4.929999828338623
2022-06-16,4.699999809265137
2022-06-17,4.989999771118164
2022-06-21,4.849999904632568
2022-06-22,4.789999961853027
2022-06-23,4.900000095367432
2022-06-24,4.989999771118164
2022-06-27,4.829999923706055
2022-06-28,4.820000171661377
2022-06-29,4.929999828338623
2022-06-30,4.829999923706055
2022-07-01,4.849999904632568
2022-07-05,4.78000020980835
2022-07-06,4.519999980926514
2022-07-07,4.559999942779541
2022-07-08,4.630000114440918
2022-07-11,4.809999942779541
2022-07-12,4.369999885559082
2022-07-13,4.53000020980835
2022-07-14,4.190000057220459
2022-07-15,4.630000114440918
2022-07-18,4.670000076293945
2022-07-19,4.78000020980835
2022-07-20,5.239999771118164
2022-07-21,5.489999771118164
2022-07-22,6.21999979019165
2022-07-25,6.005000114440918
2022-07-26,6.059999942779541
2022-07-27,6.550000190734863
2022-07-28,6.679999828338623
2022-07-29,6.75
2022-08-01,6.639999866485596
2022-08-02,6.800000190734863
2022-08-03,6.974999904632568
2022-08-04,6.78000020980835
2022-08-05,6.170000076293945
2022-08-08,6.380000114440918
2022-08-09,6.420000076293945
2022-08-10,6.71999979019165
2022-08-11,6.369999885559082
2022-08-12,4.659999847412109
2022-08-15,4.769999980926514
2022-08-16,5.0
2022-08-17,4.929999828338623
2022-08-18,4.840000152587891
2022-08-19,4.670000076293945
2022-08-22,4.71999979019165
2022-08-23,4.940000057220459
2022-08-24,4.820000171661377
2022-08-25,4.840000152587891
2022-08-26,4.650000095367432
2022-08-29,4.230000019073486
2022-08-30,4.28000020980835
2022-08-31,4.210000038146973
2022-09-01,4.21999979019165
2022-09-02,4.269999980926514
2022-09-06,4.25
2022-09-07,4.519999980926514
2022-09-08,4.510000228881836
2022-09-09,4.320000171661377
2022-09-12,4.679999828338623
2022-09-13,4.789999961853027
2022-09-14,4.889999866485596
2022-09-15,4.900000095367432
2022-09-16,4.96999979019165
2022-09-19,4.800000190734863
2022-09-20,4.949999809265137
2022-09-21,4.849999904632568
2022-09-22,4.809999942779541
2022-09-23,4.579999923706055
2022-09-26,4.570000171661377
2022-09-27,4.599999904632568
2022-09-28,4.760000228881836
2022-09-29,4.630000114440918
2022-09-30,4.550000190734863
2022-10-03,4.679999828338623
2022-10-04,5.159999847412109
2022-10-05,5.730000019073486
2022-10-06,5.440000057220459
2022-10-07,5.849999904632568
2022-10-10,6.019999980926514
2022-10-11,5.639999866485596
2022-10-12,5.650000095367432
2022-10-13,5.800000190734863
2022-10-14,5.300000190734863
2022-10-17,5.139999866485596
2022-10-18,4.989999771118164
2022-10-19,5.010000228881836
2022-10-20,5.010000228881836
2022-10-21,5.019999980926514
2022-10-24,4.985000133514404
2022-10-25,5.579999923706055
2022-10-26,5.380000114440918
2022-10-27,5.809999942779541
2022-10-28,5.559999942779541
2022-10-31,5.53000020980835
2022-11-01,5.699999809265137
2022-11-02,5.409999847412109
2022-11-03,5.25
2022-11-04,5.800000190734863
2022-11-07,5.989999771118164
2022-11-08,5.769999980926514
2022-11-09,5.739999771118164
2022-11-10,5.730000019073486
2022-11-11,5.610000133514404
2022-11-14,5.190000057220459
2022-11-15,5.230000019073486
2022-11-16,5.090000152587891
2022-11-17,5.570000171661377
2022-11-18,5.869999885559082
2022-11-21,5.679999828338623
