Date,ADTX
2023-01-31,2176.0
2023-02-01,2208.0
2023-02-02,2304.0
2023-02-03,2424.0
2023-02-06,2352.0
2023-02-07,2224.0
2023-02-08,2224.0
2023-02-09,2096.0
2023-02-10,2016.0
2023-02-13,2032.0
2023-02-14,2190.39990234375
2023-02-15,2080.0
2023-02-16,2064.0
2023-02-17,2016.0
2023-02-21,1952.0
2023-02-22,1904.0
2023-02-23,1888.0
2023-02-24,1888.0
2023-02-27,1920.0
2023-02-28,1808.0
2023-03-01,1840.0
2023-03-02,1888.0
2023-03-03,1824.0
2023-03-06,1808.0
2023-03-07,1840.0
2023-03-08,1776.0
2023-03-09,1696.0
2023-03-10,1704.0
2023-03-13,1680.0
2023-03-14,1648.0
2023-03-15,1600.0
2023-03-16,1584.0
2023-03-17,1440.0
2023-03-20,1416.0
2023-03-21,1440.0
2023-03-22,1456.0
2023-03-23,1419.199951171875
2023-03-24,1366.4000244140625
2023-03-27,1392.0
2023-03-28,1408.0
2023-03-29,1416.0
2023-03-30,1438.4000244140625
2023-03-31,1457.5999755859375
2023-04-03,1454.4000244140625
2023-04-04,1352.0
2023-04-05,1360.0
2023-04-06,1380.800048828125
2023-04-10,1404.800048828125
2023-04-11,1424.0
2023-04-12,1376.0
2023-04-13,1352.0
2023-04-14,1400.0
2023-04-17,1465.5999755859375
2023-04-18,1520.0
2023-04-19,1376.0
2023-04-20,1616.0
2023-04-21,1264.0
2023-04-24,1156.800048828125
2023-04-25,1112.0
2023-04-26,1008.0
2023-04-27,1011.2000122070312
2023-04-28,939.2000122070312
2023-05-01,1000.0
2023-05-02,944.0
2023-05-03,968.0
2023-05-04,1056.0
2023-05-05,1070.4000244140625
2023-05-08,1008.0
2023-05-09,929.5999755859375
2023-05-10,924.7999877929688
2023-05-11,1006.4000244140625
2023-05-12,944.0
2023-05-15,937.5999755859375
2023-05-16,905.5999755859375
2023-05-17,908.7999877929688
2023-05-18,896.0
2023-05-19,928.0
2023-05-22,932.7999877929688
2023-05-23,920.0
2023-05-24,976.0
2023-05-25,969.5999755859375
2023-05-26,956.7999877929688
2023-05-30,960.0
2023-05-31,976.0
2023-06-01,931.2000122070312
2023-06-02,944.0
2023-06-05,987.2000122070312
2023-06-06,960.0
2023-06-07,974.4000244140625
2023-06-08,960.0
2023-06-09,960.0
2023-06-12,960.0
2023-06-13,984.0
2023-06-14,944.0
2023-06-15,945.5999755859375
2023-06-16,924.7999877929688
2023-06-20,944.0
2023-06-21,884.7999877929688
2023-06-22,900.7999877929688
2023-06-23,800.0
2023-06-26,736.0
2023-06-27,675.2000122070312
2023-06-28,712.0
2023-06-29,688.0
2023-06-30,720.0
2023-07-03,720.0
2023-07-05,720.0
2023-07-06,716.7999877929688
2023-07-07,715.2000122070312
2023-07-10,699.2000122070312
2023-07-11,720.0
2023-07-12,704.0
2023-07-13,704.0
2023-07-14,680.0
2023-07-17,680.0
2023-07-18,686.4000244140625
2023-07-19,684.7999877929688
2023-07-20,672.0
2023-07-21,652.7999877929688
2023-07-24,627.2000122070312
2023-07-25,640.0
2023-07-26,632.0
2023-07-27,624.0
2023-07-28,640.0
2023-07-31,636.7999877929688
2023-08-01,649.5999755859375
2023-08-02,633.5999755859375
2023-08-03,632.0
2023-08-04,622.4000244140625
2023-08-07,601.5999755859375
2023-08-08,592.0
2023-08-09,579.2000122070312
2023-08-10,547.2000122070312
2023-08-11,524.7999877929688
2023-08-14,513.5999755859375
2023-08-15,488.0
2023-08-16,486.3999938964844
2023-08-17,640.0
2023-08-18,676.0
2023-08-21,480.0
2023-08-22,400.3999938964844
2023-08-23,422.3999938964844
2023-08-24,394.3999938964844
2023-08-25,364.3999938964844
2023-08-28,304.79998779296875
2023-08-29,348.0
2023-08-30,392.0
2023-08-31,2200.0
2023-09-01,1654.4000244140625
2023-09-05,1472.0
2023-09-06,1318.0
2023-09-07,1177.199951171875
2023-09-08,1140.0
2023-09-11,1020.0
2023-09-12,915.5999755859375
2023-09-13,916.4000244140625
2023-09-14,818.4000244140625
2023-09-15,780.7999877929688
2023-09-18,727.5999755859375
2023-09-19,730.0
2023-09-20,718.7999877929688
2023-09-21,719.5999755859375
2023-09-22,723.5999755859375
2023-09-25,613.2000122070312
2023-09-26,521.2000122070312
2023-09-27,521.5999755859375
2023-09-28,543.5999755859375
2023-09-29,499.6000061035156
2023-10-02,477.6000061035156
2023-10-03,460.0
