Date,BW
2022-02-28,7.010000228881836
2022-03-01,6.940000057220459
2022-03-02,7.099999904632568
2022-03-03,6.989999771118164
2022-03-04,6.809999942779541
2022-03-07,6.829999923706055
2022-03-08,7.170000076293945
2022-03-09,7.639999866485596
2022-03-10,8.140000343322754
2022-03-11,7.940000057220459
2022-03-14,7.789999961853027
2022-03-15,8.649999618530273
2022-03-16,8.710000038146973
2022-03-17,8.770000457763672
2022-03-18,8.510000228881836
2022-03-21,8.489999771118164
2022-03-22,8.710000038146973
2022-03-23,8.430000305175781
2022-03-24,8.529999732971191
2022-03-25,8.449999809265137
2022-03-28,8.34000015258789
2022-03-29,8.449999809265137
2022-03-30,8.229999542236328
2022-03-31,8.15999984741211
2022-04-01,8.489999771118164
2022-04-04,8.460000038146973
2022-04-05,8.3100004196167
2022-04-06,8.100000381469727
2022-04-07,7.960000038146973
2022-04-08,7.78000020980835
2022-04-11,7.800000190734863
2022-04-12,7.639999866485596
2022-04-13,7.75
2022-04-14,7.730000019073486
2022-04-18,7.829999923706055
2022-04-19,8.15999984741211
2022-04-20,8.399999618530273
2022-04-21,8.039999961853027
2022-04-22,7.599999904632568
2022-04-25,7.710000038146973
2022-04-26,7.300000190734863
2022-04-27,7.340000152587891
2022-04-28,7.449999809265137
2022-04-29,7.510000228881836
2022-05-02,7.5
2022-05-03,7.789999961853027
2022-05-04,8.09000015258789
2022-05-05,7.650000095367432
2022-05-06,7.360000133514404
2022-05-09,7.090000152587891
2022-05-10,5.360000133514404
2022-05-11,5.309999942779541
2022-05-12,5.75
2022-05-13,6.329999923706055
2022-05-16,6.860000133514404
2022-05-17,6.949999809265137
2022-05-18,6.349999904632568
2022-05-19,6.21999979019165
2022-05-20,6.190000057220459
2022-05-23,6.440000057220459
2022-05-24,6.210000038146973
2022-05-25,6.449999809265137
2022-05-26,6.710000038146973
2022-05-27,6.949999809265137
2022-05-31,6.550000190734863
2022-06-01,6.639999866485596
2022-06-02,6.889999866485596
2022-06-03,6.980000019073486
2022-06-06,7.010000228881836
2022-06-07,7.269999980926514
2022-06-08,7.53000020980835
2022-06-09,7.159999847412109
2022-06-10,7.010000228881836
2022-06-13,6.5
2022-06-14,6.360000133514404
2022-06-15,6.579999923706055
2022-06-16,5.900000095367432
2022-06-17,5.989999771118164
2022-06-21,6.170000076293945
2022-06-22,6.070000171661377
2022-06-23,5.809999942779541
2022-06-24,6.369999885559082
2022-06-27,6.369999885559082
2022-06-28,6.139999866485596
2022-06-29,5.880000114440918
2022-06-30,6.03000020980835
2022-07-01,5.989999771118164
2022-07-05,6.019999980926514
2022-07-06,5.820000171661377
2022-07-07,6.139999866485596
2022-07-08,6.139999866485596
2022-07-11,6.03000020980835
2022-07-12,6.039999961853027
2022-07-13,6.039999961853027
2022-07-14,6.010000228881836
2022-07-15,5.860000133514404
2022-07-18,6.019999980926514
2022-07-19,6.900000095367432
2022-07-20,7.090000152587891
2022-07-21,7.269999980926514
2022-07-22,7.0
2022-07-25,7.260000228881836
2022-07-26,7.190000057220459
2022-07-27,7.309999942779541
2022-07-28,7.599999904632568
2022-07-29,7.960000038146973
2022-08-01,8.579999923706055
2022-08-02,8.399999618530273
2022-08-03,8.390000343322754
2022-08-04,8.489999771118164
2022-08-05,8.3100004196167
2022-08-08,8.25
2022-08-09,7.5
2022-08-10,7.710000038146973
2022-08-11,8.010000228881836
2022-08-12,8.140000343322754
2022-08-15,8.119999885559082
2022-08-16,7.880000114440918
2022-08-17,7.730000019073486
2022-08-18,7.820000171661377
2022-08-19,7.510000228881836
2022-08-22,7.369999885559082
2022-08-23,7.800000190734863
2022-08-24,8.0600004196167
