Date,EB
2022-02-28,15.109999656677246
2022-03-01,14.380000114440918
2022-03-02,14.359999656677246
2022-03-03,13.710000038146973
2022-03-04,13.770000457763672
2022-03-07,13.100000381469727
2022-03-08,13.210000038146973
2022-03-09,13.829999923706055
2022-03-10,14.140000343322754
2022-03-11,13.649999618530273
2022-03-14,13.470000267028809
2022-03-15,14.039999961853027
2022-03-16,14.920000076293945
2022-03-17,14.880000114440918
2022-03-18,14.449999809265137
2022-03-21,14.0
2022-03-22,14.300000190734863
2022-03-23,13.75
2022-03-24,14.239999771118164
2022-03-25,14.069999694824219
2022-03-28,14.5
2022-03-29,15.050000190734863
2022-03-30,14.649999618530273
2022-03-31,14.770000457763672
2022-04-01,14.930000305175781
2022-04-04,15.569999694824219
2022-04-05,14.739999771118164
2022-04-06,14.199999809265137
2022-04-07,14.0
2022-04-08,13.579999923706055
2022-04-11,13.210000038146973
2022-04-12,13.289999961853027
2022-04-13,13.789999961853027
2022-04-14,13.369999885559082
2022-04-18,13.100000381469727
2022-04-19,13.239999771118164
2022-04-20,12.579999923706055
2022-04-21,11.859999656677246
2022-04-22,11.350000381469727
2022-04-25,11.789999961853027
2022-04-26,11.0
2022-04-27,10.630000114440918
2022-04-28,11.0
2022-04-29,10.579999923706055
2022-05-02,11.3100004196167
2022-05-03,11.84000015258789
2022-05-04,12.449999809265137
2022-05-05,11.630000114440918
2022-05-06,11.1899995803833
2022-05-09,10.649999618530273
2022-05-10,10.8100004196167
2022-05-11,10.680000305175781
2022-05-12,10.890000343322754
2022-05-13,11.720000267028809
2022-05-16,11.550000190734863
2022-05-17,12.020000457763672
2022-05-18,11.5
2022-05-19,11.9399995803833
2022-05-20,12.210000038146973
2022-05-23,12.329999923706055
2022-05-24,11.819999694824219
2022-05-25,12.420000076293945
2022-05-26,11.84000015258789
2022-05-27,12.5
2022-05-31,11.729999542236328
2022-06-01,11.779999732971191
2022-06-02,12.6899995803833
2022-06-03,12.460000038146973
2022-06-06,12.510000228881836
2022-06-07,12.680000305175781
2022-06-08,12.550000190734863
2022-06-09,12.100000381469727
2022-06-10,11.539999961853027
2022-06-13,10.75
2022-06-14,10.539999961853027
2022-06-15,10.470000267028809
2022-06-16,9.8100004196167
2022-06-17,10.449999809265137
2022-06-21,10.600000381469727
2022-06-22,10.699999809265137
2022-06-23,10.930000305175781
2022-06-24,11.4399995803833
2022-06-27,11.149999618530273
2022-06-28,10.510000228881836
2022-06-29,10.430000305175781
2022-06-30,10.270000457763672
2022-07-01,10.4399995803833
2022-07-05,10.65999984741211
2022-07-06,10.449999809265137
2022-07-07,10.619999885559082
2022-07-08,10.520000457763672
2022-07-11,10.229999542236328
2022-07-12,10.359999656677246
2022-07-13,10.220000267028809
2022-07-14,10.3100004196167
2022-07-15,10.680000305175781
2022-07-18,10.680000305175781
2022-07-19,11.300000190734863
2022-07-20,11.5600004196167
2022-07-21,11.680000305175781
2022-07-22,11.449999809265137
2022-07-25,11.069999694824219
2022-07-26,10.5
2022-07-27,10.920000076293945
2022-07-28,10.609999656677246
2022-07-29,9.359999656677246
2022-08-01,8.510000228881836
2022-08-02,8.149999618530273
2022-08-03,8.300000190734863
2022-08-04,8.180000305175781
2022-08-05,8.170000076293945
2022-08-08,8.420000076293945
2022-08-09,7.789999961853027
2022-08-10,8.260000228881836
2022-08-11,8.15999984741211
2022-08-12,8.1899995803833
2022-08-15,7.989999771118164
2022-08-16,8.020000457763672
2022-08-17,7.539999961853027
2022-08-18,7.71999979019165
2022-08-19,7.409999847412109
2022-08-22,7.309999942779541
2022-08-23,7.329999923706055
2022-08-24,7.630000114440918
2022-08-25,7.78000020980835
2022-08-26,7.380000114440918
2022-08-29,7.320000171661377
2022-08-30,7.230000019073486
2022-08-31,7.110000133514404
2022-09-01,7.039999961853027
2022-09-02,6.949999809265137
2022-09-06,6.800000190734863
2022-09-07,6.989999771118164
2022-09-08,7.25
2022-09-09,7.690000057220459
2022-09-12,8.050000190734863
2022-09-13,7.519999980926514
2022-09-14,7.639999866485596
2022-09-15,7.630000114440918
2022-09-16,7.380000114440918
2022-09-19,7.0
2022-09-20,6.75
2022-09-21,6.739999771118164
2022-09-22,6.579999923706055
2022-09-23,6.320000171661377
2022-09-26,6.230000019073486
2022-09-27,6.179999828338623
2022-09-28,6.590000152587891
2022-09-29,6.079999923706055
