Date,GWAV
2023-02-14,172.5
2023-02-15,169.8000030517578
2023-02-16,169.5
2023-02-17,162.0
2023-02-21,162.0
2023-02-22,160.5
2023-02-23,150.0
2023-02-24,141.60000610351562
2023-02-27,147.0
2023-02-28,181.5
2023-03-01,171.0
2023-03-02,174.0
2023-03-03,169.5
2023-03-06,160.5
2023-03-07,154.5
2023-03-08,157.5
2023-03-09,160.5
2023-03-10,165.0
2023-03-13,156.0
2023-03-14,156.0
2023-03-15,150.0
2023-03-16,153.0
2023-03-17,157.5
2023-03-20,156.0
2023-03-21,154.5
2023-03-22,159.0
2023-03-23,151.5
2023-03-24,156.0
2023-03-27,157.5
2023-03-28,153.0
2023-03-29,151.5
2023-03-30,153.0
2023-03-31,148.1999969482422
2023-04-03,139.5
2023-04-04,147.75
2023-04-05,145.5
2023-04-06,147.0
2023-04-10,143.25
2023-04-11,144.0
2023-04-12,144.4499969482422
2023-04-13,144.0
2023-04-14,142.5
2023-04-17,142.5
2023-04-18,145.9499969482422
2023-04-19,139.0500030517578
2023-04-20,136.5
2023-04-21,140.25
2023-04-24,132.0
2023-04-25,132.0
2023-04-26,129.3000030517578
2023-04-27,127.5
2023-04-28,130.5
2023-05-01,131.10000610351562
2023-05-02,127.19999694824219
2023-05-03,123.0
2023-05-04,124.5
2023-05-05,119.55000305175781
2023-05-08,124.5
2023-05-09,126.0
2023-05-10,120.0
2023-05-11,124.5
2023-05-12,127.5
2023-05-15,130.64999389648438
2023-05-16,125.25
2023-05-17,127.5
2023-05-18,133.5
2023-05-19,128.25
2023-05-22,128.85000610351562
2023-05-23,129.3000030517578
2023-05-24,127.80000305175781
2023-05-25,125.8499984741211
2023-05-26,124.19999694824219
2023-05-30,124.05000305175781
2023-05-31,117.0
2023-06-01,127.05000305175781
2023-06-02,122.25
2023-06-05,123.0
2023-06-06,118.5
2023-06-07,123.0
2023-06-08,119.25
2023-06-09,117.0
2023-06-12,119.8499984741211
2023-06-13,121.5
2023-06-14,129.75
2023-06-15,129.0
2023-06-16,131.5500030517578
2023-06-20,125.8499984741211
2023-06-21,123.5999984741211
2023-06-22,117.0
2023-06-23,117.75
2023-06-26,116.25
2023-06-27,117.75
2023-06-28,118.5
2023-06-29,116.55000305175781
2023-06-30,114.1500015258789
2023-07-03,117.75
2023-07-05,120.0
2023-07-06,115.5
2023-07-07,109.5
2023-07-10,106.5
2023-07-11,111.9000015258789
2023-07-12,108.1500015258789
2023-07-13,116.25
2023-07-14,118.5
2023-07-17,120.0
2023-07-18,120.0
2023-07-19,118.5
2023-07-20,112.5
2023-07-21,114.1500015258789
2023-07-24,118.05000305175781
2023-07-25,118.5
2023-07-26,118.5
2023-07-27,125.55000305175781
2023-07-28,147.0
2023-07-31,145.5
2023-08-01,157.5
2023-08-02,153.0
2023-08-03,157.5
2023-08-04,158.25
2023-08-07,156.0
2023-08-08,165.0
2023-08-09,159.0
2023-08-10,162.0
2023-08-11,157.5
2023-08-14,160.5
2023-08-15,154.5
2023-08-16,156.0
2023-08-17,154.5
2023-08-18,153.0
2023-08-21,149.25
2023-08-22,138.0
2023-08-23,130.5
2023-08-24,133.35000610351562
2023-08-25,132.75
2023-08-28,133.5
2023-08-29,144.0
2023-08-30,139.5
2023-08-31,124.5
2023-09-01,124.6500015258789
2023-09-05,121.5
2023-09-06,112.5
2023-09-07,117.0
2023-09-08,123.1500015258789
2023-09-11,118.6500015258789
2023-09-12,126.0
2023-09-13,111.0
2023-09-14,112.5
2023-09-15,108.0
2023-09-18,99.5999984741211
2023-09-19,105.0
2023-09-20,103.5
2023-09-21,95.55000305175781
2023-09-22,93.75
2023-09-25,94.80000305175781
2023-09-26,92.8499984741211
2023-09-27,104.55000305175781
2023-09-28,110.25
2023-09-29,102.0
2023-10-02,92.8499984741211
2023-10-03,89.8499984741211
2023-10-04,90.0
2023-10-05,93.0
2023-10-06,97.19999694824219
2023-10-09,99.0
2023-10-10,101.8499984741211
2023-10-11,97.19999694824219
2023-10-12,90.75
2023-10-13,88.5
2023-10-16,79.5
2023-10-17,90.30000305175781
2023-10-18,90.30000305175781
2023-10-19,87.0
2023-10-20,84.0
2023-10-23,86.4000015258789
2023-10-24,88.5
2023-10-25,87.5999984741211
2023-10-26,85.5
2023-10-27,84.5999984741211
2023-10-30,88.05000305175781
2023-10-31,88.05000305175781
2023-11-01,88.05000305175781
2023-11-02,87.9000015258789
2023-11-03,88.6500015258789
2023-11-06,85.80000305175781
2023-11-07,84.1500015258789
2023-11-08,85.5
2023-11-09,87.0
2023-11-10,84.0
2023-11-13,82.80000305175781
2023-11-14,83.4000015258789
2023-11-15,72.75
2023-11-16,69.9000015258789
2023-11-17,76.19999694824219
2023-11-20,72.30000305175781
2023-11-21,72.0
2023-11-22,74.4000015258789
2023-11-24,73.5
2023-11-27,71.25
2023-11-28,73.5
2023-11-29,69.30000305175781
2023-11-30,69.0
2023-12-01,72.0
2023-12-04,70.5
2023-12-05,72.0
2023-12-06,70.5
2023-12-07,66.0
2023-12-08,69.0
2023-12-11,62.25
2023-12-12,60.900001525878906
2023-12-13,60.900001525878906
2023-12-14,70.3499984741211
2023-12-15,81.0
2023-12-18,64.5
2023-12-19,64.6500015258789
2023-12-20,70.5
2023-12-21,69.30000305175781
2023-12-22,78.0
2023-12-26,81.0
2023-12-27,85.19999694824219
2023-12-28,76.6500015258789
2023-12-29,84.75
2024-01-02,90.44999694824219
2024-01-03,94.5
2024-01-04,93.0
2024-01-05,93.1500015258789
2024-01-08,100.3499984741211
2024-01-09,104.55000305175781
2024-01-10,105.0
2024-01-11,107.55000305175781
2024-01-12,110.25
2024-01-16,109.05000305175781
2024-01-17,102.0
2024-01-18,103.6500015258789
2024-01-19,103.94999694824219
2024-01-22,110.55000305175781
2024-01-23,114.1500015258789
2024-01-24,118.80000305175781
2024-01-25,124.5
2024-01-26,129.4499969482422
2024-01-29,120.0
2024-01-30,126.0
2024-01-31,123.75
2024-02-01,138.0
2024-02-02,148.5
2024-02-05,150.0
2024-02-06,137.85000610351562
2024-02-07,134.85000610351562
2024-02-08,129.0
2024-02-09,131.85000610351562
2024-02-12,137.39999389648438
2024-02-13,133.0500030517578
2024-02-14,127.19999694824219
2024-02-15,121.80000305175781
2024-02-16,117.75
2024-02-20,113.25
2024-02-21,111.0
2024-02-22,109.5
2024-02-23,106.94999694824219
2024-02-26,109.5
2024-02-27,107.0999984741211
2024-02-28,108.1500015258789
2024-02-29,106.5
2024-03-01,111.1500015258789
2024-03-04,104.8499984741211
2024-03-05,97.5
2024-03-06,90.0
2024-03-07,74.8499984741211
2024-03-08,75.0
2024-03-11,67.19999694824219
2024-03-12,63.0
2024-03-13,60.0
2024-03-14,49.5
2024-03-15,45.45000076293945
2024-03-18,55.95000076293945
2024-03-19,23.549999237060547
2024-03-20,20.549999237060547
2024-03-21,19.350000381469727
2024-03-22,18.299999237060547
2024-03-25,22.799999237060547
2024-03-26,20.25
2024-03-27,19.049999237060547
2024-03-28,18.149999618530273
2024-04-01,22.049999237060547
2024-04-02,20.549999237060547
2024-04-03,22.350000381469727
2024-04-04,21.75
2024-04-05,21.299999237060547
2024-04-08,20.399999618530273
2024-04-09,20.549999237060547
2024-04-10,20.25
2024-04-11,19.649999618530273
2024-04-12,18.299999237060547
2024-04-15,17.700000762939453
2024-04-16,19.200000762939453
2024-04-17,18.299999237060547
2024-04-18,18.75
2024-04-19,17.549999237060547
2024-04-22,18.899999618530273
2024-04-23,10.5
2024-04-24,10.199999809265137
2024-04-25,10.350000381469727
2024-04-26,10.050000190734863
2024-04-29,9.75
2024-04-30,9.899999618530273
2024-05-01,9.300000190734863
2024-05-02,9.300000190734863
2024-05-03,9.75
2024-05-06,9.449999809265137
2024-05-07,9.149999618530273
2024-05-08,8.699999809265137
2024-05-09,10.5
2024-05-10,6.599999904632568
2024-05-13,6.300000190734863
2024-05-14,6.75
2024-05-15,9.0
2024-05-16,22.200000762939453
2024-05-17,23.100000381469727
2024-05-20,23.700000762939453
2024-05-21,8.850000381469727
2024-05-22,11.850000381469727
2024-05-23,13.350000381469727
2024-05-24,12.75
2024-05-28,11.850000381469727
2024-05-29,7.349999904632568
2024-05-30,6.300000190734863
2024-05-31,5.849999904632568
2024-06-03,4.269999980926514
2024-06-04,4.25
2024-06-05,4.03000020980835
2024-06-06,3.4800000190734863
2024-06-07,3.1500000953674316
2024-06-10,2.9100000858306885
2024-06-11,2.049999952316284
2024-06-12,2.0
2024-06-13,1.940000057220459
2024-06-14,1.8799999952316284
2024-06-17,1.850000023841858
2024-06-18,1.7599999904632568
2024-06-20,1.7400000095367432
2024-06-21,1.6699999570846558
2024-06-24,1.7000000476837158
2024-06-25,1.7100000381469727
2024-06-26,1.7200000286102295
2024-06-27,1.850000023841858
2024-06-28,1.7699999809265137
2024-07-01,1.7300000190734863
2024-07-02,1.649999976158142
2024-07-03,1.659999966621399
2024-07-05,1.5700000524520874
2024-07-08,1.5499999523162842
2024-07-09,1.600000023841858
2024-07-10,1.5499999523162842
2024-07-11,1.7100000381469727
2024-07-12,1.7799999713897705
2024-07-15,1.7000000476837158
2024-07-16,1.7400000095367432
2024-07-17,1.7000000476837158
2024-07-18,1.6399999856948853
2024-07-19,1.6100000143051147
2024-07-22,1.5800000429153442
2024-07-23,1.5099999904632568
2024-07-24,1.5
2024-07-25,1.4500000476837158
2024-07-26,1.440000057220459
2024-07-29,1.3700000047683716
2024-07-30,1.2999999523162842
2024-07-31,1.1799999475479126
2024-08-01,0.9110000133514404
2024-08-02,0.6589999794960022
2024-08-05,0.5720000267028809
2024-08-06,0.5450000166893005
2024-08-07,0.49399998784065247
2024-08-08,0.4699999988079071
2024-08-09,0.42500001192092896
2024-08-12,0.5170000195503235
2024-08-13,0.49300000071525574
2024-08-14,0.4880000054836273
2024-08-15,0.4959999918937683
2024-08-16,0.5400000214576721
2024-08-19,0.5400000214576721
2024-08-20,0.49399998784065247
2024-08-21,0.4580000042915344
2024-08-22,0.4699999988079071
2024-08-23,0.4830000102519989
2024-08-26,0.4950000047683716
2024-08-27,0.5410000085830688
2024-08-28,0.4659999907016754
2024-08-29,0.4620000123977661
2024-08-30,0.4659999907016754
2024-09-03,0.4230000078678131
2024-09-04,0.421999990940094
2024-09-05,0.3970000147819519
2024-09-06,0.3930000066757202
2024-09-09,0.4050000011920929
2024-09-10,0.3970000147819519
2024-09-11,0.4020000100135803
2024-09-12,0.4189999997615814
2024-09-13,0.4490000009536743
2024-09-16,0.4099999964237213
2024-09-17,0.4020000100135803
2024-09-18,0.4230000078678131
2024-09-19,0.4129999876022339
2024-09-20,0.4050000011920929
2024-09-23,0.40400001406669617
2024-09-24,0.40799999237060547
2024-09-25,0.40299999713897705
2024-09-26,0.40799999237060547
2024-09-27,0.41200000047683716
2024-09-30,0.4269999861717224
2024-10-01,0.3919999897480011
2024-10-02,0.37299999594688416
2024-10-03,0.39100000262260437
2024-10-04,0.4020000100135803
