Date,MULN
2023-01-12,877500.0
2023-01-13,810000.0
2023-01-17,675000.0
2023-01-18,630000.0
2023-01-19,607500.0
2023-01-20,675000.0
2023-01-23,675000.0
2023-01-24,652500.0
2023-01-25,787500.0
2023-01-26,720000.0
2023-01-27,742500.0
2023-01-30,742500.0
2023-01-31,765000.0
2023-02-01,787500.0
2023-02-02,855000.0
2023-02-03,922500.0
2023-02-06,945000.0
2023-02-07,922500.0
2023-02-08,877500.0
2023-02-09,810000.0
2023-02-10,810000.0
2023-02-13,855000.0
2023-02-14,855000.0
2023-02-15,765000.0
2023-02-16,652500.0
2023-02-17,607500.0
2023-02-21,562500.0
2023-02-22,585000.0
2023-02-23,540000.0
2023-02-24,517500.0
2023-02-27,495000.0
2023-02-28,517500.0
2023-03-01,495000.0
2023-03-02,472500.0
2023-03-03,495000.0
2023-03-06,517500.0
2023-03-07,472500.0
2023-03-08,427500.0
2023-03-09,405000.0
2023-03-10,382500.0
2023-03-13,360000.0
2023-03-14,360000.0
2023-03-15,337500.0
2023-03-16,337500.0
2023-03-17,315000.0
2023-03-20,292500.0
2023-03-21,315000.0
2023-03-22,270000.0
2023-03-23,247500.0
2023-03-24,247500.0
2023-03-27,225000.0
2023-03-28,202500.0
2023-03-29,225000.0
2023-03-30,270000.0
2023-03-31,292500.0
2023-04-03,247500.0
2023-04-04,247500.0
2023-04-05,225000.0
2023-04-06,225000.0
2023-04-10,247500.0
2023-04-11,247500.0
2023-04-12,247500.0
2023-04-13,225000.0
2023-04-14,225000.0
2023-04-17,225000.0
2023-04-18,202500.0
2023-04-19,202500.0
2023-04-20,180000.0
2023-04-21,225000.0
2023-04-24,225000.0
2023-04-25,202500.0
2023-04-26,180000.0
2023-04-27,157500.0
2023-04-28,180000.0
2023-05-01,157500.0
2023-05-02,180000.0
2023-05-03,135000.0
2023-05-04,132300.0
2023-05-05,135000.0
2023-05-08,133200.0
2023-05-09,129600.0
2023-05-10,125100.0
2023-05-11,126000.0
