Date,CRKN
2022-02-28,17460.0
2022-03-01,17370.0
2022-03-02,17550.0
2022-03-03,16515.0
2022-03-04,16200.0
2022-03-07,15930.0
2022-03-08,16650.0
2022-03-09,16830.0
2022-03-10,17280.0
2022-03-11,16020.0
2022-03-14,11880.0
2022-03-15,11970.0
2022-03-16,12420.0
2022-03-17,13770.0
2022-03-18,15120.0
2022-03-21,15840.0
2022-03-22,15480.0
2022-03-23,15840.0
2022-03-24,15120.0
2022-03-25,15030.0
2022-03-28,14580.0
2022-03-29,15300.0
2022-03-30,16200.0
2022-03-31,16380.0
2022-04-01,16200.0
2022-04-04,16830.0
2022-04-05,14580.0
2022-04-06,13860.0
2022-04-07,13320.0
2022-04-08,14112.0
2022-04-11,13950.0
2022-04-12,14670.0
2022-04-13,11790.0
2022-04-14,11880.0
2022-04-18,11970.0
2022-04-19,11430.0
2022-04-20,12060.0
2022-04-21,11970.0
2022-04-22,11430.0
2022-04-25,11070.0
2022-04-26,10170.0
2022-04-27,9900.0
2022-04-28,9990.0
2022-04-29,10170.0
2022-05-02,10530.0
2022-05-03,10800.0
2022-05-04,10620.0
2022-05-05,9630.0
2022-05-06,9270.0
2022-05-09,9000.0
2022-05-10,9000.0
2022-05-11,9000.0
2022-05-12,8640.0
2022-05-13,8289.0
2022-05-16,9000.0
2022-05-17,9000.0
2022-05-18,8775.0
2022-05-19,8685.0
2022-05-20,8460.0
2022-05-23,8685.0
2022-05-24,8604.0
2022-05-25,8964.0
2022-05-26,8865.0
2022-05-27,8910.0
2022-05-31,8865.0
2022-06-01,9090.0
2022-06-02,10080.0
2022-06-03,10080.0
2022-06-06,10125.0
2022-06-07,11250.0
2022-06-08,10710.0
2022-06-09,9720.0
2022-06-10,9990.0
2022-06-13,8865.0
2022-06-14,8964.0
2022-06-15,7965.0
2022-06-16,7812.0
2022-06-17,8415.0
2022-06-21,9450.0
2022-06-22,9810.0
2022-06-23,9000.0
2022-06-24,8820.0
2022-06-27,9000.0
2022-06-28,8775.0
2022-06-29,8415.0
2022-06-30,8190.0
2022-07-01,8730.0
2022-07-05,8784.0
2022-07-06,9900.0
2022-07-07,9990.0
2022-07-08,10584.0
2022-07-11,9936.0
2022-07-12,9450.0
2022-07-13,9540.0
2022-07-14,9450.0
2022-07-15,9630.0
2022-07-18,9675.0
2022-07-19,9990.0
2022-07-20,8055.0
2022-07-21,7920.0
2022-07-22,7650.0
2022-07-25,7650.0
2022-07-26,7308.0
2022-07-27,7650.0
2022-07-28,7290.0
2022-07-29,7578.0
2022-08-01,7542.0
2022-08-02,7920.0
2022-08-03,8316.0
2022-08-04,7965.0
2022-08-05,7623.0
2022-08-08,7209.0
2022-08-09,6525.0
2022-08-10,6822.0
2022-08-11,6750.0
2022-08-12,6930.0
2022-08-15,6966.0
2022-08-16,6570.0
2022-08-17,6390.0
2022-08-18,6030.0
2022-08-19,6210.0
2022-08-22,5832.0
2022-08-23,5382.0
2022-08-24,5355.0
2022-08-25,4329.0
2022-08-26,4509.0
2022-08-29,4311.0
2022-08-30,4185.0
2022-08-31,3672.0
2022-09-01,3528.0
2022-09-02,3510.0
2022-09-06,3636.0
2022-09-07,4050.0
2022-09-08,3915.0
2022-09-09,3861.0
2022-09-12,3681.0
2022-09-13,3465.0
2022-09-14,3420.0
2022-09-15,3168.0
2022-09-16,2979.0
2022-09-19,2943.0
2022-09-20,3375.0
2022-09-21,3240.0
2022-09-22,3600.0
2022-09-23,3060.0
2022-09-26,2520.0
2022-09-27,2439.0
2022-09-28,2520.0
2022-09-29,2259.0
2022-09-30,2061.0
2022-10-03,1818.0
2022-10-04,1728.0
2022-10-05,2988.0
2022-10-06,2214.0
2022-10-07,2340.0
2022-10-10,3186.0
2022-10-11,2619.0
2022-10-12,2520.0
2022-10-13,2691.0
2022-10-14,2421.0
2022-10-17,2646.0
2022-10-18,2898.0
2022-10-19,2610.0
2022-10-20,2340.0
2022-10-21,2376.0
2022-10-24,2205.0
2022-10-25,2448.0
2022-10-26,2439.0
2022-10-27,2349.0
2022-10-28,2313.0
2022-10-31,2286.0
2022-11-01,2250.0
2022-11-02,2160.0
2022-11-03,2160.0
2022-11-04,2250.0
2022-11-07,2250.0
2022-11-08,2133.0
2022-11-09,1881.0
2022-11-10,2250.0
2022-11-11,2160.0
2022-11-14,2124.0
2022-11-15,2070.0
2022-11-16,2007.0
2022-11-17,1926.0
2022-11-18,1872.0
2022-11-21,1791.0
2022-11-22,1827.0
2022-11-23,1854.0
2022-11-25,1845.0
2022-11-28,1800.0
2022-11-29,1719.0
2022-11-30,1845.0
2022-12-01,1890.0
2022-12-02,1737.0
2022-12-05,1647.0
2022-12-06,1440.0
2022-12-07,1350.0
2022-12-08,1323.0
2022-12-09,1224.0
2022-12-12,1035.0
2022-12-13,1179.0
2022-12-14,1386.0
2022-12-15,1656.0
2022-12-16,1845.0
2022-12-19,1593.0
2022-12-20,1440.0
2022-12-21,1467.0
2022-12-22,1467.0
2022-12-23,1476.0
2022-12-27,1485.0
2022-12-28,1512.0
2022-12-29,1647.0
2022-12-30,1701.0
2023-01-03,1665.0
2023-01-04,2664.0
2023-01-05,2169.0
2023-01-06,2385.0
2023-01-09,2268.0
2023-01-10,2448.0
2023-01-11,2565.0
2023-01-12,2592.0
2023-01-13,2601.0
2023-01-17,2475.0
2023-01-18,2241.0
2023-01-19,2277.0
2023-01-20,2439.0
2023-01-23,2286.0
2023-01-24,2250.0
2023-01-25,2160.0
2023-01-26,2385.0
2023-01-27,2583.0
2023-01-30,2610.0
2023-01-31,2340.0
2023-02-01,2547.0
2023-02-02,2880.0
2023-02-03,3087.0
2023-02-06,2718.0
2023-02-07,2655.0
2023-02-08,2430.0
2023-02-09,2340.0
2023-02-10,2655.0
2023-02-13,2475.0
2023-02-14,2511.0
2023-02-15,2673.0
2023-02-16,2673.0
2023-02-17,2574.0
2023-02-21,2466.0
2023-02-22,2439.0
2023-02-23,2430.0
2023-02-24,2475.0
2023-02-27,2412.0
2023-02-28,2304.0
2023-03-01,2232.0
2023-03-02,2376.0
2023-03-03,2295.0
2023-03-06,2160.0
2023-03-07,2133.0
2023-03-08,1917.0
2023-03-09,1710.0
2023-03-10,1800.0
2023-03-13,1593.0
2023-03-14,1539.0
2023-03-15,1458.0
2023-03-16,1611.0
2023-03-17,1530.0
2023-03-20,1494.0
2023-03-21,1467.0
2023-03-22,1494.0
2023-03-23,1413.0
2023-03-24,1413.0
2023-03-27,1332.0
2023-03-28,1152.0
2023-03-29,1269.0
2023-03-30,1530.0
2023-03-31,1296.0
2023-04-03,1098.0
2023-04-04,972.0
2023-04-05,1143.0
2023-04-06,1044.0
2023-04-10,1035.0
2023-04-11,1080.0
2023-04-12,1035.0
2023-04-13,1044.0
2023-04-14,1035.0
2023-04-17,1035.0
2023-04-18,1026.0
2023-04-19,972.0
2023-04-20,900.0
2023-04-21,873.0
2023-04-24,756.0
2023-04-25,756.0
2023-04-26,1368.0
2023-04-27,1269.0
2023-04-28,1440.0
2023-05-01,1413.0
2023-05-02,1278.0
2023-05-03,1296.0
2023-05-04,1134.0
2023-05-05,990.0
2023-05-08,1314.0
2023-05-09,1431.0
2023-05-10,1548.0
2023-05-11,1674.0
2023-05-12,1746.0
2023-05-15,1944.0
2023-05-16,1638.0
2023-05-17,1809.0
2023-05-18,1656.0
2023-05-19,1530.0
2023-05-22,1395.0
2023-05-23,1395.0
2023-05-24,1413.0
2023-05-25,1440.0
2023-05-26,1377.0
2023-05-30,1395.0
2023-05-31,1323.0
2023-06-01,1341.0
2023-06-02,1332.0
2023-06-05,1341.0
2023-06-06,1341.0
2023-06-07,1359.0
2023-06-08,1269.0
2023-06-09,1350.0
2023-06-12,1431.0
2023-06-13,1521.0
2023-06-14,1575.0
2023-06-15,1350.0
2023-06-16,1323.0
2023-06-20,1314.0
2023-06-21,1305.0
2023-06-22,1287.0
2023-06-23,1278.0
2023-06-26,1251.0
2023-06-27,1260.0
2023-06-28,1251.0
2023-06-29,1260.0
2023-06-30,1179.0
2023-07-03,1107.0
2023-07-05,1107.0
2023-07-06,1044.0
2023-07-07,1062.0
2023-07-10,918.0
2023-07-11,981.0
2023-07-12,828.0
2023-07-13,792.0
2023-07-14,720.0
2023-07-17,792.0
2023-07-18,792.0
2023-07-19,756.0
2023-07-20,783.0
2023-07-21,756.0
2023-07-24,720.0
2023-07-25,648.0
2023-07-26,630.0
2023-07-27,621.0
2023-07-28,630.0
2023-07-31,630.0
2023-08-01,621.0
2023-08-02,540.0
2023-08-03,513.0
2023-08-04,504.0
2023-08-07,468.0
2023-08-08,486.0
2023-08-09,504.0
2023-08-10,504.0
2023-08-11,522.0
2023-08-14,396.0
2023-08-15,326.3999938964844
2023-08-16,271.5
2023-08-17,248.25
2023-08-18,276.0
2023-08-21,253.5
2023-08-22,256.5
2023-08-23,207.0
2023-08-24,187.5
2023-08-25,199.5
2023-08-28,181.5
2023-08-29,181.5
2023-08-30,178.5
2023-08-31,184.5
2023-09-01,178.5
2023-09-05,181.5
2023-09-06,165.0
2023-09-07,135.0
2023-09-08,118.5
2023-09-11,121.80000305175781
2023-09-12,123.0
2023-09-13,119.4000015258789
2023-09-14,115.3499984741211
2023-09-15,124.5
2023-09-18,125.0999984741211
2023-09-19,112.80000305175781
2023-09-20,107.8499984741211
2023-09-21,94.3499984741211
2023-09-22,88.05000305175781
2023-09-25,88.6500015258789
2023-09-26,111.75
2023-09-27,88.6500015258789
2023-09-28,72.30000305175781
2023-09-29,66.75
2023-10-02,68.8499984741211
2023-10-03,64.05000305175781
2023-10-04,63.75
2023-10-05,64.5
2023-10-06,60.0
2023-10-09,56.25
2023-10-10,60.0
2023-10-11,60.150001525878906
2023-10-12,57.900001525878906
2023-10-13,52.5
2023-10-16,50.54999923706055
2023-10-17,52.5
2023-10-18,50.099998474121094
2023-10-19,41.25
2023-10-20,40.349998474121094
2023-10-23,37.79999923706055
2023-10-24,37.5
2023-10-25,38.70000076293945
2023-10-26,37.20000076293945
2023-10-27,37.349998474121094
2023-10-30,36.599998474121094
2023-10-31,37.5
2023-11-01,37.349998474121094
2023-11-02,40.20000076293945
2023-11-03,39.75
2023-11-06,37.650001525878906
2023-11-07,35.70000076293945
2023-11-08,36.150001525878906
2023-11-09,33.900001525878906
2023-11-10,33.150001525878906
2023-11-13,32.54999923706055
2023-11-14,30.149999618530273
2023-11-15,28.799999237060547
2023-11-16,28.350000381469727
2023-11-17,29.399999618530273
2023-11-20,32.25
2023-11-21,26.549999237060547
2023-11-22,25.5
2023-11-24,26.700000762939453
2023-11-27,26.850000381469727
2023-11-28,26.850000381469727
2023-11-29,26.25
2023-11-30,25.5
2023-12-01,25.649999618530273
2023-12-04,28.350000381469727
2023-12-05,26.399999618530273
2023-12-06,24.899999618530273
2023-12-07,24.450000762939453
2023-12-08,21.600000381469727
2023-12-11,18.149999618530273
2023-12-12,19.200000762939453
2023-12-13,21.299999237060547
2023-12-14,21.600000381469727
2023-12-15,20.399999618530273
2023-12-18,20.399999618530273
2023-12-19,21.75
2023-12-20,22.799999237060547
2023-12-21,22.5
2023-12-22,21.450000762939453
2023-12-26,21.450000762939453
2023-12-27,22.5
2023-12-28,22.799999237060547
2023-12-29,22.200000762939453
2024-01-02,22.950000762939453
2024-01-03,22.200000762939453
2024-01-04,21.0
2024-01-05,20.399999618530273
2024-01-08,20.549999237060547
2024-01-09,20.399999618530273
2024-01-10,20.549999237060547
2024-01-11,19.350000381469727
2024-01-12,19.649999618530273
2024-01-16,19.350000381469727
2024-01-17,18.149999618530273
2024-01-18,18.0
2024-01-19,18.0
2024-01-22,16.350000381469727
2024-01-23,16.5
2024-01-24,15.899999618530273
2024-01-25,17.100000381469727
2024-01-26,21.75
2024-01-29,21.299999237060547
2024-01-30,19.049999237060547
2024-01-31,19.649999618530273
2024-02-01,19.950000762939453
2024-02-02,18.450000762939453
2024-02-05,17.850000381469727
2024-02-06,16.950000762939453
2024-02-07,16.950000762939453
2024-02-08,17.700000762939453
2024-02-09,19.049999237060547
2024-02-12,17.399999618530273
2024-02-13,15.149999618530273
2024-02-14,15.75
2024-02-15,15.75
2024-02-16,15.149999618530273
2024-02-20,15.300000190734863
2024-02-21,15.0
2024-02-22,15.300000190734863
2024-02-23,15.149999618530273
2024-02-26,15.149999618530273
2024-02-27,15.0
2024-02-28,15.0
2024-02-29,14.850000381469727
2024-03-01,14.100000381469727
2024-03-04,13.649999618530273
2024-03-05,13.350000381469727
2024-03-06,12.899999618530273
2024-03-07,12.75
2024-03-08,12.600000381469727
2024-03-11,12.0
2024-03-12,10.050000190734863
2024-03-13,9.899999618530273
2024-03-14,9.899999618530273
2024-03-15,9.300000190734863
2024-03-18,9.0
2024-03-19,8.699999809265137
2024-03-20,9.300000190734863
2024-03-21,9.0
2024-03-22,9.0
2024-03-25,9.0
2024-03-26,9.149999618530273
2024-03-27,8.850000381469727
2024-03-28,9.0
2024-04-01,8.699999809265137
2024-04-02,7.349999904632568
2024-04-03,7.5
2024-04-04,7.349999904632568
2024-04-05,7.949999809265137
2024-04-08,8.25
2024-04-09,9.149999618530273
2024-04-10,8.100000381469727
2024-04-11,8.25
2024-04-12,8.100000381469727
2024-04-15,7.349999904632568
2024-04-16,7.199999809265137
2024-04-17,7.349999904632568
2024-04-18,7.800000190734863
2024-04-19,8.399999618530273
2024-04-22,7.800000190734863
2024-04-23,7.349999904632568
2024-04-24,7.199999809265137
2024-04-25,7.5
2024-04-26,7.650000095367432
2024-04-29,7.650000095367432
2024-04-30,7.5
2024-05-01,7.349999904632568
2024-05-02,7.050000190734863
2024-05-03,7.050000190734863
2024-05-06,6.75
2024-05-07,7.050000190734863
2024-05-08,6.449999809265137
2024-05-09,7.050000190734863
2024-05-10,6.449999809265137
2024-05-13,6.900000095367432
2024-05-14,7.199999809265137
2024-05-15,6.900000095367432
2024-05-16,36.0
2024-05-17,25.649999618530273
2024-05-20,29.850000381469727
2024-05-21,18.899999618530273
2024-05-22,19.5
2024-05-23,16.950000762939453
2024-05-24,15.149999618530273
2024-05-28,16.200000762939453
2024-05-29,13.199999809265137
2024-05-30,17.100000381469727
2024-05-31,15.0
2024-06-03,17.700000762939453
2024-06-04,15.75
2024-06-05,15.0
2024-06-06,13.050000190734863
2024-06-07,13.5
2024-06-10,12.300000190734863
2024-06-11,12.600000381469727
2024-06-12,12.75
2024-06-13,11.100000381469727
2024-06-14,8.699999809265137
2024-06-17,9.899999618530273
2024-06-18,8.550000190734863
2024-06-20,7.5
2024-06-21,6.150000095367432
2024-06-24,5.699999809265137
2024-06-25,3.9800000190734863
2024-06-26,3.7200000286102295
2024-06-27,5.03000020980835
2024-06-28,4.460000038146973
2024-07-01,4.820000171661377
2024-07-02,4.019999980926514
2024-07-03,4.119999885559082
2024-07-05,3.740000009536743
2024-07-08,3.799999952316284
2024-07-09,3.700000047683716
2024-07-10,3.740000009536743
2024-07-11,3.819999933242798
2024-07-12,3.890000104904175
2024-07-15,3.8299999237060547
2024-07-16,4.190000057220459
2024-07-17,3.7100000381469727
2024-07-18,3.9700000286102295
2024-07-19,3.5299999713897705
2024-07-22,3.700000047683716
2024-07-23,3.5799999237060547
2024-07-24,3.369999885559082
2024-07-25,3.180000066757202
2024-07-26,2.990000009536743
2024-07-29,3.0899999141693115
2024-07-30,2.7300000190734863
2024-07-31,2.6549999713897705
2024-08-01,2.319999933242798
2024-08-02,2.1549999713897705
2024-08-05,2.059999942779541
2024-08-06,2.240000009536743
2024-08-07,1.909999966621399
2024-08-08,2.0799999237060547
2024-08-09,1.9199999570846558
2024-08-12,2.0199999809265137
2024-08-13,1.9700000286102295
2024-08-14,1.7699999809265137
2024-08-15,1.899999976158142
2024-08-16,1.850000023841858
2024-08-19,1.75
2024-08-20,1.7799999713897705
2024-08-21,1.809999942779541
2024-08-22,2.190000057220459
2024-08-23,2.0199999809265137
2024-08-26,2.0299999713897705
2024-08-27,1.8899999856948853
2024-08-28,1.7000000476837158
2024-08-29,1.5149999856948853
2024-08-30,1.409999966621399
2024-09-03,1.4600000381469727
2024-09-04,1.7100000381469727
2024-09-05,1.6100000143051147
2024-09-06,1.5
2024-09-09,1.4900000095367432
2024-09-10,1.2200000286102295
2024-09-11,1.2899999618530273
2024-09-12,1.2400000095367432
2024-09-13,1.3350000381469727
2024-09-16,1.3600000143051147
2024-09-17,1.2799999713897705
2024-09-18,1.2599999904632568
2024-09-19,1.2400000095367432
2024-09-20,1.190000057220459
2024-09-23,1.190000057220459
2024-09-24,1.1799999475479126
2024-09-25,1.2000000476837158
2024-09-26,1.25
2024-09-27,1.2300000190734863
2024-09-30,1.2300000190734863
2024-10-01,1.2100000381469727
2024-10-02,1.149999976158142
2024-10-03,1.1799999475479126
2024-10-04,1.190000057220459
2024-10-07,1.1399999856948853
2024-10-08,1.159999966621399
2024-10-09,1.1699999570846558
2024-10-10,1.2799999713897705
2024-10-11,1.350000023841858
2024-10-14,1.399999976158142
2024-10-15,1.340000033378601
2024-10-16,1.340000033378601
2024-10-17,1.2200000286102295
2024-10-18,1.2100000381469727
2024-10-21,1.1799999475479126
2024-10-22,1.1699999570846558
2024-10-23,1.2000000476837158
2024-10-24,1.190000057220459
2024-10-25,1.2100000381469727
2024-10-28,1.090000033378601
2024-10-29,1.0199999809265137
2024-10-30,0.8859999775886536
2024-10-31,0.9589999914169312
2024-11-01,0.9599999785423279
2024-11-04,0.9589999914169312
2024-11-05,1.0199999809265137
2024-11-06,0.9990000128746033
2024-11-07,0.9729999899864197
2024-11-08,0.949999988079071
2024-11-11,0.9700000286102295
2024-11-12,0.9110000133514404
2024-11-13,0.9599999785423279
2024-11-14,0.9200000166893005
2024-11-15,0.8840000033378601
2024-11-18,0.8500000238418579
2024-11-19,0.8299999833106995
2024-11-20,0.7860000133514404
2024-11-21,0.7979999780654907
