Date,NIVF
2022-03-18,9.829999923706055
2022-03-21,9.869999885559082
2022-03-22,9.84000015258789
2022-03-23,9.84000015258789
2022-03-24,9.84000015258789
2022-03-25,9.84000015258789
2022-03-28,9.84000015258789
2022-03-29,9.84000015258789
2022-03-30,9.84000015258789
2022-03-31,9.850000381469727
2022-04-01,9.869999885559082
2022-04-04,9.869999885559082
2022-04-05,9.869999885559082
2022-04-06,9.880000114440918
2022-04-07,9.875
2022-04-08,9.873000144958496
2022-04-11,9.880000114440918
2022-04-12,9.899999618530273
2022-04-13,9.899999618530273
2022-04-14,9.87399959564209
2022-04-18,9.87399959564209
2022-04-19,9.920000076293945
2022-04-20,9.920000076293945
2022-04-21,9.920000076293945
2022-04-22,9.930000305175781
2022-04-25,9.930000305175781
2022-04-26,9.916000366210938
2022-04-27,9.930000305175781
2022-04-28,9.930000305175781
2022-04-29,9.930000305175781
2022-05-02,9.920000076293945
2022-05-03,9.90999984741211
2022-05-04,9.920000076293945
2022-05-05,9.90999984741211
2022-05-06,9.920000076293945
2022-05-09,9.904999732971191
2022-05-10,9.920000076293945
2022-05-11,9.890000343322754
2022-05-12,9.880000114440918
2022-05-13,9.880000114440918
2022-05-16,9.890000343322754
2022-05-17,9.890000343322754
2022-05-18,9.890000343322754
2022-05-19,9.890000343322754
2022-05-20,9.890000343322754
2022-05-23,9.890000343322754
2022-05-24,9.890000343322754
2022-05-25,9.880000114440918
2022-05-26,9.890000343322754
2022-05-27,9.890000343322754
2022-05-31,9.890000343322754
2022-06-01,9.890000343322754
2022-06-02,9.899999618530273
2022-06-03,9.90999984741211
2022-06-06,9.90999984741211
2022-06-07,9.90999984741211
2022-06-08,9.880000114440918
2022-06-09,9.90999984741211
2022-06-10,9.913000106811523
2022-06-13,9.90999984741211
2022-06-14,9.90999984741211
2022-06-15,9.90999984741211
2022-06-16,9.90999984741211
2022-06-17,9.90999984741211
2022-06-21,9.90999984741211
2022-06-22,9.899999618530273
2022-06-23,9.930000305175781
2022-06-24,9.90999984741211
2022-06-27,9.90999984741211
2022-06-28,9.90999984741211
2022-06-29,9.90999984741211
2022-06-30,9.920000076293945
2022-07-01,9.920000076293945
2022-07-05,9.90999984741211
2022-07-06,9.920000076293945
2022-07-07,9.930000305175781
2022-07-08,9.930000305175781
2022-07-11,9.930000305175781
2022-07-12,9.930000305175781
2022-07-13,9.930000305175781
2022-07-14,9.899999618530273
2022-07-15,9.899999618530273
2022-07-18,9.899999618530273
2022-07-19,9.899999618530273
2022-07-20,9.930000305175781
2022-07-21,9.930000305175781
2022-07-22,9.930000305175781
2022-07-25,9.930000305175781
2022-07-26,9.960000038146973
2022-07-27,9.960000038146973
2022-07-28,9.960000038146973
2022-07-29,9.960000038146973
2022-08-01,9.960000038146973
2022-08-02,9.9399995803833
2022-08-03,9.9399995803833
2022-08-04,9.9399995803833
2022-08-05,9.9399995803833
2022-08-08,9.9399995803833
2022-08-09,9.9399995803833
2022-08-10,9.9399995803833
2022-08-11,9.9399995803833
2022-08-12,9.9399995803833
2022-08-15,9.9399995803833
2022-08-16,9.9399995803833
2022-08-17,9.9399995803833
2022-08-18,9.9399995803833
2022-08-19,9.9399995803833
2022-08-22,9.954999923706055
2022-08-23,9.989999771118164
2022-08-24,9.970000267028809
2022-08-25,9.970000267028809
2022-08-26,9.970000267028809
2022-08-29,9.970000267028809
2022-08-30,9.970000267028809
2022-08-31,9.979999542236328
2022-09-01,9.979999542236328
2022-09-02,10.489999771118164
2022-09-06,10.039999961853027
2022-09-07,10.057999610900879
2022-09-08,10.057999610900879
2022-09-09,10.050000190734863
2022-09-12,10.050000190734863
2022-09-13,10.050000190734863
2022-09-14,10.050000190734863
2022-09-15,10.050000190734863
2022-09-16,10.050000190734863
2022-09-19,10.050000190734863
2022-09-20,10.050000190734863
2022-09-21,10.010000228881836
2022-09-22,10.010000228881836
2022-09-23,10.010000228881836
2022-09-26,10.010000228881836
2022-09-27,10.010000228881836
2022-09-28,10.010000228881836
2022-09-29,10.010000228881836
2022-09-30,10.010000228881836
2022-10-03,10.029999732971191
2022-10-04,10.029999732971191
2022-10-05,10.029999732971191
2022-10-06,10.039999961853027
2022-10-07,10.039999961853027
2022-10-10,10.039999961853027
2022-10-11,10.039999961853027
2022-10-12,10.050000190734863
2022-10-13,10.039999961853027
2022-10-14,10.043000221252441
2022-10-17,10.043000221252441
2022-10-18,10.039999961853027
2022-10-19,10.079999923706055
2022-10-20,10.079999923706055
2022-10-21,10.069999694824219
2022-10-24,10.09000015258789
2022-10-25,10.09000015258789
2022-10-26,10.09000015258789
2022-10-27,10.09000015258789
2022-10-28,10.09000015258789
2022-10-31,10.109999656677246
2022-11-01,10.100000381469727
2022-11-02,10.100000381469727
2022-11-03,10.100000381469727
2022-11-04,10.10099983215332
2022-11-07,10.10099983215332
2022-11-08,10.09000015258789
2022-11-09,10.09000015258789
2022-11-10,10.09000015258789
2022-11-11,10.109999656677246
2022-11-14,10.109999656677246
2022-11-15,10.140000343322754
2022-11-16,10.140000343322754
2022-11-17,10.109999656677246
2022-11-18,10.109999656677246
2022-11-21,10.109999656677246
2022-11-22,10.119999885559082
2022-11-23,10.149999618530273
2022-11-25,10.170000076293945
2022-11-28,10.180000305175781
2022-11-29,10.180000305175781
2022-11-30,10.180000305175781
2022-12-01,10.180000305175781
2022-12-02,10.180000305175781
2022-12-05,10.140000343322754
2022-12-06,10.140000343322754
2022-12-07,10.140000343322754
2022-12-08,10.140000343322754
2022-12-09,10.170000076293945
2022-12-12,10.180000305175781
