Date,SPAI
2024-08-28,4.269999980926514
2024-08-29,4.139999866485596
2024-08-30,4.25
2024-09-03,4.239999771118164
2024-09-04,4.53000020980835
2024-09-05,3.8399999141693115
2024-09-06,3.880000114440918
2024-09-09,3.0799999237060547
2024-09-10,2.934999942779541
2024-09-11,2.859999895095825
2024-09-12,2.799999952316284
2024-09-13,3.0199999809265137
2024-09-16,2.8510000705718994
2024-09-17,3.1500000953674316
2024-09-18,3.430000066757202
2024-09-19,2.930000066757202
2024-09-20,3.0190000534057617
2024-09-23,2.950000047683716
2024-09-24,2.940000057220459
2024-09-25,2.7829999923706055
2024-09-26,2.8399999141693115
2024-09-27,2.859999895095825
2024-09-30,2.890000104904175
2024-10-01,2.7300000190734863
2024-10-02,2.7200000286102295
2024-10-03,2.5999999046325684
2024-10-04,1.9299999475479126
2024-10-07,2.3399999141693115
2024-10-08,2.940000057220459
2024-10-09,2.4600000381469727
2024-10-10,2.4800000190734863
2024-10-11,2.4100000858306885
2024-10-14,2.3329999446868896
2024-10-15,2.319999933242798
2024-10-16,2.3399999141693115
2024-10-17,2.490000009536743
2024-10-18,2.369999885559082
2024-10-21,2.299999952316284
2024-10-22,2.059999942779541
2024-10-23,1.9500000476837158
2024-10-24,1.940000057220459
2024-10-25,1.8700000047683716
2024-10-28,2.2100000381469727
2024-10-29,2.369999885559082
2024-10-30,2.180000066757202
2024-10-31,2.25
2024-11-01,2.299999952316284
2024-11-04,2.0999999046325684
2024-11-05,2.0840001106262207
2024-11-06,1.9850000143051147
2024-11-07,2.119999885559082
2024-11-08,2.140000104904175
2024-11-11,2.140000104904175
2024-11-12,2.0999999046325684
2024-11-13,2.065000057220459
2024-11-14,2.009999990463257
2024-11-15,1.9800000190734863
2024-11-18,1.7599999904632568
2024-11-19,2.299999952316284
2024-11-20,3.200000047683716
2024-11-21,4.46999979019165
