Date,NVRO
2022-02-28,71.69999694824219
2022-03-01,73.98999786376953
2022-03-02,71.2699966430664
2022-03-03,67.56999969482422
2022-03-04,69.5
2022-03-07,65.30000305175781
2022-03-08,65.31999969482422
2022-03-09,69.83000183105469
2022-03-10,67.9800033569336
2022-03-11,64.08999633789062
2022-03-14,59.95000076293945
2022-03-15,62.709999084472656
2022-03-16,65.80000305175781
2022-03-17,68.11000061035156
2022-03-18,70.61000061035156
2022-03-21,67.04000091552734
2022-03-22,68.6500015258789
2022-03-23,66.33000183105469
2022-03-24,67.08000183105469
2022-03-25,65.37000274658203
2022-03-28,67.19999694824219
2022-03-29,72.16000366210938
2022-03-30,71.91000366210938
2022-03-31,72.33000183105469
2022-04-01,76.41999816894531
2022-04-04,76.12999725341797
2022-04-05,77.66999816894531
2022-04-06,75.91000366210938
2022-04-07,75.87999725341797
2022-04-08,76.63999938964844
2022-04-11,75.9800033569336
2022-04-12,76.06999969482422
2022-04-13,75.44000244140625
2022-04-14,73.69000244140625
2022-04-18,69.8499984741211
2022-04-19,75.25
2022-04-20,76.58000183105469
2022-04-21,73.87999725341797
2022-04-22,68.76000213623047
2022-04-25,70.48999786376953
2022-04-26,66.66000366210938
2022-04-27,65.2699966430664
2022-04-28,64.16000366210938
2022-04-29,61.689998626708984
2022-05-02,62.91999816894531
2022-05-03,62.099998474121094
2022-05-04,62.869998931884766
2022-05-05,55.59000015258789
2022-05-06,50.90999984741211
2022-05-09,43.4900016784668
2022-05-10,44.560001373291016
2022-05-11,42.79999923706055
2022-05-12,43.459999084472656
2022-05-13,47.349998474121094
2022-05-16,46.13999938964844
2022-05-17,47.400001525878906
2022-05-18,44.52000045776367
2022-05-19,44.439998626708984
2022-05-20,44.720001220703125
2022-05-23,45.560001373291016
2022-05-24,43.20000076293945
2022-05-25,43.189998626708984
2022-05-26,43.31999969482422
2022-05-27,43.369998931884766
2022-05-31,43.58000183105469
2022-06-01,42.560001373291016
2022-06-02,47.90999984741211
2022-06-03,46.4900016784668
2022-06-06,47.38999938964844
2022-06-07,48.86000061035156
2022-06-08,48.36000061035156
2022-06-09,47.18000030517578
2022-06-10,46.2400016784668
2022-06-13,42.689998626708984
2022-06-14,41.36000061035156
2022-06-15,42.25
2022-06-16,40.849998474121094
2022-06-17,42.16999816894531
2022-06-21,42.59000015258789
2022-06-22,43.2599983215332
2022-06-23,47.59000015258789
2022-06-24,49.209999084472656
2022-06-27,47.650001525878906
2022-06-28,46.380001068115234
2022-06-29,45.970001220703125
2022-06-30,43.83000183105469
2022-07-01,45.59000015258789
2022-07-05,47.400001525878906
2022-07-06,47.599998474121094
2022-07-07,48.560001373291016
2022-07-08,48.119998931884766
2022-07-11,46.599998474121094
2022-07-12,45.900001525878906
2022-07-13,45.43000030517578
2022-07-14,42.66999816894531
2022-07-15,42.709999084472656
2022-07-18,40.65999984741211
2022-07-19,41.93000030517578
2022-07-20,41.72999954223633
2022-07-21,43.709999084472656
2022-07-22,44.16999816894531
2022-07-25,43.599998474121094
2022-07-26,43.45000076293945
