Date,EFSH
2022-02-28,148200.0
2022-03-01,140400.0
2022-03-02,146640.0
2022-03-03,145860.0
2022-03-04,132600.0
2022-03-07,124800.0
2022-03-08,128700.0
2022-03-09,115440.0
2022-03-10,131820.0
2022-03-11,121680.0
2022-03-14,111540.0
2022-03-15,136500.0
2022-03-16,127920.0
2022-03-17,153660.0
2022-03-18,153660.0
2022-03-21,153660.0
2022-03-22,152100.0
2022-03-23,144300.0
2022-03-24,138060.0
2022-03-25,147420.0
2022-03-28,147420.0
2022-03-29,155220.0
2022-03-30,151320.0
2022-03-31,156000.0
2022-04-01,171600.0
2022-04-04,155220.0
2022-04-05,140400.0
2022-04-06,140400.0
2022-04-07,140400.0
2022-04-08,154440.0
2022-04-11,170040.0
2022-04-12,170040.0
2022-04-13,154440.0
2022-04-14,159120.0
2022-04-18,159120.0
2022-04-19,158340.0
2022-04-20,158340.0
2022-04-21,155220.0
2022-04-22,158340.0
2022-04-25,157560.0
2022-04-26,191100.0
2022-04-27,265200.0
2022-04-28,273000.0
2022-04-29,254280.0
2022-05-02,246480.0
2022-05-03,223080.0
2022-05-04,218010.0
2022-05-05,219180.0
2022-05-06,180180.0
2022-05-09,175500.0
2022-05-10,166920.0
2022-05-11,166920.0
2022-05-12,166920.0
2022-05-13,142740.0
2022-05-16,171600.0
2022-05-17,175500.0
2022-05-18,173940.0
2022-05-19,183300.0
2022-05-20,184860.0
2022-05-23,177840.0
2022-05-24,179400.0
2022-05-25,187200.0
2022-05-26,183300.0
2022-05-27,186420.0
2022-05-31,173940.0
2022-06-01,175500.0
2022-06-02,160680.0
2022-06-03,163800.0
2022-06-06,163800.0
2022-06-07,152100.0
2022-06-08,148590.0
2022-06-09,147420.0
2022-06-10,147420.0
2022-06-13,117780.0
2022-06-14,136500.0
2022-06-15,144300.0
2022-06-16,144300.0
2022-06-17,124800.0
2022-06-21,144300.0
2022-06-22,148200.0
2022-06-23,147420.0
2022-06-24,147420.0
2022-06-27,147420.0
2022-06-28,147420.0
2022-06-29,147420.0
2022-06-30,140400.0
2022-07-01,140400.0
2022-07-05,132600.0
2022-07-06,144300.0
2022-07-07,144300.0
2022-07-08,144300.0
2022-07-11,144300.0
2022-07-12,143520.0
2022-07-13,136500.0
2022-07-14,136500.0
2022-07-15,136500.0
2022-07-18,97500.0
2022-07-19,89700.0
2022-07-20,149760.0
2022-07-21,87360.0
2022-07-22,87360.0
2022-07-25,81900.0
2022-07-26,84240.0
2022-07-27,68640.0
2022-07-28,70200.0
2022-07-29,93600.0
2022-08-01,88920.0
2022-08-02,113100.0
2022-08-03,73125.0
2022-08-04,80925.0
2022-08-05,75855.0
2022-08-08,78000.0
2022-08-09,73905.0
2022-08-10,74685.0
2022-08-11,74685.0
2022-08-12,61425.0
2022-08-15,60450.0
2022-08-16,60450.0
2022-08-17,60645.0
2022-08-18,62400.0
2022-08-19,60645.0
2022-08-22,59085.0
2022-08-23,57720.0
2022-08-24,59475.0
2022-08-25,57915.0
2022-08-26,55965.0
2022-08-29,53625.0
2022-08-30,53430.0
2022-08-31,51577.5
2022-09-01,58500.0
2022-09-02,57720.0
2022-09-06,57135.0
2022-09-07,60645.0
2022-09-08,58305.0
2022-09-09,60645.0
2022-09-12,54405.0
2022-09-13,51870.0
2022-09-14,52455.0
2022-09-15,48165.0
2022-09-16,39760.5
2022-09-19,44772.0
2022-09-20,44967.0
2022-09-21,47385.0
2022-09-22,46410.0
2022-09-23,39780.0
2022-09-26,39975.0
2022-09-27,42705.0
2022-09-28,41145.0
2022-09-29,35685.0
2022-09-30,31395.0
2022-10-03,31785.0
2022-10-04,34515.0
2022-10-05,35685.0
2022-10-06,38025.0
2022-10-07,37050.0
2022-10-10,35100.0
2022-10-11,35392.5
