Date,MCRB
2022-02-28,8.0
2022-03-01,7.394999980926514
2022-03-02,7.420000076293945
2022-03-03,6.960000038146973
2022-03-04,6.300000190734863
2022-03-07,6.590000152587891
2022-03-08,6.760000228881836
2022-03-09,7.150000095367432
2022-03-10,7.449999809265137
2022-03-11,7.119999885559082
2022-03-14,6.650000095367432
2022-03-15,6.869999885559082
2022-03-16,7.289999961853027
2022-03-17,7.579999923706055
2022-03-18,7.53000020980835
2022-03-21,7.28000020980835
2022-03-22,7.539999961853027
2022-03-23,7.190000057220459
2022-03-24,7.610000133514404
2022-03-25,7.170000076293945
2022-03-28,7.070000171661377
2022-03-29,7.46999979019165
2022-03-30,7.199999809265137
2022-03-31,7.119999885559082
2022-04-01,7.340000152587891
2022-04-04,7.619999885559082
2022-04-05,7.21999979019165
2022-04-06,7.260000228881836
2022-04-07,7.070000171661377
2022-04-08,6.789999961853027
2022-04-11,6.53000020980835
2022-04-12,6.480000019073486
2022-04-13,6.579999923706055
2022-04-14,6.079999923706055
2022-04-18,5.639999866485596
2022-04-19,5.800000190734863
2022-04-20,5.610000133514404
2022-04-21,5.260000228881836
2022-04-22,5.239999771118164
2022-04-25,5.329999923706055
2022-04-26,4.840000152587891
2022-04-27,4.840000152587891
2022-04-28,4.869999885559082
2022-04-29,4.730000019073486
2022-05-02,4.96999979019165
2022-05-03,4.840000152587891
2022-05-04,4.71999979019165
2022-05-05,4.349999904632568
2022-05-06,4.050000190734863
2022-05-09,3.740000009536743
2022-05-10,3.950000047683716
2022-05-11,3.549999952316284
2022-05-12,3.700000047683716
2022-05-13,3.7899999618530273
2022-05-16,3.569999933242798
2022-05-17,3.619999885559082
2022-05-18,3.3399999141693115
2022-05-19,3.4100000858306885
2022-05-20,3.569999933242798
2022-05-23,3.299999952316284
2022-05-24,3.0399999618530273
2022-05-25,3.009999990463257
2022-05-26,3.0
2022-05-27,3.190000057220459
2022-05-31,3.0999999046325684
2022-06-01,3.0899999141693115
2022-06-02,3.190000057220459
2022-06-03,3.369999885559082
2022-06-06,3.2300000190734863
2022-06-07,4.159999847412109
2022-06-08,3.859999895095825
2022-06-09,3.7200000286102295
2022-06-10,3.240000009536743
2022-06-13,2.7699999809265137
2022-06-14,2.700000047683716
2022-06-15,2.819999933242798
2022-06-16,2.75
2022-06-17,2.859999895095825
2022-06-21,3.1600000858306885
2022-06-22,3.2200000286102295
2022-06-23,3.4100000858306885
2022-06-24,3.380000114440918
2022-06-27,3.4200000762939453
2022-06-28,3.190000057220459
2022-06-29,3.1500000953674316
2022-06-30,3.430000066757202
2022-07-01,3.630000114440918
2022-07-05,3.8299999237060547
2022-07-06,3.75
2022-07-07,3.5399999618530273
2022-07-08,4.050000190734863
2022-07-11,3.819999933242798
2022-07-12,3.75
2022-07-13,3.75
2022-07-14,3.640000104904175
2022-07-15,3.609999895095825
2022-07-18,3.5
2022-07-19,3.819999933242798
2022-07-20,3.950000047683716
2022-07-21,3.690000057220459
2022-07-22,3.6500000953674316
2022-07-25,3.940000057220459
2022-07-26,4.190000057220459
2022-07-27,4.300000190734863
2022-07-28,4.170000076293945
2022-07-29,4.110000133514404
2022-08-01,4.03000020980835
2022-08-02,4.099999904632568
2022-08-03,4.449999809265137
2022-08-04,4.880000114440918
2022-08-05,4.980000019073486
2022-08-08,4.849999904632568
2022-08-09,4.820000171661377
2022-08-10,5.110000133514404
2022-08-11,5.070000171661377
2022-08-12,5.369999885559082
2022-08-15,5.690000057220459
2022-08-16,5.590000152587891
2022-08-17,5.429999828338623
2022-08-18,5.659999847412109
2022-08-19,5.46999979019165
2022-08-22,5.179999828338623
2022-08-23,5.5
2022-08-24,5.71999979019165
2022-08-25,5.849999904632568
2022-08-26,5.440000057220459
2022-08-29,5.190000057220459
2022-08-30,5.139999866485596
2022-08-31,5.139999866485596
2022-09-01,5.190000057220459
2022-09-02,5.389999866485596
2022-09-06,5.400000095367432
2022-09-07,6.320000171661377
2022-09-08,6.710000038146973
2022-09-09,6.449999809265137
2022-09-12,6.929999828338623
2022-09-13,6.739999771118164
2022-09-14,7.199999809265137
2022-09-15,7.170000076293945
2022-09-16,6.96999979019165
2022-09-19,6.579999923706055
2022-09-20,6.610000133514404
2022-09-21,6.130000114440918
2022-09-22,6.03000020980835
2022-09-23,5.889999866485596
2022-09-26,5.840000152587891
2022-09-27,5.909999847412109
2022-09-28,6.369999885559082
2022-09-29,6.130000114440918
2022-09-30,6.420000076293945
2022-10-03,6.190000057220459
2022-10-04,6.489999771118164
2022-10-05,6.53000020980835
2022-10-06,7.059999942779541
2022-10-07,6.929999828338623
2022-10-10,6.980000019073486
2022-10-11,7.190000057220459
2022-10-12,6.940000057220459
2022-10-13,7.099999904632568
2022-10-14,6.869999885559082
2022-10-17,7.0
2022-10-18,6.809999942779541
2022-10-19,6.170000076293945
2022-10-20,6.510000228881836
2022-10-21,6.53000020980835
2022-10-24,5.710000038146973
2022-10-25,5.769999980926514
2022-10-26,6.590000152587891
2022-10-27,6.739999771118164
2022-10-28,8.069999694824219
2022-10-31,8.859999656677246
2022-11-01,9.050000190734863
2022-11-02,8.1899995803833
2022-11-03,8.989999771118164
2022-11-04,8.140000343322754
2022-11-07,7.860000133514404
2022-11-08,7.690000057220459
2022-11-09,7.119999885559082
2022-11-10,7.5
2022-11-11,7.170000076293945
2022-11-14,7.150000095367432
2022-11-15,7.139999866485596
2022-11-16,6.849999904632568
2022-11-17,6.679999828338623
2022-11-18,6.800000190734863
2022-11-21,6.5
2022-11-22,6.639999866485596
