Date,CNSP
2023-03-01,88.5
2023-03-02,83.0
2023-03-03,86.0
2023-03-06,84.5
2023-03-07,81.0
2023-03-08,73.5
2023-03-09,67.5
2023-03-10,62.5
2023-03-13,66.5
2023-03-14,63.0
2023-03-15,62.0
2023-03-16,59.0
2023-03-17,56.0
2023-03-20,54.5
2023-03-21,55.0
2023-03-22,55.5
2023-03-23,52.5
2023-03-24,57.0
2023-03-27,54.5
2023-03-28,49.5
2023-03-29,49.79999923706055
2023-03-30,49.0
2023-03-31,50.0
2023-04-03,49.0
2023-04-04,46.0
2023-04-05,43.29999923706055
2023-04-06,37.5
2023-04-10,37.45000076293945
2023-04-11,35.0
2023-04-12,34.04999923706055
2023-04-13,34.25
2023-04-14,117.5
2023-04-17,137.5
2023-04-18,102.0
2023-04-19,88.5
2023-04-20,131.0
2023-04-21,94.5
2023-04-24,92.5
2023-04-25,89.0
2023-04-26,85.0
2023-04-27,86.0
2023-04-28,75.5
2023-05-01,80.5
2023-05-02,76.0
2023-05-03,96.0
2023-05-04,81.5
2023-05-05,83.5
2023-05-08,78.5
2023-05-09,83.0
2023-05-10,79.5
2023-05-11,72.0
2023-05-12,69.0
2023-05-15,69.5
2023-05-16,62.0
2023-05-17,64.0
2023-05-18,67.5
2023-05-19,79.5
2023-05-22,88.5
2023-05-23,94.5
2023-05-24,99.5
2023-05-25,99.5
2023-05-26,92.0
2023-05-30,87.5
2023-05-31,92.0
2023-06-01,90.5
2023-06-02,115.5
2023-06-05,118.5
2023-06-06,131.5
2023-06-07,134.0
2023-06-08,115.5
2023-06-09,107.0
2023-06-12,101.5
2023-06-13,100.0
2023-06-14,109.0
2023-06-15,108.0
2023-06-16,108.0
2023-06-20,115.5
2023-06-21,113.5
2023-06-22,120.5
2023-06-23,117.5
2023-06-26,106.5
2023-06-27,101.5
2023-06-28,100.5
2023-06-29,108.0
2023-06-30,111.5
2023-07-03,111.5
2023-07-05,112.0
2023-07-06,109.5
2023-07-07,111.0
2023-07-10,121.5
2023-07-11,116.0
2023-07-12,115.5
2023-07-13,112.5
2023-07-14,107.0
2023-07-17,107.0
2023-07-18,105.0
2023-07-19,108.5
2023-07-20,107.0
2023-07-21,108.0
2023-07-24,107.5
2023-07-25,103.0
2023-07-26,103.0
2023-07-27,103.0
2023-07-28,107.25
2023-07-31,113.0
2023-08-01,107.0
2023-08-02,109.0
2023-08-03,109.5
2023-08-04,113.5
2023-08-07,108.0
2023-08-08,106.0
2023-08-09,107.0
2023-08-10,101.0
2023-08-11,101.5
2023-08-14,88.5
2023-08-15,85.5
2023-08-16,91.0
2023-08-17,94.0
2023-08-18,90.5
2023-08-21,61.0
2023-08-22,87.0
2023-08-23,85.5
2023-08-24,87.5
2023-08-25,95.0
2023-08-28,92.5
2023-08-29,87.5
2023-08-30,85.5
2023-08-31,85.5
2023-09-01,84.5
2023-09-05,79.0
2023-09-06,78.0
2023-09-07,77.0
2023-09-08,74.0
2023-09-11,72.5
2023-09-12,73.5
2023-09-13,75.5
2023-09-14,72.5
2023-09-15,75.0
2023-09-18,71.0
2023-09-19,64.5
2023-09-20,63.5
2023-09-21,61.0
2023-09-22,58.5
2023-09-25,56.5
2023-09-26,54.5
2023-09-27,51.0
2023-09-28,55.0
2023-09-29,57.0
2023-10-02,57.0
2023-10-03,57.0
2023-10-04,54.0
2023-10-05,54.5
2023-10-06,52.5
2023-10-09,51.5
2023-10-10,53.5
2023-10-11,59.0
2023-10-12,57.5
2023-10-13,67.5
2023-10-16,81.0
2023-10-17,80.0
2023-10-18,89.0
2023-10-19,99.0
2023-10-20,101.0
2023-10-23,105.0
2023-10-24,120.0
2023-10-25,124.0
2023-10-26,99.0
2023-10-27,94.5
2023-10-30,100.5
2023-10-31,103.5
2023-11-01,99.5
2023-11-02,97.5
2023-11-03,100.0
2023-11-06,96.0
2023-11-07,84.0
2023-11-08,81.0
2023-11-09,73.0
2023-11-10,72.5
2023-11-13,83.0
2023-11-14,83.5
2023-11-15,96.0
2023-11-16,105.0
2023-11-17,133.5
2023-11-20,123.0
2023-11-21,104.5
2023-11-22,112.5
2023-11-24,119.0
2023-11-27,114.5
2023-11-28,105.0
2023-11-29,103.0
2023-11-30,104.0
2023-12-01,109.0
2023-12-04,109.0
2023-12-05,106.0
2023-12-06,105.0
2023-12-07,105.0
2023-12-08,103.5
2023-12-11,95.0
2023-12-12,91.5
2023-12-13,86.5
2023-12-14,88.0
2023-12-15,86.5
2023-12-18,66.5
2023-12-19,64.5
2023-12-20,49.5
2023-12-21,58.5
2023-12-22,60.5
2023-12-26,64.0
2023-12-27,64.0
2023-12-28,63.0
2023-12-29,63.5
2024-01-02,59.5
2024-01-03,57.5
2024-01-04,57.5
2024-01-05,59.5
2024-01-08,61.0
2024-01-09,57.5
2024-01-10,53.5
2024-01-11,50.5
2024-01-12,46.75
2024-01-16,36.0
2024-01-17,35.349998474121094
2024-01-18,34.70000076293945
2024-01-19,39.0
2024-01-22,31.75
2024-01-23,28.100000381469727
2024-01-24,28.100000381469727
2024-01-25,23.5
2024-01-26,21.0
2024-01-29,16.600000381469727
2024-01-30,12.0
2024-01-31,12.399999618530273
2024-02-01,12.649999618530273
2024-02-02,12.5
2024-02-05,13.100000381469727
2024-02-06,13.550000190734863
2024-02-07,12.199999809265137
2024-02-08,12.649999618530273
2024-02-09,13.899999618530273
2024-02-12,15.0
2024-02-13,14.149999618530273
2024-02-14,13.75
2024-02-15,14.149999618530273
