Date,AGEN
2022-02-28,52.99312973022461
2022-03-01,50.83415222167969
2022-03-02,60.25515365600586
2022-03-03,58.09617233276367
2022-03-04,57.11481857299805
2022-03-07,57.31108856201172
2022-03-08,57.70363235473633
2022-03-09,61.04023742675781
2022-03-10,57.70363235473633
2022-03-11,55.1521110534668
2022-03-14,51.4229621887207
2022-03-15,52.208045959472656
2022-03-16,53.974483489990234
2022-03-17,56.7222785949707
2022-03-18,58.09617233276367
2022-03-21,54.367027282714844
2022-03-22,54.75956726074219
2022-03-23,52.600589752197266
2022-03-24,54.75956726074219
2022-03-25,52.99312973022461
2022-03-28,52.404319763183594
2022-03-29,54.75956726074219
2022-03-30,51.4229621887207
2022-03-31,48.282630920410156
2022-04-01,50.44160842895508
2022-04-04,51.81550598144531
2022-04-05,50.44160842895508
2022-04-06,50.63787841796875
2022-04-07,48.87144470214844
2022-04-08,46.90873336791992
2022-04-11,45.338565826416016
2022-04-12,46.12364959716797
2022-04-13,47.89008712768555
2022-04-14,45.9273796081543
2022-04-18,44.55348587036133
2022-04-19,45.142295837402344
2022-04-20,44.55348587036133
2022-04-21,41.413150787353516
2022-04-22,40.824337005615234
2022-04-25,41.80569076538086
2022-04-26,38.861629486083984
2022-04-27,38.2728157043457
2022-04-28,38.469085693359375
2022-04-29,36.31010818481445
2022-05-02,38.07654571533203
2022-05-03,36.898921966552734
2022-05-04,37.48773193359375
2022-05-05,34.543670654296875
2022-05-06,32.7772331237793
2022-05-09,29.83316993713379
2022-05-10,32.580963134765625
2022-05-11,29.636899948120117
2022-05-12,30.421981811523438
2022-05-13,31.992149353027344
2022-05-16,31.01079559326172
2022-05-17,32.38468933105469
2022-05-18,30.029441833496094
2022-05-19,30.225711822509766
2022-05-20,30.814523696899414
2022-05-23,30.814523696899414
2022-05-24,28.263002395629883
2022-05-25,28.459274291992188
2022-05-26,29.440628051757812
2022-05-27,31.599607467651367
2022-05-31,32.7772331237793
2022-06-01,31.403337478637695
2022-06-02,31.599607467651367
2022-06-03,32.97350311279297
2022-06-06,30.618253707885742
2022-06-07,32.97350311279297
2022-06-08,33.36604690551758
2022-06-09,32.188419342041016
2022-06-10,28.65554428100586
2022-06-13,26.10402488708496
2022-06-14,25.51521110534668
2022-06-15,27.281648635864258
2022-06-16,27.477920532226562
2022-06-17,30.814523696899414
2022-06-21,32.38468933105469
2022-06-22,35.32875442504883
2022-06-23,38.861629486083984
2022-06-24,37.29146194458008
2022-06-27,36.898921966552734
2022-06-28,36.11383819580078
2022-06-29,40.03925323486328
2022-06-30,38.07654571533203
2022-07-01,38.469085693359375
2022-07-05,47.30127716064453
2022-07-06,47.693817138671875
2022-07-07,50.245338439941406
2022-07-08,53.18939971923828
2022-07-11,50.44160842895508
2022-07-12,53.38567352294922
2022-07-13,56.7222785949707
2022-07-14,56.329734802246094
2022-07-15,56.526004791259766
2022-07-18,52.99312973022461
2022-07-19,54.75956726074219
2022-07-20,56.13346481323242
2022-07-21,55.93719482421875
2022-07-22,52.208045959472656
2022-07-25,52.600589752197266
2022-07-26,55.54465103149414
2022-07-27,56.7222785949707
2022-07-28,54.367027282714844
2022-07-29,50.63787841796875
2022-08-01,48.6751708984375
