Date,AEVA
2022-02-28,21.0
2022-03-01,21.049999237060547
2022-03-02,20.350000381469727
2022-03-03,19.0
2022-03-04,17.5
2022-03-07,17.350000381469727
2022-03-08,18.049999237060547
2022-03-09,20.200000762939453
2022-03-10,20.5
2022-03-11,19.399999618530273
2022-03-14,17.950000762939453
2022-03-15,18.649999618530273
2022-03-16,20.799999237060547
2022-03-17,22.5
2022-03-18,23.049999237060547
2022-03-21,22.0
2022-03-22,22.549999237060547
2022-03-23,21.399999618530273
2022-03-24,21.899999618530273
2022-03-25,21.5
2022-03-28,21.25
2022-03-29,22.850000381469727
2022-03-30,22.25
2022-03-31,21.649999618530273
2022-04-01,20.549999237060547
2022-04-04,22.0
2022-04-05,21.0
2022-04-06,20.950000762939453
2022-04-07,20.299999237060547
2022-04-08,18.950000762939453
2022-04-11,18.600000381469727
2022-04-12,18.700000762939453
2022-04-13,19.149999618530273
2022-04-14,19.0
2022-04-18,18.049999237060547
2022-04-19,19.049999237060547
2022-04-20,17.899999618530273
2022-04-21,17.200000762939453
2022-04-22,17.149999618530273
2022-04-25,17.899999618530273
2022-04-26,17.25
2022-04-27,16.899999618530273
2022-04-28,17.149999618530273
2022-04-29,16.399999618530273
2022-05-02,17.299999237060547
2022-05-03,17.350000381469727
2022-05-04,17.700000762939453
2022-05-05,17.399999618530273
2022-05-06,15.800000190734863
2022-05-09,14.25
2022-05-10,14.350000381469727
2022-05-11,12.850000381469727
2022-05-12,13.949999809265137
2022-05-13,15.850000381469727
2022-05-16,16.0
2022-05-17,16.899999618530273
2022-05-18,15.899999618530273
2022-05-19,15.949999809265137
2022-05-20,15.800000190734863
2022-05-23,14.5
2022-05-24,13.399999618530273
2022-05-25,14.100000381469727
2022-05-26,14.600000381469727
2022-05-27,15.800000190734863
2022-05-31,16.25
2022-06-01,14.949999809265137
2022-06-02,15.449999809265137
2022-06-03,14.949999809265137
2022-06-06,15.5
2022-06-07,15.25
2022-06-08,14.800000190734863
2022-06-09,14.050000190734863
2022-06-10,14.300000190734863
2022-06-13,13.399999618530273
2022-06-14,13.699999809265137
2022-06-15,14.649999618530273
2022-06-16,13.5
2022-06-17,14.949999809265137
2022-06-21,15.899999618530273
2022-06-22,17.049999237060547
2022-06-23,17.149999618530273
2022-06-24,17.950000762939453
2022-06-27,17.100000381469727
2022-06-28,16.299999237060547
2022-06-29,15.050000190734863
2022-06-30,15.649999618530273
2022-07-01,15.399999618530273
2022-07-05,16.399999618530273
2022-07-06,16.850000381469727
2022-07-07,17.950000762939453
2022-07-08,18.299999237060547
2022-07-11,16.700000762939453
2022-07-12,16.350000381469727
2022-07-13,16.200000762939453
2022-07-14,16.200000762939453
2022-07-15,16.25
2022-07-18,15.050000190734863
2022-07-19,17.0
2022-07-20,18.850000381469727
2022-07-21,19.049999237060547
2022-07-22,17.600000381469727
2022-07-25,16.549999237060547
2022-07-26,15.399999618530273
2022-07-27,16.299999237060547
2022-07-28,17.299999237060547
2022-07-29,17.649999618530273
2022-08-01,19.299999237060547
2022-08-02,20.649999618530273
2022-08-03,21.600000381469727
2022-08-04,20.5
2022-08-05,23.0
2022-08-08,22.299999237060547
2022-08-09,20.549999237060547
2022-08-10,21.350000381469727
2022-08-11,19.950000762939453
2022-08-12,20.149999618530273
2022-08-15,20.450000762939453
2022-08-16,19.399999618530273
2022-08-17,16.799999237060547
2022-08-18,17.149999618530273
2022-08-19,15.600000381469727
2022-08-22,15.100000381469727
2022-08-23,15.0
2022-08-24,15.0
2022-08-25,14.800000190734863
2022-08-26,13.75
2022-08-29,14.350000381469727
2022-08-30,14.699999809265137
2022-08-31,15.399999618530273
2022-09-01,13.899999618530273
2022-09-02,13.75
2022-09-06,14.100000381469727
2022-09-07,14.149999618530273
2022-09-08,13.550000190734863
2022-09-09,14.5
2022-09-12,14.5
2022-09-13,13.699999809265137
2022-09-14,13.649999618530273
2022-09-15,13.550000190734863
2022-09-16,12.899999618530273
2022-09-19,12.25
2022-09-20,11.550000190734863
2022-09-21,11.0
2022-09-22,10.350000381469727
2022-09-23,10.149999618530273
2022-09-26,9.600000381469727
2022-09-27,10.0
2022-09-28,10.5
2022-09-29,9.600000381469727
2022-09-30,9.350000381469727
2022-10-03,10.100000381469727
2022-10-04,10.949999809265137
2022-10-05,10.550000190734863
2022-10-06,10.850000381469727
2022-10-07,10.300000190734863
2022-10-10,9.800000190734863
2022-10-11,9.75
2022-10-12,9.550000190734863
2022-10-13,9.800000190734863
2022-10-14,9.25
2022-10-17,10.199999809265137
2022-10-18,10.149999618530273
2022-10-19,9.550000190734863
2022-10-20,9.699999809265137
2022-10-21,9.949999809265137
2022-10-24,9.399999618530273
2022-10-25,10.600000381469727
2022-10-26,10.149999618530273
2022-10-27,9.899999618530273
2022-10-28,9.800000190734863
2022-10-31,10.0
2022-11-01,9.449999809265137
2022-11-02,8.850000381469727
2022-11-03,8.850000381469727
2022-11-04,9.0
2022-11-07,9.300000190734863
2022-11-08,9.0
2022-11-09,8.050000190734863
2022-11-10,9.0
2022-11-11,10.100000381469727
2022-11-14,10.100000381469727
2022-11-15,11.399999618530273
2022-11-16,9.550000190734863
2022-11-17,9.050000190734863
2022-11-18,8.600000381469727
2022-11-21,8.149999618530273
2022-11-22,7.900000095367432
2022-11-23,8.100000381469727
2022-11-25,7.849999904632568
2022-11-28,7.449999809265137
2022-11-29,8.300000190734863
2022-11-30,8.399999618530273
2022-12-01,8.449999809265137
2022-12-02,8.800000190734863
2022-12-05,8.800000190734863
2022-12-06,7.949999809265137
2022-12-07,7.5
