Date,GRWG
2022-02-28,8.40999984741211
2022-03-01,8.09000015258789
2022-03-02,8.270000457763672
2022-03-03,7.489999771118164
2022-03-04,7.5
2022-03-07,7.679999828338623
2022-03-08,8.529999732971191
2022-03-09,8.710000038146973
2022-03-10,8.789999961853027
2022-03-11,8.4399995803833
2022-03-14,7.760000228881836
2022-03-15,8.140000343322754
2022-03-16,8.380000114440918
2022-03-17,8.949999809265137
2022-03-18,9.59000015258789
2022-03-21,9.140000343322754
2022-03-22,9.520000457763672
2022-03-23,9.319999694824219
2022-03-24,10.069999694824219
2022-03-25,9.640000343322754
2022-03-28,9.25
2022-03-29,10.329999923706055
2022-03-30,9.770000457763672
2022-03-31,9.210000038146973
2022-04-01,9.229999542236328
2022-04-04,9.65999984741211
2022-04-05,9.199999809265137
2022-04-06,8.65999984741211
2022-04-07,8.4399995803833
2022-04-08,8.260000228881836
2022-04-11,8.130000114440918
2022-04-12,8.0600004196167
2022-04-13,8.170000076293945
2022-04-14,7.71999979019165
2022-04-18,7.46999979019165
2022-04-19,7.659999847412109
2022-04-20,7.320000171661377
2022-04-21,6.900000095367432
2022-04-22,6.599999904632568
2022-04-25,6.679999828338623
2022-04-26,6.170000076293945
2022-04-27,5.989999771118164
2022-04-28,6.150000095367432
2022-04-29,5.909999847412109
2022-05-02,6.449999809265137
2022-05-03,6.400000095367432
2022-05-04,6.789999961853027
2022-05-05,6.110000133514404
2022-05-06,5.760000228881836
2022-05-09,5.210000038146973
2022-05-10,4.96999979019165
2022-05-11,3.8399999141693115
2022-05-12,4.460000038146973
2022-05-13,4.769999980926514
2022-05-16,5.289999961853027
2022-05-17,5.800000190734863
2022-05-18,5.090000152587891
2022-05-19,5.269999980926514
2022-05-20,5.059999942779541
2022-05-23,4.96999979019165
2022-05-24,4.570000171661377
2022-05-25,4.795000076293945
2022-05-26,5.059999942779541
2022-05-27,5.440000057220459
2022-05-31,5.150000095367432
2022-06-01,4.989999771118164
2022-06-02,5.320000171661377
2022-06-03,5.0
2022-06-06,5.110000133514404
