Date,CTRA
2022-02-28,23.329999923706055
2022-03-01,24.360000610351562
2022-03-02,25.670000076293945
2022-03-03,25.510000228881836
2022-03-04,26.110000610351562
2022-03-07,27.0
2022-03-08,26.010000228881836
2022-03-09,25.459999084472656
2022-03-10,26.329999923706055
2022-03-11,25.6299991607666
2022-03-14,23.1299991607666
2022-03-15,23.43000030517578
2022-03-16,23.469999313354492
2022-03-17,24.739999771118164
2022-03-18,24.850000381469727
2022-03-21,25.280000686645508
2022-03-22,25.579999923706055
2022-03-23,26.190000534057617
2022-03-24,27.030000686645508
2022-03-25,28.90999984741211
2022-03-28,28.09000015258789
2022-03-29,27.399999618530273
2022-03-30,27.100000381469727
2022-03-31,26.969999313354492
2022-04-01,27.100000381469727
2022-04-04,26.579999923706055
2022-04-05,26.3799991607666
2022-04-06,26.489999771118164
2022-04-07,26.790000915527344
2022-04-08,28.75
2022-04-11,28.479999542236328
2022-04-12,28.3700008392334
2022-04-13,29.1299991607666
2022-04-14,29.420000076293945
2022-04-18,30.770000457763672
2022-04-19,30.469999313354492
2022-04-20,30.93000030517578
2022-04-21,29.969999313354492
2022-04-22,28.959999084472656
2022-04-25,28.65999984741211
2022-04-26,28.549999237060547
2022-04-27,28.850000381469727
2022-04-28,29.149999618530273
2022-04-29,28.790000915527344
2022-05-02,28.920000076293945
2022-05-03,31.65999984741211
2022-05-04,32.77000045776367
2022-05-05,31.8700008392334
2022-05-06,32.54999923706055
2022-05-09,29.31999969482422
2022-05-10,29.6200008392334
2022-05-11,29.579999923706055
2022-05-12,29.06999969482422
2022-05-13,29.780000686645508
2022-05-16,30.559999465942383
2022-05-17,31.049999237060547
2022-05-18,30.690000534057617
2022-05-19,30.420000076293945
2022-05-20,30.690000534057617
2022-05-23,32.369998931884766
2022-05-24,32.599998474121094
2022-05-25,33.939998626708984
2022-05-26,34.650001525878906
2022-05-27,35.52000045776367
2022-05-31,34.33000183105469
2022-06-01,35.189998626708984
2022-06-02,34.97999954223633
2022-06-03,35.18000030517578
2022-06-06,35.95000076293945
2022-06-07,36.11000061035156
2022-06-08,35.779998779296875
2022-06-09,34.959999084472656
2022-06-10,34.310001373291016
2022-06-13,32.560001373291016
2022-06-14,31.110000610351562
2022-06-15,30.670000076293945
2022-06-16,28.6299991607666
2022-06-17,26.540000915527344
2022-06-21,27.56999969482422
2022-06-22,27.030000686645508
2022-06-23,25.899999618530273
2022-06-24,26.350000381469727
2022-06-27,27.030000686645508
2022-06-28,27.690000534057617
2022-06-29,26.709999084472656
2022-06-30,25.790000915527344
2022-07-01,26.329999923706055
2022-07-05,25.600000381469727
2022-07-06,25.31999969482422
2022-07-07,26.3799991607666
2022-07-08,26.309999465942383
2022-07-11,26.389999389648438
2022-07-12,26.34000015258789
2022-07-13,27.139999389648438
2022-07-14,26.309999465942383
2022-07-15,26.920000076293945
2022-07-18,27.420000076293945
2022-07-19,28.139999389648438
2022-07-20,28.90999984741211
2022-07-21,28.059999465942383
2022-07-22,27.709999084472656
