Date,FANG
2022-02-28,138.10000610351562
2022-03-01,136.8300018310547
2022-03-02,136.6699981689453
2022-03-03,134.1199951171875
2022-03-04,137.8000030517578
2022-03-07,134.44000244140625
2022-03-08,134.44000244140625
2022-03-09,130.0500030517578
2022-03-10,134.07000732421875
2022-03-11,129.6699981689453
2022-03-14,126.19000244140625
2022-03-15,124.55999755859375
2022-03-16,125.62999725341797
2022-03-17,133.8800048828125
2022-03-18,131.4499969482422
2022-03-21,139.8800048828125
2022-03-22,137.35000610351562
2022-03-23,142.63999938964844
2022-03-24,143.19000244140625
2022-03-25,146.50999450683594
2022-03-28,140.6999969482422
2022-03-29,138.72999572753906
2022-03-30,139.14999389648438
2022-03-31,137.0800018310547
2022-04-01,138.44000244140625
2022-04-04,139.58999633789062
2022-04-05,135.47999572753906
2022-04-06,135.05999755859375
2022-04-07,136.9499969482422
2022-04-08,141.99000549316406
2022-04-11,135.11000061035156
2022-04-12,139.17999267578125
2022-04-13,140.33999633789062
2022-04-14,138.44000244140625
2022-04-18,140.0
2022-04-19,137.9199981689453
2022-04-20,141.89999389648438
2022-04-21,137.35000610351562
2022-04-22,130.10000610351562
2022-04-25,125.81999969482422
2022-04-26,125.38999938964844
2022-04-27,126.63999938964844
2022-04-28,129.47000122070312
2022-04-29,126.2300033569336
2022-05-02,127.5
2022-05-03,136.11000061035156
2022-05-04,142.49000549316406
2022-05-05,138.58999633789062
2022-05-06,142.92999267578125
2022-05-09,129.49000549316406
2022-05-10,129.83999633789062
2022-05-11,125.2699966430664
2022-05-12,127.04000091552734
2022-05-13,133.42999267578125
2022-05-16,131.3000030517578
2022-05-17,131.4499969482422
2022-05-18,128.36000061035156
2022-05-19,129.82000732421875
2022-05-20,130.27999877929688
2022-05-23,136.11000061035156
2022-05-24,135.77999877929688
2022-05-25,141.75
2022-05-26,146.42999267578125
2022-05-27,152.66000366210938
2022-05-31,152.02000427246094
2022-06-01,152.88999938964844
2022-06-02,153.89999389648438
2022-06-03,154.66000366210938
2022-06-06,155.80999755859375
2022-06-07,160.39999389648438
2022-06-08,160.30999755859375
2022-06-09,157.8300018310547
2022-06-10,155.49000549316406
2022-06-13,147.8000030517578
2022-06-14,149.6300048828125
2022-06-15,146.75999450683594
2022-06-16,133.67999267578125
2022-06-17,122.29000091552734
2022-06-21,132.27999877929688
2022-06-22,126.0999984741211
2022-06-23,119.23999786376953
2022-06-24,119.69999694824219
2022-06-27,124.38999938964844
2022-06-28,129.8000030517578
2022-06-29,122.30999755859375
2022-06-30,121.1500015258789
2022-07-01,121.20999908447266
2022-07-05,114.13999938964844
2022-07-06,110.27999877929688
2022-07-07,116.30000305175781
2022-07-08,116.33000183105469
2022-07-11,114.38999938964844
2022-07-12,110.41000366210938
2022-07-13,110.58999633789062
2022-07-14,106.70999908447266
2022-07-15,109.13999938964844
2022-07-18,112.5199966430664
2022-07-19,116.54000091552734
2022-07-20,118.7699966430664
2022-07-21,115.97000122070312
2022-07-22,113.43000030517578
2022-07-25,119.98999786376953
2022-07-26,118.27999877929688
2022-07-27,123.29000091552734
2022-07-28,123.61000061035156
2022-07-29,128.02000427246094
2022-08-01,125.91999816894531
2022-08-02,127.54000091552734
2022-08-03,121.37999725341797
2022-08-04,116.44999694824219
2022-08-05,121.37000274658203
2022-08-08,123.13999938964844
2022-08-09,124.54000091552734
2022-08-10,126.04000091552734
2022-08-11,132.77999877929688
2022-08-12,133.1300048828125
2022-08-15,127.93000030517578
2022-08-16,125.58999633789062
2022-08-17,125.7699966430664
2022-08-18,130.07000732421875
2022-08-19,130.38999938964844
2022-08-22,131.17999267578125
2022-08-23,135.1199951171875
2022-08-24,136.64999389648438
2022-08-25,136.27999877929688
2022-08-26,133.92999267578125
2022-08-29,139.25999450683594
2022-08-30,134.07000732421875
2022-08-31,133.27999877929688
2022-09-01,130.3000030517578
2022-09-02,133.8699951171875
2022-09-06,134.00999450683594
