Date,CE
2022-02-28,139.27999877929688
2022-03-01,135.66000366210938
2022-03-02,143.2899932861328
2022-03-03,144.72999572753906
2022-03-04,141.89999389648438
2022-03-07,133.6199951171875
2022-03-08,133.89999389648438
2022-03-09,138.61000061035156
2022-03-10,138.5800018310547
2022-03-11,138.00999450683594
2022-03-14,139.80999755859375
2022-03-15,138.5399932861328
2022-03-16,142.24000549316406
2022-03-17,142.57000732421875
2022-03-18,142.85000610351562
2022-03-21,142.75
2022-03-22,143.67999267578125
2022-03-23,141.49000549316406
2022-03-24,143.86000061035156
2022-03-25,144.11000061035156
2022-03-28,143.80999755859375
2022-03-29,146.3300018310547
2022-03-30,144.63999938964844
2022-03-31,142.8699951171875
2022-04-01,143.67999267578125
2022-04-04,143.3800048828125
2022-04-05,142.52000427246094
2022-04-06,140.44000244140625
2022-04-07,141.1300048828125
2022-04-08,144.47000122070312
2022-04-11,144.97999572753906
2022-04-12,143.97000122070312
2022-04-13,147.1199951171875
2022-04-14,145.1699981689453
2022-04-18,145.32000732421875
2022-04-19,147.38999938964844
2022-04-20,148.33999633789062
2022-04-21,148.0399932861328
2022-04-22,142.7100067138672
2022-04-25,141.91000366210938
2022-04-26,139.24000549316406
2022-04-27,140.07000732421875
2022-04-28,142.92999267578125
2022-04-29,146.94000244140625
2022-05-02,145.9499969482422
2022-05-03,150.33999633789062
2022-05-04,156.0800018310547
2022-05-05,151.5500030517578
2022-05-06,148.99000549316406
2022-05-09,142.9199981689453
2022-05-10,140.86000061035156
2022-05-11,141.52999877929688
2022-05-12,139.02000427246094
2022-05-13,142.52000427246094
2022-05-16,144.67999267578125
2022-05-17,155.50999450683594
2022-05-18,151.30999755859375
2022-05-19,150.02000427246094
2022-05-20,150.72999572753906
2022-05-23,151.7899932861328
2022-05-24,149.47000122070312
2022-05-25,151.47000122070312
2022-05-26,155.75
2022-05-27,159.2100067138672
2022-05-31,156.52000427246094
2022-06-01,155.22000122070312
2022-06-02,158.41000366210938
2022-06-03,156.8300018310547
2022-06-06,159.27000427246094
2022-06-07,161.3000030517578
2022-06-08,158.44000244140625
2022-06-09,155.27000427246094
2022-06-10,145.72000122070312
2022-06-13,137.72999572753906
2022-06-14,136.2100067138672
2022-06-15,134.3800048828125
2022-06-16,123.19000244140625
2022-06-17,122.5
2022-06-21,124.0999984741211
2022-06-22,120.72000122070312
2022-06-23,120.31999969482422
2022-06-24,127.56999969482422
2022-06-27,124.70999908447266
2022-06-28,123.01000213623047
2022-06-29,119.7300033569336
2022-06-30,117.61000061035156
2022-07-01,115.72000122070312
2022-07-05,113.04000091552734
2022-07-06,113.44000244140625
2022-07-07,115.01000213623047
2022-07-08,112.98999786376953
2022-07-11,111.18000030517578
2022-07-12,111.66000366210938
2022-07-13,108.20999908447266
2022-07-14,106.7300033569336
2022-07-15,108.73999786376953
2022-07-18,109.62999725341797
2022-07-19,115.63999938964844
2022-07-20,115.45999908447266
2022-07-21,115.19000244140625
2022-07-22,113.33999633789062
2022-07-25,115.1500015258789
2022-07-26,114.56999969482422
2022-07-27,118.12999725341797
2022-07-28,119.77999877929688
2022-07-29,117.51000213623047
