Date,SNA
2022-02-28,210.17999267578125
2022-03-01,202.0
2022-03-02,209.25
2022-03-03,210.64999389648438
2022-03-04,207.5
2022-03-07,204.14999389648438
2022-03-08,206.35000610351562
2022-03-09,207.69000244140625
2022-03-10,207.02000427246094
2022-03-11,205.6999969482422
2022-03-14,204.72000122070312
2022-03-15,202.58999633789062
2022-03-16,206.22000122070312
2022-03-17,210.35000610351562
2022-03-18,213.99000549316406
2022-03-21,212.7899932861328
2022-03-22,212.57000732421875
2022-03-23,207.16000366210938
2022-03-24,206.91000366210938
2022-03-25,208.82000732421875
2022-03-28,205.86000061035156
2022-03-29,210.72999572753906
2022-03-30,209.0
2022-03-31,205.47999572753906
2022-04-01,203.6999969482422
2022-04-04,208.60000610351562
2022-04-05,206.25999450683594
2022-04-06,207.3699951171875
2022-04-07,205.2899932861328
2022-04-08,208.39999389648438
2022-04-11,210.77999877929688
2022-04-12,210.55999755859375
2022-04-13,210.63999938964844
2022-04-14,211.16000366210938
2022-04-18,216.3000030517578
2022-04-19,226.8699951171875
2022-04-20,226.32000732421875
2022-04-21,226.19000244140625
2022-04-22,222.3800048828125
2022-04-25,223.25999450683594
2022-04-26,219.61000061035156
2022-04-27,220.4199981689453
2022-04-28,220.24000549316406
2022-04-29,212.49000549316406
2022-05-02,214.22000122070312
2022-05-03,219.77999877929688
2022-05-04,227.9499969482422
2022-05-05,221.97000122070312
2022-05-06,218.1300048828125
2022-05-09,217.9600067138672
2022-05-10,214.0
2022-05-11,210.91000366210938
2022-05-12,214.75
2022-05-13,216.49000549316406
2022-05-16,216.83999633789062
2022-05-17,223.3699951171875
2022-05-18,216.39999389648438
2022-05-19,215.02999877929688
2022-05-20,209.9600067138672
2022-05-23,212.32000732421875
2022-05-24,211.9199981689453
2022-05-25,215.2100067138672
2022-05-26,219.27000427246094
2022-05-27,222.89999389648438
2022-05-31,221.8800048828125
2022-06-01,216.9600067138672
2022-06-02,220.49000549316406
2022-06-03,220.19000244140625
2022-06-06,221.55999755859375
2022-06-07,224.67999267578125
2022-06-08,221.24000549316406
2022-06-09,218.6699981689453
2022-06-10,209.36000061035156
2022-06-13,205.94000244140625
2022-06-14,205.57000732421875
2022-06-15,203.83999633789062
2022-06-16,191.82000732421875
2022-06-17,195.72999572753906
2022-06-21,197.5399932861328
2022-06-22,196.60000610351562
2022-06-23,195.82000732421875
2022-06-24,201.8699951171875
2022-06-27,204.07000732421875
2022-06-28,201.11000061035156
2022-06-29,198.8699951171875
2022-06-30,197.02999877929688
2022-07-01,198.24000549316406
2022-07-05,198.6999969482422
2022-07-06,198.66000366210938
2022-07-07,201.33999633789062
2022-07-08,198.02000427246094
2022-07-11,197.88999938964844
2022-07-12,199.55999755859375
2022-07-13,197.1699981689453
2022-07-14,196.0399932861328
2022-07-15,197.8699951171875
2022-07-18,200.30999755859375
2022-07-19,207.5500030517578
2022-07-20,207.82000732421875
2022-07-21,211.80999755859375
2022-07-22,213.27000427246094
2022-07-25,214.17999267578125
2022-07-26,215.99000549316406
2022-07-27,219.27000427246094
2022-07-28,221.61000061035156
2022-07-29,224.0500030517578
2022-08-01,224.0
2022-08-02,221.6199951171875
2022-08-03,223.16000366210938
2022-08-04,223.05999755859375
2022-08-05,223.0
2022-08-08,224.4199981689453
2022-08-09,221.47000122070312
2022-08-10,226.7899932861328
2022-08-11,228.74000549316406
2022-08-12,231.36000061035156
2022-08-15,230.57000732421875
2022-08-16,233.35000610351562
2022-08-17,231.5800018310547
2022-08-18,231.91000366210938
2022-08-19,230.1300048828125
2022-08-22,223.64999389648438
2022-08-23,223.10000610351562
2022-08-24,223.9499969482422
2022-08-25,227.92999267578125
2022-08-26,220.25
2022-08-29,221.4199981689453
2022-08-30,218.25999450683594
2022-08-31,217.86000061035156
2022-09-01,215.0
2022-09-02,213.41000366210938
2022-09-06,217.11000061035156
2022-09-07,223.47000122070312
2022-09-08,222.35000610351562
2022-09-09,223.42999267578125
2022-09-12,224.85000610351562
2022-09-13,217.2100067138672
2022-09-14,216.72999572753906
2022-09-15,214.8300018310547
2022-09-16,215.4600067138672
2022-09-19,220.72000122070312
2022-09-20,217.24000549316406
