Date,LW
2022-02-28,66.43000030517578
2022-03-01,63.75
2022-03-02,63.5
2022-03-03,61.09000015258789
2022-03-04,58.02000045776367
2022-03-07,52.650001525878906
2022-03-08,51.7599983215332
2022-03-09,53.31999969482422
2022-03-10,51.33000183105469
2022-03-11,50.11000061035156
2022-03-14,49.959999084472656
2022-03-15,50.56999969482422
2022-03-16,53.08000183105469
2022-03-17,53.4900016784668
2022-03-18,54.58000183105469
2022-03-21,54.4900016784668
2022-03-22,55.720001220703125
2022-03-23,54.79999923706055
2022-03-24,55.7599983215332
2022-03-25,57.220001220703125
2022-03-28,58.0099983215332
2022-03-29,59.630001068115234
2022-03-30,59.720001220703125
2022-03-31,59.90999984741211
2022-04-01,61.20000076293945
2022-04-04,60.689998626708984
2022-04-05,60.290000915527344
2022-04-06,60.439998626708984
2022-04-07,65.26000213623047
2022-04-08,66.33000183105469
2022-04-11,65.95999908447266
2022-04-12,66.26000213623047
2022-04-13,67.31999969482422
2022-04-14,68.70999908447266
2022-04-18,67.16000366210938
2022-04-19,68.06999969482422
2022-04-20,69.1500015258789
2022-04-21,68.66000366210938
2022-04-22,68.19999694824219
2022-04-25,69.13999938964844
2022-04-26,66.37999725341797
2022-04-27,66.83999633789062
2022-04-28,67.76000213623047
2022-04-29,66.0999984741211
2022-05-02,65.87000274658203
2022-05-03,66.05000305175781
2022-05-04,65.88999938964844
2022-05-05,63.43000030517578
2022-05-06,63.150001525878906
2022-05-09,62.720001220703125
2022-05-10,62.41999816894531
2022-05-11,61.34000015258789
2022-05-12,61.439998626708984
2022-05-13,63.529998779296875
2022-05-16,63.52000045776367
2022-05-17,64.44999694824219
2022-05-18,62.400001525878906
2022-05-19,62.41999816894531
2022-05-20,63.16999816894531
2022-05-23,63.97999954223633
2022-05-24,63.72999954223633
2022-05-25,63.630001068115234
2022-05-26,65.77999877929688
2022-05-27,67.98999786376953
2022-05-31,67.58000183105469
2022-06-01,66.56999969482422
2022-06-02,68.11000061035156
2022-06-03,68.16999816894531
2022-06-06,68.9800033569336
2022-06-07,69.05000305175781
2022-06-08,68.2699966430664
2022-06-09,67.41999816894531
2022-06-10,66.58000183105469
2022-06-13,65.1500015258789
2022-06-14,64.1500015258789
2022-06-15,65.12000274658203
2022-06-16,63.709999084472656
2022-06-17,65.45999908447266
2022-06-21,67.08999633789062
2022-06-22,68.22000122070312
2022-06-23,69.19999694824219
2022-06-24,71.91000366210938
2022-06-27,72.66999816894531
2022-06-28,71.70999908447266
2022-06-29,72.02999877929688
2022-06-30,71.45999908447266
2022-07-01,71.66000366210938
2022-07-05,73.4000015258789
2022-07-06,73.52999877929688
2022-07-07,74.77999877929688
2022-07-08,74.94000244140625
2022-07-11,74.62999725341797
2022-07-12,74.16999816894531
2022-07-13,73.18000030517578
2022-07-14,73.94999694824219
2022-07-15,73.5999984741211
2022-07-18,73.1500015258789
2022-07-19,74.66999816894531
2022-07-20,74.61000061035156
2022-07-21,75.16999816894531
2022-07-22,74.94999694824219
2022-07-25,74.86000061035156
2022-07-26,75.1500015258789
2022-07-27,77.13999938964844
2022-07-28,80.1500015258789
2022-07-29,79.66000366210938
2022-08-01,80.5999984741211
2022-08-02,81.36000061035156
2022-08-03,81.75
2022-08-04,80.62999725341797
2022-08-05,81.26000213623047
2022-08-08,80.0
2022-08-09,79.4000015258789
2022-08-10,80.6500015258789
